Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
901,6/3/95,OAK,BAL,L 5-9,40,34,5,8,2,0,2,5,5,0,4,0,0,1,1,1,0,0,-0.225,-0.221,0.592,8,10,"45,056",189,85,tocf,10,rain,cloudy
902,6/3/95,BAL,OAK,W 9-5,39,33,9,8,1,0,3,9,6,0,4,0,0,0,1,0,1,0,0.274,4.359,0.6,6,11,"45,056",189,85,tocf,10,rain,cloudy
903,6/2/95,STL,CIN,W 10-7,45,39,10,16,2,0,3,10,3,0,5,0,1,2,0,1,2,0,0.691,5.4,0.877,8,15,"23,631",192,,,,rain,night
904,6/2/95,CIN,STL,L 7-10,40,34,7,8,1,0,1,7,5,0,8,0,0,1,1,1,1,0,0.191,2.402,1.342,6,17,"23,631",192,,,,rain,night
905,6/2/95,CLE,TOR,L 0-5,34,27,0,3,0,0,0,0,6,0,3,1,0,0,0,1,0,1,-0.359,-5.174,0.645,7,10,"41,545",181,77,fromrf,7,rain,night
906,6/2/95,TOR,CLE,W 5-0,39,37,5,9,4,0,2,4,2,0,7,0,0,0,1,0,0,0,0.142,-0.173,0.415,7,9,"41,545",181,77,fromrf,7,rain,night
907,5/28/95,DET,CHW,L 12-14,54,44,12,17,3,0,7,12,8,1,11,2,0,0,2,1,5,1,0.455,6.877,1.142,15,13,"10,813",226,69,tolf,10,rain,overcast
908,5/28/95,CHW,DET,W 14-12,48,39,14,14,6,0,5,14,6,1,4,0,0,3,1,0,1,0,0.953,8.88,1.292,7,11,"10,813",226,69,tolf,10,rain,overcast
909,5/27/95,STL,CIN,L 2-5,38,35,2,9,2,0,0,2,3,0,7,0,0,0,0,1,0,0,-0.323,-2.561,0.75,9,15,"26,887",160,69,fromcf,9,rain,night
910,5/27/95,CIN,STL,W 5-2,42,33,5,10,3,0,0,5,6,0,6,1,2,0,0,0,0,1,0.176,0.439,0.619,10,12,"26,887",160,69,fromcf,9,rain,night
911,5/25/95,DET,MIN,L 3-4,36,33,3,7,0,0,1,3,2,0,13,1,0,0,0,1,0,0,-0.234,-2.122,1.277,6,13,"17,111",162,58,fromcf,5,rain,overcast
912,5/25/95,SFG,PHI,W 3-1,22,20,3,4,1,1,0,2,1,0,7,0,0,1,0,0,0,1,0.079,-0.066,0.902,1,9,"20,539",113,73,fromcf,15,rain,night
913,5/25/95,MIN,DET,W 4-3,42,38,4,11,5,0,0,4,4,3,7,0,0,0,0,0,0,0,0.265,-1.123,1.653,11,13,"17,111",162,58,fromcf,5,rain,overcast
914,5/25/95,PHI,SFG,L 1-3,24,21,1,4,1,0,1,1,2,0,2,1,0,0,0,0,0,0,-0.206,-1.832,1.189,6,9,"20,539",113,73,fromcf,15,rain,night
915,5/24/95,CLE,MIL,L 5-7,43,34,5,9,4,0,0,4,8,0,9,1,0,0,0,2,1,0,-0.283,-0.172,1.583,11,13,"29,638",239,55,fromrf,15,rain,night
