Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1501,1983-04-30 (1),SDP,PIT,W 8-4,43,38,8,15,4,0,0,8,3,0,7,1,1,0,0,1,2,1,0.411,3.763,0.768,8,9,,149,,,,rain,overcast
1502,1983-04-30 (1),PIT,SDP,L 4-8,37,37,4,10,4,0,0,4,0,0,4,0,0,0,1,0,1,1,-0.089,-0.24,0.889,6,14,,149,,,,rain,overcast
1503,4/20/83,MIL,BOS,L 4-5,36,35,4,9,2,0,2,4,1,0,5,0,0,0,0,0,2,0,0.089,-0.843,1.002,5,9,"17,302",137,45,,,rain,night
1504,4/20/83,BOS,MIL,W 5-4,35,30,5,6,3,0,1,5,5,1,5,0,0,0,0,2,0,0,0.59,0.956,1.688,4,12,"17,302",137,45,,,rain,night
1505,9/27/82,MON,STL,L 2-4,40,34,2,7,1,0,1,2,4,0,4,2,0,0,0,0,0,0,-0.353,-2.157,1.248,11,16,"20,175",147,59,,,rain,cloudy
1506,9/27/82,STL,MON,W 4-2,35,31,4,6,1,0,1,4,4,0,2,0,0,0,0,1,0,1,0.148,-0.155,0.479,4,13,"20,175",147,59,,,rain,cloudy
1507,9/25/82,CLE,DET,L 0-4,35,32,0,6,1,0,0,0,3,0,5,0,0,0,0,0,2,0,-0.38,-4.5,0.869,8,9,"8,358",148,,,,rain,
1508,9/25/82,DET,CLE,W 4-0,35,31,4,7,1,0,0,3,4,0,4,0,0,0,0,0,2,0,0.12,0,0.662,7,10,"8,358",148,,,,rain,
1509,9/24/82,CHW,MIN,W 3-2,55,52,3,12,3,1,0,2,3,1,9,0,0,0,3,1,2,0,-0.183,-3.178,1.937,14,16,"8,660",258,63,,,rain,overcast
1510,9/24/82,MIN,CHW,L 2-3,52,49,2,12,1,0,1,2,3,0,7,0,0,0,1,2,0,1,-0.682,-4.5,1.649,11,12,"8,660",258,63,,,rain,overcast
1511,9/23/82,PIT,STL,W 5-3,45,39,5,9,2,0,1,5,4,1,5,0,0,2,0,1,0,0,0.288,-0.031,1.376,7,22,"17,399",194,,,,rain,
1512,9/23/82,STL,PIT,L 3-5,44,42,3,11,1,0,1,3,1,0,4,1,0,0,0,2,0,0,-0.215,-2.031,1.712,8,21,"17,399",194,,,,rain,
1513,9/8/82,CHW,CAL,W 5-3,39,36,5,11,2,0,0,5,2,1,4,0,1,0,0,1,0,1,0.348,0.5,1.334,7,14,"24,930",169,75,,,rain,night
1514,9/8/82,CAL,CHW,L 3-5,36,32,3,7,0,0,2,3,2,1,8,0,2,0,1,0,1,0,-0.151,-1.5,1.228,6,12,"24,930",169,75,,,rain,night
1515,9/1/82,OAK,BOS,L 4-7,39,34,4,8,2,0,1,4,4,0,3,1,0,0,0,0,1,1,-0.122,-0.77,1.346,8,12,"18,489",183,55,,,rain,night
1516,9/1/82,BOS,OAK,W 7-4,46,39,7,16,4,0,1,6,6,0,5,0,1,0,0,0,1,0,0.378,2.759,0.972,15,10,"18,489",183,55,,,rain,night
1517,8/24/82,CLE,CHW,W 14-7,46,40,14,16,5,0,1,13,5,0,4,0,1,0,0,0,2,0,0.595,10,0.354,8,11,"6,575",178,72,,,rain,
1518,8/24/82,CHW,CLE,L 7-14,40,35,7,9,3,0,1,7,4,0,9,0,0,1,0,0,1,0,0.094,2.5,0.485,6,13,"6,575",178,72,,,rain,
1519,8/23/82,NYY,TOR,W 4-3,32,31,4,8,3,0,2,4,1,0,4,0,0,0,0,0,0,0,0.215,0.08,1.067,4,9,"16,565",143,72,,10,rain,
1520,8/23/82,STL,LAD,W 11-3,43,37,11,13,2,0,0,11,4,3,7,1,1,0,2,1,1,0,0.298,7.34,0.51,8,10,"25,049",158,,,,rain,
1521,8/23/82,TOR,NYY,L 3-4,40,37,3,12,1,0,0,3,2,0,6,0,0,1,1,2,2,0,-0.285,-1.409,1.538,10,14,"16,565",143,72,,10,rain,
1522,8/23/82,LAD,STL,L 3-11,37,35,3,9,3,1,0,3,0,0,4,1,1,0,0,0,0,0,-0.205,-1.114,0.588,7,15,"25,049",158,,,,rain,
1523,8/22/82,MIN,CLE,L 3-4,36,30,3,6,1,1,0,3,4,1,2,0,0,2,1,0,0,1,-0.228,-1.5,1.372,6,11,"10,929",161,67,,,rain,overcast
1524,8/22/82,CLE,MIN,W 4-3,38,29,4,7,0,0,2,3,7,0,1,1,1,0,0,1,0,2,0.272,-0.063,1.561,8,11,"10,929",161,67,,,rain,overcast
1525,8/9/82,NYM,STL,L 2-7,36,32,2,8,2,0,0,2,3,1,3,0,0,1,0,1,1,0,-0.086,-2.039,1.031,7,14,"11,383",147,78,,,rain,
1526,8/9/82,STL,NYM,W 7-2,44,39,7,13,0,1,1,7,5,0,7,0,0,0,0,0,1,0,0.414,2.963,0.912,10,10,"11,383",147,78,,,rain,
1527,8/6/82,MON,STL,W 5-3,42,38,5,13,3,0,0,4,4,2,6,0,0,0,0,0,2,2,0.33,0.881,1.353,10,11,"29,224",171,,,,rain,
1528,8/6/82,STL,MON,L 3-5,38,36,3,11,4,0,0,3,2,0,6,0,0,0,0,0,2,1,-0.171,-1.117,1.424,8,14,"29,224",171,,,,rain,
1529,8/3/82,TOR,MIL,L 4-7,38,36,4,9,0,0,1,4,1,0,5,1,0,0,0,0,2,0,-0.254,-0.914,1.08,7,9,"16,575",142,68,,68,rain,cloudy
1530,8/3/82,MIL,TOR,W 7-4,39,36,7,12,2,0,3,7,2,1,2,0,1,0,1,1,1,1,0.246,2.088,0.44,5,10,"16,575",142,68,,68,rain,cloudy
1531,7/28/82,DET,NYY,L 7-8,40,36,7,10,3,1,1,7,3,0,9,0,0,1,0,0,0,0,0.182,2.59,1.032,6,11,"16,521",166,75,,11,rain,
1532,7/28/82,NYY,DET,W 8-7,36,35,8,13,1,1,1,8,1,0,3,0,0,0,0,0,0,0,0.684,4.081,1.042,4,11,"16,521",166,75,,11,rain,
1533,7/27/82,CLE,KCR,L 1-8,37,34,1,9,2,0,0,1,2,0,2,0,0,1,0,0,1,0,-0.285,-3.5,0.967,9,9,"8,908",158,76,,,rain,
1534,7/27/82,KCR,CLE,W 8-1,43,39,8,14,1,0,2,8,2,0,8,0,2,0,2,0,0,0,0.215,3.5,0.79,8,9,"8,908",158,76,,,rain,
1535,7/19/82,DET,CHW,L 0-6,37,33,0,7,0,0,0,0,4,0,6,0,0,0,0,1,0,0,-0.235,-4.5,0.638,10,9,"23,175",162,74,,,rain,cloudy
1536,7/19/82,CHW,DET,W 6-0,43,37,6,10,1,0,2,6,5,1,7,1,0,0,0,0,1,0,0.263,1.5,0.514,10,10,"23,175",162,74,,,rain,cloudy
1537,7/10/82,MIL,KCR,W 7-0,44,40,7,19,3,0,3,7,2,0,10,0,1,1,0,0,0,1,0.217,3.241,0.646,13,9,"33,641",189,70,,12,rain,night
1538,7/10/82,KCR,MIL,L 0-7,37,33,0,9,3,0,0,0,3,0,6,0,1,0,0,2,1,0,-0.281,-4.229,0.634,10,9,"33,641",189,70,,12,rain,night
1539,6/29/82,MIL,NYY,W 11-4,47,44,11,16,3,0,2,10,3,0,10,0,0,0,0,0,0,0,0.694,6.59,0.813,9,11,"20,199",169,71,,,rain,
1540,6/29/82,NYY,MIL,L 4-11,39,34,4,10,0,0,1,4,4,0,3,0,1,0,0,2,0,0,0.194,-0.41,0.69,8,11,"20,199",169,71,,,rain,
1541,6/21/82,MIN,CHW,L 4-5,38,33,4,8,1,1,1,4,4,0,7,1,0,0,0,1,1,1,-0.121,-0.5,1.53,7,13,"19,210",186,72,,,rain,cloudy
1542,6/21/82,CHW,MIN,W 5-4,38,34,5,10,3,1,2,5,4,0,7,0,0,0,0,0,0,0,0.381,1,1.151,9,12,"19,210",186,72,,,rain,cloudy
1543,6/21/82,MIL,NYY,W 6-2,38,33,6,10,3,0,2,6,4,0,7,0,1,0,1,0,1,0,0.18,2.241,0.708,8,9,"26,895",187,62,,6,rain,
1544,6/21/82,NYY,MIL,L 2-6,40,34,2,8,1,0,1,2,5,0,1,0,1,0,1,1,0,0,-0.317,-2.229,1.139,11,11,"26,895",187,62,,6,rain,
1545,1982-06-18 (1),NYM,STL,W 5-3,44,38,5,12,1,0,0,5,6,0,2,0,0,0,0,1,1,0,0.464,0.884,1.812,12,16,,161,,,,rain,
1546,1982-06-18 (1),STL,NYM,L 3-5,37,34,3,9,2,0,0,3,2,0,4,0,1,0,0,0,1,1,-0.037,-1.117,0.781,7,18,,161,,,,rain,
1547,6/16/82,BOS,NYY,L 1-4,29,21,1,3,0,0,0,1,8,0,7,0,0,0,0,0,0,0,-0.255,-1.94,1.281,10,9,"30,267",134,71,,10,rain,
1548,6/16/82,NYY,BOS,W 4-1,30,26,4,8,2,1,1,4,3,1,3,1,0,0,0,0,1,0,0.144,1.059,0.803,8,9,"30,267",134,71,,10,rain,
1549,6/15/82,SFG,CIN,W 4-3,43,33,4,11,3,0,0,4,7,1,6,1,1,1,0,2,2,0,0.14,-0.158,0.618,12,12,"21,416",165,,,,rain,night
1550,6/15/82,CIN,SFG,L 3-4,37,34,3,8,1,0,0,3,2,0,2,0,0,1,1,0,0,0,-0.362,-1.156,1.037,7,18,"21,416",165,,,,rain,night
1551,6/15/82,STL,MON,W 3-2,46,43,3,13,4,0,1,2,3,2,8,0,0,0,1,1,0,1,-0.009,-1.545,1.918,12,14,"22,112",204,,,,rain,
1552,6/15/82,MON,STL,L 2-3,47,42,2,11,0,2,0,2,4,2,5,0,1,0,0,0,2,1,-0.508,-3.031,1.57,12,14,"22,112",204,,,,rain,
1553,6/6/82,NYY,KCR,L 1-14,33,32,1,4,0,2,1,1,1,0,3,0,0,0,2,1,0,0,-0.192,-3.41,0.395,5,10,"32,068",174,59,,11,rain,
1554,6/6/82,KCR,NYY,W 14-1,52,47,14,22,5,1,1,14,5,0,11,0,0,0,1,0,0,1,0.307,9.591,0.436,11,13,"32,068",174,59,,11,rain,
1555,5/31/82,STL,SFG,W 11-6,43,38,11,14,1,0,0,9,5,0,4,0,0,0,1,1,2,0,0.673,7.341,0.961,8,14,"11,313",164,,,,rain,
1556,5/31/82,SFG,STL,L 6-11,44,41,6,15,5,0,0,6,3,0,4,0,0,0,1,2,3,0,0.172,1.885,0.637,11,11,"11,313",164,,,,rain,
1557,5/23/82,MIN,NYY,L 2-4,37,35,2,8,1,0,1,2,2,0,11,0,0,0,1,0,1,0,-0.349,-2.411,1.327,8,11,"31,029",157,48,,,rain,overcast
1558,5/23/82,NYY,MIN,W 4-2,37,28,4,7,3,0,1,4,8,2,9,0,0,1,0,0,0,1,0.15,0.081,1.251,9,10,"31,029",157,48,,,rain,overcast
1559,5/23/82,BOS,OAK,W 6-0,30,22,6,7,2,0,2,5,5,1,1,3,0,0,1,1,0,0,0.215,3.349,0.835,9,9,"24,421",119,55,,,rain,overcast
1560,5/23/82,OAK,BOS,L 0-6,23,20,0,3,1,0,0,0,2,0,5,0,1,0,1,1,2,0,-0.27,-3.18,1.038,5,9,"24,421",119,55,,,rain,overcast
1561,5/22/82,MIN,NYY,L 0-1,36,32,0,5,2,0,0,0,4,0,10,0,0,0,0,0,0,0,-0.73,-4.409,1.739,9,10,"20,206",158,51,,,rain,overcast
1562,5/22/82,NYY,MIN,W 1-0,34,25,1,4,0,0,0,1,6,1,4,0,2,1,1,0,1,0,-0.23,-2.922,1.214,9,11,"20,206",158,51,,,rain,overcast
1563,5/21/82,CHW,CLE,W 3-2,27,23,3,4,1,1,1,3,4,0,2,0,0,0,0,0,0,1,0.131,-0.178,0.91,4,9,"22,567",128,57,,12,rain,cloudy
1564,5/21/82,CLE,CHW,L 2-3,28,25,2,6,2,0,0,2,2,1,4,0,1,0,0,0,0,0,-0.148,-1.5,1.282,5,10,"22,567",128,57,,12,rain,cloudy
1565,5/16/82,KCR,BOS,W 5-0,38,36,5,15,3,0,0,5,2,0,4,0,0,0,0,1,1,1,0.186,1,0.518,9,10,"34,395",148,75,,8,rain,
1566,5/16/82,BOS,KCR,L 0-5,32,30,0,5,0,0,0,0,2,0,3,0,0,0,0,2,1,0,-0.313,-4.5,0.81,5,9,"34,395",148,75,,8,rain,
1567,5/11/82,MIL,KCR,L 3-17,39,38,3,11,1,0,1,3,1,0,4,0,0,0,1,1,0,0,-0.116,-1.5,0.257,9,13,"16,240",152,77,,,rain,night
1568,5/11/82,KCR,MIL,W 17-3,48,43,17,21,6,0,3,17,4,0,2,0,1,0,0,1,0,0,0.384,13,0.271,7,14,"16,240",152,77,,,rain,night
1569,4/26/82,STL,HOU,L 2-6,34,32,2,4,1,1,0,2,2,0,5,0,0,0,1,0,2,0,-0.176,-2.116,0.554,5,13,"24,295",142,,,,rain,
1570,4/26/82,HOU,STL,W 6-2,40,39,6,14,4,0,2,6,1,0,2,0,0,0,1,2,0,0,0.321,1.882,0.381,7,10,"24,295",142,,,,rain,
1571,4/26/82,ATL,PIT,L 4-6,39,37,4,11,3,0,0,3,2,0,7,0,0,0,1,0,0,1,0.048,-0.239,1.248,8,16,"9,557",144,,,,rain,
1572,4/26/82,PIT,ATL,W 6-4,37,35,6,9,3,0,3,6,1,0,5,1,0,0,0,1,0,0,0.551,1.762,0.946,4,13,"9,557",144,,,,rain,
1573,4/21/82,TEX,CLE,W 4-2,36,28,4,7,3,1,0,4,6,0,4,0,1,1,1,1,0,1,0.116,0.242,0.839,8,11,"8,457",171,,,,rain,night
1574,4/21/82,CLE,TEX,L 2-4,41,32,2,8,0,0,0,2,8,0,3,0,0,1,0,1,2,1,-0.382,-2.229,1.513,12,12,"8,457",171,,,,rain,night
