Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
3001,5/22/63,PIT,HOU,W 4-3,40,35,4,9,1,0,0,4,3,1,7,0,2,0,3,2,0,0,0.412,0.41,1.394,9,16,"5,577",140,70,,15,rain,overcast
3002,5/22/63,HOU,PIT,L 3-4,34,32,3,9,1,0,0,2,1,0,5,1,0,0,1,1,0,2,-0.087,-0.591,1.137,4,12,"5,577",140,70,,15,rain,overcast
3003,5/4/63,NYY,MIN,W 3-2,36,33,3,8,3,0,3,3,2,1,4,0,1,0,0,0,0,0,0.064,-1.158,0.478,6,11,"31,667",137,58,,,rain,
3004,5/4/63,MIN,NYY,L 2-3,34,31,2,4,2,0,0,2,3,0,2,0,0,0,0,0,0,0,-0.437,-2.157,0.993,5,12,"31,667",137,58,,,rain,
3005,4/10/63,KCA,NYY,L 3-5,38,31,3,6,1,0,0,3,6,0,5,0,0,1,0,0,0,0,-0.376,-1.317,1.014,8,15,"3,855",153,47,,,rain,
3006,4/10/63,NYY,KCA,W 5-3,38,36,5,11,2,0,2,5,1,0,4,0,1,0,0,1,0,0,0.124,0.682,0.544,6,11,"3,855",153,47,,,rain,
3007,9/14/62,BOS,NYY,W 4-1,36,35,4,10,3,0,0,4,1,0,7,0,0,0,1,0,0,0,0.141,-0.073,0.718,8,10,"24,370",168,,,,rain,
3008,9/14/62,NYY,BOS,L 1-4,41,35,1,9,3,0,0,1,6,0,10,0,0,0,0,1,0,0,-0.359,-3.581,1.283,13,13,"24,370",168,,,,rain,
3009,9/2/62,NYY,KCA,W 2-1,38,31,2,6,1,0,0,1,6,1,3,0,1,0,1,0,1,0,-0.007,-1.692,2.013,11,14,"12,933",160,70,,,rain,
3010,9/2/62,KCA,NYY,L 1-2,32,31,1,7,1,1,0,1,0,0,1,0,0,1,0,2,0,0,-0.508,-3.361,1.194,4,9,"12,933",160,70,,,rain,
3011,8/10/62,HOU,MLN,L 6-7,43,39,6,14,1,1,1,6,1,0,8,1,0,2,0,0,0,0,-0.127,1.803,1.107,10,17,"7,047",173,79,,7,rain,night
3012,8/10/62,MLN,HOU,W 7-6,41,37,7,10,0,0,1,6,4,0,8,0,0,0,1,0,3,0,0.373,2.803,0.581,7,13,"7,047",173,79,,7,rain,night
