Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
301,5/4/09,BOS,NYY,W 6-4,46,37,6,11,3,0,2,5,8,1,10,1,0,0,1,2,1,0,0.231,0.877,0.774,13,10,"46,426",228,54,fromrf,8,rain,
302,5/4/09,NYY,BOS,L 4-6,41,36,4,9,0,0,3,4,4,0,13,1,0,0,0,0,2,0,-0.271,-1.123,1.741,10,11,"46,426",228,54,fromrf,8,rain,
303,5/2/09,TEX,CHW,W 9-6,40,34,9,13,6,0,1,9,4,0,6,0,2,0,0,0,0,0,0.334,4.483,0.595,7,9,"26,673",157,64,tocf,5,rain,
304,5/2/09,CHW,TEX,L 6-9,38,33,6,8,2,0,1,6,1,0,5,3,0,1,0,1,0,0,-0.165,0.917,0.769,5,10,"26,673",157,64,tocf,5,rain,
305,2009-04-22 (2),BOS,MIN,W 7-3,34,27,7,5,4,0,1,7,4,0,9,2,0,1,0,0,0,1,0.301,2.446,0.431,3,9,"37,494",148,52,ltor,12,rain,
306,2009-04-22 (2),MIN,BOS,L 3-7,33,31,3,6,3,0,1,2,1,0,3,1,0,0,1,1,0,0,-0.2,-2.122,0.657,3,9,"37,494",148,52,ltor,12,rain,
307,4/13/09,CHC,COL,W 4-0,41,29,4,9,1,0,0,3,9,1,6,1,2,0,0,0,0,1,0.066,-0.261,0.944,13,12,"40,077",183,36,fromrf,10,rain,
308,4/13/09,COL,CHC,L 0-4,32,27,0,1,0,0,0,0,4,0,12,0,1,0,0,0,0,0,-0.434,-4.793,0.759,5,15,"40,077",183,36,fromrf,10,rain,
309,9/12/08,STL,PIT,L 2-10,34,30,2,7,2,0,0,1,3,0,3,0,1,0,0,2,0,0,-0.25,-2.41,0.6,5,18,"14,903",143,71,tolf,5,rain,
310,9/12/08,BOS,TOR,W 7-0,38,33,7,8,4,0,1,7,4,0,6,0,0,1,2,0,0,0,0.028,2.43,0.734,7,9,"37,398",160,66,tocf,7,rain,
311,9/12/08,PIT,STL,W 10-2,41,37,10,14,3,1,1,10,2,0,7,0,0,2,1,0,0,0,0.251,6.079,0.45,7,10,"14,903",143,71,tolf,5,rain,
312,9/12/08,TOR,BOS,L 0-7,30,30,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.473,-5.144,0.779,3,9,"37,398",160,66,tocf,7,rain,
313,9/8/08,DET,OAK,W 14-8,46,37,14,12,2,2,5,14,5,0,7,3,0,1,2,0,1,0,0.562,9.641,0.367,8,11,"37,981",209,74,tolf,11,rain,
314,9/8/08,OAK,DET,L 8-14,47,41,8,13,1,1,0,8,5,0,4,1,0,0,1,0,0,0,0.063,3.098,0.634,12,9,"37,981",209,74,tolf,11,rain,
315,8/15/08,NYY,KCR,L 3-4,41,35,3,10,1,0,0,3,5,0,8,0,0,1,1,1,2,0,-0.349,-1.944,2.055,11,11,"53,067",203,67,ltor,7,rain,
