Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
2701,8/29/70,OAK,DET,W 5-2,38,34,5,8,2,0,2,5,1,0,10,2,1,0,1,0,0,1,0.204,0.784,0.917,6,14,"10,536",164,,,,rain,overcast
2702,8/29/70,DET,OAK,L 2-5,39,32,2,6,2,0,0,2,7,0,6,0,0,0,0,1,0,0,-0.296,-2.218,1.741,10,16,"10,536",164,,,,rain,overcast
2703,8/22/70,NYY,CHW,L 2-3,34,29,2,4,1,0,1,2,4,0,5,0,1,0,1,0,1,1,-0.439,-2.219,1.661,5,13,"5,367",122,70,,,rain,overcast
2704,8/22/70,CHW,NYY,W 3-2,31,30,3,6,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0.061,-0.748,1.136,4,10,"5,367",122,70,,,rain,overcast
2705,8/19/70,CHC,SDP,W 12-2,39,36,12,14,0,0,7,12,2,0,4,0,1,0,0,0,0,0,0.36,7.526,0.277,3,13,"25,933",139,77,,10,rain,overcast
2706,8/19/70,SDP,CHC,L 2-12,36,36,2,8,1,0,1,2,0,0,11,0,0,0,1,0,0,0,-0.142,-3.033,0.329,7,16,"25,933",139,77,,10,rain,overcast
2707,8/18/70,SDP,CHC,W 11-3,47,41,11,14,1,1,3,11,5,2,7,0,1,0,1,0,0,0,0.343,5.967,0.493,9,10,"17,295",163,71,,9,rain,overcast
2708,8/18/70,CHC,SDP,L 3-11,34,34,3,7,0,0,2,3,0,0,5,0,0,0,0,0,0,0,-0.158,-2.033,0.256,4,18,"17,295",163,71,,9,rain,overcast
2709,8/11/70,NYY,CHW,W 7-1,40,34,7,14,0,0,4,7,6,0,2,0,0,0,0,1,2,1,0.279,3.473,0.471,9,9,"13,454",136,80,,,rain,overcast
2710,8/11/70,CHW,NYY,L 1-7,34,32,1,7,1,0,0,1,2,0,4,0,0,0,0,2,0,0,-0.222,-2.966,0.595,6,13,"13,454",136,80,,,rain,overcast
2711,7/26/70,PIT,HOU,L 4-6,44,42,4,13,1,0,0,3,1,0,4,0,0,1,2,1,1,1,-0.173,-0.877,1.773,10,14,"40,131",162,,,,rain,overcast
2712,7/26/70,HOU,PIT,W 6-4,41,39,6,10,2,0,2,5,2,1,7,0,0,0,1,1,0,1,0.326,1.123,1.13,5,12,"40,131",162,,,,rain,overcast
2713,7/21/70,CHC,ATL,W 8-2,42,40,8,13,3,0,3,8,2,0,11,0,0,0,1,1,2,0,0.329,3.239,0.588,7,9,"8,118",150,84,,,rain,night
2714,7/21/70,ATL,CHC,L 2-8,33,29,2,4,0,0,0,2,2,0,6,0,1,1,2,2,0,0,-0.171,-2.762,0.765,4,11,"8,118",150,84,,,rain,night
