club,views
Arsenal,3036657
Aston Villa,1280574
Brighton & Hove Albion,751210
Burnley,645679
Chelsea,3928596
Crystal Palace,802394
Everton,1359939
Fulham,839643
Leeds United,1552345
Leicester City,1768631
Liverpool,3212136
Manchester City,3044509
Manchester United,4561526
Newcastle United,928541
Sheffield United,713730
Southampton,762311
Tottenham Hotspur,2806915
West Bromwich Albion,834943
West Ham United,1243261
Wolverhampton Wanderers,1135070
