product_id,product_category,product_headline,calories,saturated_fat,sodium,sugar,product_site,product_description,product_ingredients,product_smart_label,sodium_unit,sugar_unit,saturated_fat_unit
4508509,Kellogg's Frosted Flakes®,Kellogg's Frosted Flakes® Chocolate Milkshake,150,1.0,210,13,https://www.frostedflakes.com/en_US/home.html,"Rich chocolate with sweet vanilla flavor generously covers each flake and amps up the fun by giving the milk in your bowl a deliciously silky, chocolate milkshake taste.","Milled corn, sugar, cocoa processed with alkali, hydrogenated vegetable oil (coconut, soybean and/or cottonseed), contains 2% or less of malt flavor, salt, semisweet chocolate (sugar, chocolate, dextrose), natural and artificial flavors.   Vitamins and Minerals: Iron (ferric phosphate), niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000179969,mg,g,g
683835,Kellogg's Frosted Flakes®,Kellogg's Frosted Flakes® Strawberry Milkshake,140,0.0,190,11,https://www.frostedflakes.com/en_US/home.html,"With ripe, juicy strawberry flavor coupled with rich, creamy notes, this cereal turns the milk in your bowl a fun, vibrant pink!","Milled corn, sugar, malt flavor, contains 2% or less of salt, vegetable juice for color, natural and artificial flavor, beta-carotene for color.  Vitamins and Minerals: Iron (ferric phosphate), niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000273384,mg,g,g
683837,Kellogg's Frosted Flakes®,Kellogg's Frosted Flakes® Cinnamon French Toast,140,0.5,180,12,https://www.frostedflakes.com/en_US/home.html,The perfect combination of caramelized brown sugar and maple syrup flavor and warm cinnamon spice on golden toasted corn flakes.,"Milled corn, sugar, hydrogenated vegetable oil (coconut, soybean and/or cottonseed), malt flavor, contains 2% or less of salt, cinnamon, natural and artificial flavor.   Vitamins and Minerals: Iron (ferric phosphate), niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000273407,mg,g,g
1358821,Insta Bowl,Kellogg's® Frosted Flakes® Insta-Bowls Cereal,190,2.5,220,16,https://www.frostedflakes.com/en_US/home.html,"Gr-r-reat anytime, anywhere with new Kellogg’s Frosted Flakes Insta-bowls! Just add cold water and stir!  Yes, cold water on cereal. We won’t say it’s magic but yeah, it’s awesome.Just add cold water and stir to enjoy Kellogg’s Frosted Flakes® with real milk!","Milled corn, milk powder (milk, vitamin A palmitate, vitamin D3), sugar, contains 2% or less of malt flavor, salt.  Vitamins and Minerals: Iron (ferric phosphate), niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000263422,mg,g,g
3553784,Kellogg's Frosted Flakes®,Kellogg's Frosted Flakes® Cereal,130,0.0,190,12,https://www.frostedflakes.com/en_US/home.html,The frosting makes it sparkle. The corn makes it crunch. The sweet milk makes it Gr-r-reat!,"Milled corn, sugar, malt flavor, contains 2% or less of salt.  Vitamins and Minerals: Iron (ferric phosphate), niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000916106,mg,g,g
4508504,Froot Loops®,Kellogg’s® Froot Loops® with Marshmallows Cereal,140,0.5,170,16,https://www.frootloops.com/en_US/home.html,Sweetened multi-grain cereal with marshmallow pieces.,"Corn flour blend (whole grain yellow corn flour, degerminated yellow corn flour), sugar, marshmallows (sugar, corn syrup, dextrose, natural flavor, gelatin, yellow 5, red 40, yellow 6, blue 1), wheat flour, whole grain oat flour, modified food starch, contains 2% or less of vegetable oil (hydrogenated coconut, soybean and/or cottonseed oil), oat fiber, maltodextrin, salt, soluble corn fiber, natural flavor, red 40, yellow 5, blue 1, yellow 6, BHT for freshness.  Vitamins and Minerals: Vitamin C (ascorbic acid), reduced iron, niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000198915,mg,g,g
7932711,Jumbo Snax,Kellogg's® Froot Loops® Jumbo Snax,140,0.5,190,15,https://www.frootloops.com/en_US/home.html,"Enlarged for maximum fruity goodness, these large Froot Loops® are the perfect cereal for snacking to enjoy anytime, anywhere.","Whole grain yellow corn flour, sugar, enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), whole grain oat flour, oat fiber, contains 2% or less of vegetable oil (hydrogenated coconut, soybean and/or cottonseed), soluble corn fiber, salt, calcium carbonate, natural flavor, red 40, yellow 5, yellow 6, blue 1, BHT for freshness.  Vitamins and Minerals: Reduced iron, niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000233814,mg,g,g
1358820,Insta Bowl,Kellogg's® Froot Loops® Insta-Bowls Breakfast Cereal,150,2.5,170,12,https://www.frootloops.com/en_US/home.html,"Now you can enjoy your favorite Kellogg's® Froot Loops® cereal with milk anytime, anywhere, without needing milk! Start your day with the same great tasting cereal you know and love, now made even easier to enjoy. Ready in seconds, simply add cold water to the fill line and stir to create real milk. Take your breakfast to go and savor each spoonful of crispy loops bursting with fruity flavor; Each serving contains a good source of nine vitamins and minerals. Even on your busiest mornings, breakfast is handled. Grab an Insta-Bowl on the way to work, pack in bookbags, or have on hand for an afternoon kids' snack. Give it a try! With just a spoon and cold water, you can follow your nose to a delicious bowl of Kellogg’s® Froot Loops® and real milk.","Milk powder (milk, vitamin A palmitate, vitamin D3), corn flour blend (whole grain yellow corn flour, degerminated yellow corn flour), sugar, wheat flour, whole grain oat flour, modified food starch, contains 2% or less of vegetable oil (hydrogenated coconut, soybean and/or cottonseed), oat fiber, maltodextrin, salt, soluble corn fiber, natural flavor, red 40, yellow 5, blue 1, yellow 6.  Vitamins and Minerals: Vitamin C (ascorbic acid), reduced iron, niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000263354,mg,g,g
2014814,Jumbo Snax,Kellogg's® Froot Loops® Jumbo Snax With Marshmallows,45,0.0,50,6,https://www.frootloops.com/en_US/home.html,Make snack time more magical and delicious!,"Corn flour blend (whole grain yellow corn flour, degerminated yellow corn flour), sugar, marshmallows (sugar, modified corn starch, corn syrup, dextrose, gelatin, natural flavor, yellow 5, red 40, blue 1, yellow 6), enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), whole grain oat flour, oat fiber, contains 2% or less of vegetable oil (hydrogenated coconut, soybean and/or cottonseed), soluble corn fiber, salt, calcium carbonate, natural flavors, red 40, yellow 5, yellow 6, blue 1.  Vitamins and Minerals: Iron, niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B1 (thiamin hydrochloride), vitamin B2 (riboflavin), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000284649,mg,g,g
2086634,Jumbo Snax,Kellogg’s® Froot Loops® Halloween Jumbo Snax,20,0.0,25,2,https://www.frootloops.com/en_US/home.html,,"Corn flour blend (whole grain yellow corn flour, degerminated yellow corn flour), sugar, enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), whole grain oat flour, oat fiber, contains 2% or less of vegetable oil (hydrogenated coconut, soybean and/or cottonseed), soluble corn fiber, salt, calcium carbonate, natural flavors, red 40, yellow 5, yellow 6, blue 1.  Vitamins and Minerals: Iron, niacinamide, vitamin B6 (pyridoxine hydrochloride), vitamin B1 (thiamin hydrochloride), vitamin B2 (riboflavin), folic acid, vitamin D3, vitamin B12.",https://smartlabel.kelloggs.com/Product/Index/00038000254901,mg,g,g
