date,tweets
2022-03-30,7440
2022-03-29,21953
2022-03-28,10377
2022-03-27,15229
2022-03-26,14386
2022-03-25,28989
2022-03-24,25054
2022-03-23,21736
2022-03-22,13081
2022-03-21,12212
2022-03-20,9508
2022-03-19,7048
2022-03-18,14040
2022-03-17,12952
2022-03-16,6982
2022-03-15,11472
2022-03-14,11590
2022-03-13,10376
2022-03-12,13074
2022-03-11,7757
2022-03-10,13594
2022-03-09,7193
2022-03-08,5693
2022-03-07,5695
2022-03-06,5377
2022-03-05,5480
2022-03-04,6850
2022-03-03,6721
2022-03-02,17304
2022-03-01,6638
2022-02-28,5159
2022-02-27,6188
2022-02-26,5615
2022-02-25,5760
2022-02-24,5447
2022-02-23,4664
2022-02-22,7336
2022-02-21,11228
2022-02-20,13290
2022-02-19,11613
2022-02-18,5038
2022-02-17,4790
2022-02-16,6916
2022-02-15,8226
2022-02-14,9326
2022-02-13,10631
2022-02-12,11151
2022-02-11,9525
2022-02-10,9619
2022-02-09,7123
2022-02-08,7850
2022-02-07,6275
2022-02-06,6172
2022-02-05,5624
2022-02-04,9357
2022-02-03,16027
2022-02-02,5240
2022-02-01,5177
2022-01-31,8045
2022-01-30,5492
2022-01-29,8172
2022-01-28,15807
2022-01-27,10614
2022-01-26,6983
2022-01-25,6238
2022-01-24,5340
2022-01-23,6602
2022-01-22,4157
2022-01-21,5421
2022-01-20,6896
2022-01-19,8508
2022-01-18,9557
2022-01-17,9278
2022-01-16,7064
2022-01-15,5318
2022-01-14,5165
2022-01-13,6014
2022-01-12,9300
2022-01-11,10237
2022-01-10,8457
2022-01-09,9910
2022-01-08,27717
2022-01-07,17267
2022-01-06,16980
2022-01-05,6211
2022-01-04,6954
2022-01-03,8632
2022-01-02,5856
2022-01-01,5521
2021-12-31,7409
2021-12-30,17047
2021-12-29,9894
2021-12-28,6314
2021-12-27,7742
2021-12-26,11326
2021-12-25,4351
2021-12-24,4252
2021-12-23,8336
2021-12-22,16011
2021-12-21,11862
2021-12-20,6604
2021-12-19,4185
2021-12-18,8821
2021-12-17,10335
2021-12-16,7907
2021-12-15,6895
2021-12-14,7501
2021-12-13,11955
2021-12-12,13340
2021-12-11,8410
2021-12-10,7428
2021-12-09,10996
2021-12-08,7505
2021-12-07,6752
2021-12-06,7259
2021-12-05,8012
2021-12-04,7918
2021-12-03,5840
2021-12-02,7418
2021-12-01,13812
2021-11-30,13759
2021-11-29,14773
2021-11-28,17953
2021-11-27,9411
2021-11-26,6870
2021-11-25,6708
2021-11-24,10118
2021-11-23,15026
2021-11-22,15934
2021-11-21,7355
2021-11-20,10116
2021-11-19,23392
2021-11-18,33982
2021-11-17,69242
2021-11-16,19098
2021-11-15,7905
2021-11-14,14823
2021-11-13,8358
2021-11-12,6855
2021-11-11,13600
2021-11-10,24470
2021-11-09,11967
2021-11-08,10057
2021-11-07,10541
2021-11-06,9449
2021-11-05,12496
2021-11-04,16589
2021-11-03,37265
2021-11-02,45125
2021-11-01,7978
2021-10-31,8268
2021-10-30,13822
2021-10-29,27778
2021-10-28,14836
2021-10-27,8571
2021-10-26,11417
2021-10-25,17122
2021-10-24,10209
2021-10-23,16462
2021-10-22,5833
2021-10-21,5569
2021-10-20,4519
2021-10-19,4542
2021-10-18,5925
2021-10-17,5408
2021-10-16,6468
2021-10-15,11665
2021-10-14,8443
2021-10-13,7806
2021-10-12,7776
2021-10-11,6963
2021-10-10,4807
2021-10-09,6610
2021-10-08,8040
2021-10-07,5269
2021-10-06,10881
2021-10-05,15097
2021-10-04,7791
2021-10-03,3655
2021-10-02,4328
2021-10-01,4543
2021-09-30,7129
2021-09-29,4551
2021-09-28,4520
2021-09-27,4798
2021-09-26,5895
2021-09-25,10419
2021-09-24,8134
2021-09-23,6957
2021-09-22,10381
2021-09-21,9363
2021-09-20,7806
2021-09-19,11250
2021-09-18,8145
2021-09-17,6358
2021-09-16,8580
2021-09-15,11953
2021-09-14,12149
2021-09-13,21618
2021-09-12,7015
2021-09-11,13101
2021-09-10,10598
2021-09-09,10004
2021-09-08,6585
2021-09-07,7614
2021-09-06,7710
2021-09-05,17549
2021-09-04,21177
2021-09-03,47472
2021-09-02,23090
2021-09-01,13312
2021-08-31,12686
2021-08-30,14368
2021-08-29,5994
2021-08-28,5003
2021-08-27,7196
2021-08-26,6636
2021-08-25,5808
2021-08-24,7170
2021-08-23,10342
2021-08-22,12372
2021-08-21,10573
2021-08-20,13480
2021-08-19,13161
2021-08-18,12292
2021-08-17,7735
2021-08-16,8171
2021-08-15,10829
2021-08-14,21606
2021-08-13,35938
2021-08-12,40578
2021-08-11,12997
2021-08-10,9789
2021-08-09,7181
2021-08-08,6902
2021-08-07,9044
2021-08-06,7298
2021-08-05,7732
2021-08-04,9074
2021-08-03,8471
2021-08-02,6051
2021-08-01,7457
2021-07-31,7756
2021-07-30,8148
2021-07-29,12663
2021-07-28,9101
2021-07-27,19598
2021-07-26,26889
2021-07-25,13271
2021-07-24,12486
2021-07-23,12344
2021-07-22,7941
2021-07-21,10362
2021-07-20,8730
2021-07-19,8054
2021-07-18,12039
2021-07-17,8371
2021-07-16,6753
2021-07-15,7071
2021-07-14,8067
2021-07-13,12928
2021-07-12,7895
2021-07-11,11138
2021-07-10,12703
2021-07-09,10961
2021-07-08,17611
2021-07-07,18046
2021-07-06,11364
2021-07-05,9168
2021-07-04,8114
2021-07-03,5621
2021-07-02,9977
2021-07-01,12289
2021-06-30,8231
2021-06-29,12645
2021-06-28,21438
2021-06-27,26481
2021-06-26,7376
2021-06-25,9734
2021-06-24,15848
2021-06-23,12487
2021-06-22,10936
2021-06-21,13049
2021-06-20,20054
2021-06-19,11509
2021-06-18,9820
2021-06-17,13136
2021-06-16,20586
2021-06-15,57523
2021-06-14,42397
2021-06-13,10281
2021-06-12,10224
2021-06-11,14113
2021-06-10,10175
2021-06-09,9456
2021-06-08,12540
2021-06-07,13825
2021-06-06,12852
2021-06-05,22463
2021-06-04,35995
2021-06-03,34505
2021-06-02,33840
2021-06-01,47686
2021-05-31,33302
