start,end,minute_count
2022-04-24T20:01:00.000Z,2022-04-24T20:02:00.000Z,116
2022-04-24T20:02:00.000Z,2022-04-24T20:03:00.000Z,145
2022-04-24T20:03:00.000Z,2022-04-24T20:04:00.000Z,138
2022-04-24T20:04:00.000Z,2022-04-24T20:05:00.000Z,135
2022-04-24T20:05:00.000Z,2022-04-24T20:06:00.000Z,143
2022-04-24T20:06:00.000Z,2022-04-24T20:07:00.000Z,138
2022-04-24T20:07:00.000Z,2022-04-24T20:08:00.000Z,138
2022-04-24T20:08:00.000Z,2022-04-24T20:09:00.000Z,101
2022-04-24T20:09:00.000Z,2022-04-24T20:10:00.000Z,113
2022-04-24T20:10:00.000Z,2022-04-24T20:11:00.000Z,107
2022-04-24T20:11:00.000Z,2022-04-24T20:12:00.000Z,126
2022-04-24T20:12:00.000Z,2022-04-24T20:13:00.000Z,142
2022-04-24T20:13:00.000Z,2022-04-24T20:14:00.000Z,99
2022-04-24T20:14:00.000Z,2022-04-24T20:15:00.000Z,119
2022-04-24T20:15:00.000Z,2022-04-24T20:16:00.000Z,122
2022-04-24T20:16:00.000Z,2022-04-24T20:17:00.000Z,133
2022-04-24T20:17:00.000Z,2022-04-24T20:18:00.000Z,130
2022-04-24T20:18:00.000Z,2022-04-24T20:19:00.000Z,106
2022-04-24T20:19:00.000Z,2022-04-24T20:20:00.000Z,137
2022-04-24T20:20:00.000Z,2022-04-24T20:21:00.000Z,121
2022-04-24T20:21:00.000Z,2022-04-24T20:22:00.000Z,153
2022-04-24T20:22:00.000Z,2022-04-24T20:23:00.000Z,106
2022-04-24T20:23:00.000Z,2022-04-24T20:24:00.000Z,123
2022-04-24T20:24:00.000Z,2022-04-24T20:25:00.000Z,128
2022-04-24T20:25:00.000Z,2022-04-24T20:26:00.000Z,101
2022-04-24T20:26:00.000Z,2022-04-24T20:27:00.000Z,130
2022-04-24T20:27:00.000Z,2022-04-24T20:28:00.000Z,122
2022-04-24T20:28:00.000Z,2022-04-24T20:29:00.000Z,134
2022-04-24T20:29:00.000Z,2022-04-24T20:30:00.000Z,116
2022-04-24T20:30:00.000Z,2022-04-24T20:31:00.000Z,122
2022-04-24T20:31:00.000Z,2022-04-24T20:32:00.000Z,110
2022-04-24T20:32:00.000Z,2022-04-24T20:33:00.000Z,109
2022-04-24T20:33:00.000Z,2022-04-24T20:34:00.000Z,102
2022-04-24T20:34:00.000Z,2022-04-24T20:35:00.000Z,102
2022-04-24T20:35:00.000Z,2022-04-24T20:36:00.000Z,125
2022-04-24T20:36:00.000Z,2022-04-24T20:37:00.000Z,108
2022-04-24T20:37:00.000Z,2022-04-24T20:38:00.000Z,105
2022-04-24T20:38:00.000Z,2022-04-24T20:39:00.000Z,103
2022-04-24T20:39:00.000Z,2022-04-24T20:40:00.000Z,117
2022-04-24T20:40:00.000Z,2022-04-24T20:41:00.000Z,95
2022-04-24T20:41:00.000Z,2022-04-24T20:42:00.000Z,101
2022-04-24T20:42:00.000Z,2022-04-24T20:43:00.000Z,116
2022-04-24T20:43:00.000Z,2022-04-24T20:44:00.000Z,132
2022-04-24T20:44:00.000Z,2022-04-24T20:45:00.000Z,110
2022-04-24T20:45:00.000Z,2022-04-24T20:46:00.000Z,95
2022-04-24T20:46:00.000Z,2022-04-24T20:47:00.000Z,101
2022-04-24T20:47:00.000Z,2022-04-24T20:48:00.000Z,106
2022-04-24T20:48:00.000Z,2022-04-24T20:49:00.000Z,112
2022-04-24T20:49:00.000Z,2022-04-24T20:50:00.000Z,101
2022-04-24T20:50:00.000Z,2022-04-24T20:51:00.000Z,101
2022-04-24T20:51:00.000Z,2022-04-24T20:52:00.000Z,127
2022-04-24T20:52:00.000Z,2022-04-24T20:53:00.000Z,130
2022-04-24T20:53:00.000Z,2022-04-24T20:54:00.000Z,126
2022-04-24T20:54:00.000Z,2022-04-24T20:55:00.000Z,110
2022-04-24T20:55:00.000Z,2022-04-24T20:56:00.000Z,126
2022-04-24T20:56:00.000Z,2022-04-24T20:57:00.000Z,115
2022-04-24T20:57:00.000Z,2022-04-24T20:58:00.000Z,108
2022-04-24T20:58:00.000Z,2022-04-24T20:59:00.000Z,105
2022-04-24T20:59:00.000Z,2022-04-24T21:00:00.000Z,96
2022-04-24T21:00:00.000Z,2022-04-24T21:01:00.000Z,108
2022-04-24T21:01:00.000Z,2022-04-24T21:02:00.000Z,97
2022-04-24T21:02:00.000Z,2022-04-24T21:03:00.000Z,96
2022-04-24T21:03:00.000Z,2022-04-24T21:04:00.000Z,137
2022-04-24T21:04:00.000Z,2022-04-24T21:05:00.000Z,123
2022-04-24T21:05:00.000Z,2022-04-24T21:06:00.000Z,150
2022-04-24T21:06:00.000Z,2022-04-24T21:07:00.000Z,130
2022-04-24T21:07:00.000Z,2022-04-24T21:08:00.000Z,101
2022-04-24T21:08:00.000Z,2022-04-24T21:09:00.000Z,129
2022-04-24T21:09:00.000Z,2022-04-24T21:10:00.000Z,115
2022-04-24T21:10:00.000Z,2022-04-24T21:11:00.000Z,135
2022-04-24T21:11:00.000Z,2022-04-24T21:12:00.000Z,115
2022-04-24T21:12:00.000Z,2022-04-24T21:13:00.000Z,110
2022-04-24T21:13:00.000Z,2022-04-24T21:14:00.000Z,126
2022-04-24T21:14:00.000Z,2022-04-24T21:15:00.000Z,118
2022-04-24T21:15:00.000Z,2022-04-24T21:16:00.000Z,100
2022-04-24T21:16:00.000Z,2022-04-24T21:17:00.000Z,116
2022-04-24T21:17:00.000Z,2022-04-24T21:18:00.000Z,134
2022-04-24T21:18:00.000Z,2022-04-24T21:19:00.000Z,85
2022-04-24T21:19:00.000Z,2022-04-24T21:20:00.000Z,108
2022-04-24T21:20:00.000Z,2022-04-24T21:21:00.000Z,111
