storeNumber,name,address,city,state,zip,phone,latitude,longitude,brand,open_date
30647,Chicago Ridge,660 Chicago Ridge Mall,Chicago Ridge,IL,60415,708-346-0599,41.71899,-87.78252,HOL,2007-11-15
33564,Water Tower,"835 N Michigan Ave, Unit 5000",Chicago,IL,60611,312-284-1702,41.89812,-87.624,HOL,
53564,Water Tower,"835 N Michigan Ave, Unit 5000",Chicago,IL,60611,312-284-1702,41.89812,-87.624,GH,
31538,Orland Square,534 Orland Square Dr,Orland Park,IL,60462,708-349-0970,41.6198,-87.8483,HOL,2016-10-14
32092,Harlem Irving,4190 North Harlem Ave,Norridge,IL,60706,708-402-9027,41.95755,-87.80764,HOL,2023-06-02
52092,Harlem Irving,4190 North Harlem Ave,Norridge,IL,60706,,41.95755,-87.80764,GH,2023-06-02
31733,Oakbrook,79 Oakbrook Center,Oak Brook,IL,60523,630-230-3078,41.85416,-87.96537,HOL,2019-07-19
51684,Oakbrook,100 Oakbrook Center,Oak Brook,IL,60523,630 203 0159,41.85416,-87.96537,GH,2022-09-16
30047,Fashion Outlets Of Chicago,5220 Fashion Outlets Way,Rosemont,IL,60018,847-653-0504,41.9751,-87.86717,HOL,2022-11-11
30648,Old Orchard,4999 Old Orchard Shopping Center,Skokie,IL,60077,847-329-0225,42.0615,-87.74737,HOL,2007-11-01
30127,Woodfield,G111 Woodfield Mall,Schaumburg,IL,60173,847-995-0884,42.04556,-88.03723,HOL,2001-11-21
51678,Woodfield,E132 Woodfield Mall,Schaumburg,IL,60173,847-598-4789,42.04556,-88.03723,GH,2022-11-18
30257,Fox Valley,1520 Fox Valley Center Dr,Aurora,IL,60504,630-898-3582,41.75881,-88.21276,HOL,2003-12-12
31253,Chicago Po,1650 Premium Outlet Blvd,Aurora,IL,60502,331-212-3127,41.80028,-88.27391,HOL,2022-07-22
30134,Southlake,2266 Southlake Mall,Merrillville,IN,46410,219-769-0135,41.47074,-87.31079,HOL,2001-11-03
30243,Geneva Commons,314 Commons Drive,Geneva,IL,60134,630-845-8365,41.89302,-88.34166,HOL,2003-07-05
30305,Algonquin Commons,1912 S. Randall Road,Algonquin,IL,60102,847-854-9829,42.14855,-88.33582,HOL,2004-10-07
30593,Lighthouse Place Outlet,217 Lighthouse Place,Michigan City,IN,46360,219-873-9560,41.71956,-86.90706,HOL,2007-01-25
31281,Gurnee Mills Outlet,6170 Grand Ave,Gurnee,IL,60031,847-855-2819,42.38481,-87.95502,HOL,2012-11-08
30353,Cherryvale,"7200 Harrison Avenue, Unit F77",Rockford,IL,61112,815-332-9335,42.2412,-88.97542,HOL,2004-05-20
30555,Cielo Vista,"8401 Gateway Blvd W, Ste J6",El Paso,TX,79925,915-887-0966,31.77636,-106.37923,HOL,2006-10-19
30435,Shoppes At Solana,"750 Sunland Park Drive, Ste B10",El Paso,TX,79912,915-842-9126,31.81324,-106.54461,HOL,2005-01-27
30048,Outlet Shoppes At El Paso,7051 S Desert Blvd,Canutillo,TX,79835,915-321-3001,31.91228,-106.58547,HOL,2022-11-11
30342,Mesilla Valley,"700 S Telshor Blvd, Ste 1440",Las Cruces,NM,88011,575-532-1983,32.3116,-106.745,HOL,2004-01-29
31691,Queens Center,90-15 Queens Blvd,Queens,NY,11373,718-489-9915,40.7348,-73.8694,HOL,2016-10-28
31303,34th Street,130 W 34th St,New York,NY,10001-2169,646-200-5190,40.75023,-73.98938,HOL,
