,county,surfspots_total,drown_at_014m,drown_at_041m,drown_at_069m,drown_at_096m,drown_at_124m,drown_at_152m,drown_at_165m,pct_014m,pct_041m,pct_069m,pct_096m,pct_124m,pct_152m,pct_165m
0,Humboldt,3,0,0,2,3,3,3,3,0.0,0.0,66.66666666666666,100.0,100.0,100.0,100.0
1,Los Angeles,13,0,1,3,10,12,13,13,0.0,7.6923076923076925,23.076923076923077,76.92307692307693,92.3076923076923,100.0,100.0
2,Marin,3,0,0,0,3,3,3,3,0.0,0.0,0.0,100.0,100.0,100.0,100.0
3,Mendocino,1,0,0,1,1,1,1,1,0.0,0.0,100.0,100.0,100.0,100.0,100.0
4,Monterey,4,0,0,2,3,4,4,4,0.0,0.0,50.0,75.0,100.0,100.0,100.0
5,Orange,18,0,0,9,15,17,17,17,0.0,0.0,50.0,83.33333333333334,94.44444444444444,94.44444444444444,94.44444444444444
6,San Diego,26,0,3,7,23,25,26,26,0.0,11.538461538461538,26.923076923076923,88.46153846153845,96.15384615384616,100.0,100.0
7,San Francisco,2,0,0,0,1,2,2,2,0.0,0.0,0.0,50.0,100.0,100.0,100.0
8,San Luis Obispo,3,0,0,2,3,3,3,3,0.0,0.0,66.66666666666666,100.0,100.0,100.0,100.0
9,San Mateo,6,0,0,3,6,6,6,6,0.0,0.0,50.0,100.0,100.0,100.0,100.0
10,Santa Barbara,7,0,0,2,4,6,7,7,0.0,0.0,28.57142857142857,57.14285714285714,85.71428571428571,100.0,100.0
11,Santa Cruz,10,0,1,4,7,10,10,10,0.0,10.0,40.0,70.0,100.0,100.0,100.0
12,Sonoma,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,100.0,100.0
13,Ventura,5,0,0,0,4,5,5,5,0.0,0.0,0.0,80.0,100.0,100.0,100.0
