intldes,norad_cat_id,object_type,satname,country,launch,site,decay,period,inclination,apogee,perigee,comment,commentcode,rcsvalue,rcs_size,file,launch_year,launch_num,launch_piece,current,object_name,object_id,object_number
1965-092D,1736,ROCKET BODY,SL-6 R/B(2),CIS,1965-11-16,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1965,92,D,Y,SL-6 R/B(2),1965-092D,1736
1966-078A,2406,PAYLOAD,LUNA 11,CIS,1966-08-24,TTMTR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1966,78,A,Y,LUNA 11,1966-078A,2406
1966-084B,2426,ROCKET BODY,ATLAS CENTAUR R/B,US,1966-09-20,AFETR,,,,,,BARYCENTRIC ORBIT (EARTH-MOON),,0,,1,1966,84,B,Y,ATLAS CENTAUR R/B,1966-084B,2426
1966-095B,2513,ROCKET BODY,ATLAS CENTAUR R/B,US,1966-10-26,AFETR,,,,,,BARYCENTRIC ORBIT (EARTH-MOON),,0,,1,1966,95,B,Y,ATLAS CENTAUR R/B,1966-095B,2513
1967-035B,2764,ROCKET BODY,ATLAS CENTAUR R/B,US,1967-04-17,AFETR,,,,,,BARYCENTRIC ORBIT (EARTH-MOON),,0,,1,1967,35,B,Y,ATLAS CENTAUR R/B,1967-035B,2764
1967-060A,2845,PAYLOAD,MARINER 5 (VENUS),US,1967-06-14,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1967,60,A,Y,MARINER 5 (VENUS),1967-060A,2845
1967-070A,2884,PAYLOAD,EXPLORER 35 (AIMP-E),US,1967-07-19,AFETR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1967,70,A,Y,EXPLORER 35 (AIMP-E),1967-070A,2884
1967-075B,2908,ROCKET BODY,ATLAS AGENA D R/B,US,1967-08-01,AFETR,,,,,,LUNAR IMPACT,,0,,1,1967,75,B,Y,ATLAS AGENA D R/B,1967-075B,2908
1967-112B,3034,ROCKET BODY,ATLAS CENTAUR R/B,US,1967-11-07,AFETR,,,,,,BARYCENTRIC ORBIT (EARTH-MOON),,0,,1,1967,112,B,Y,ATLAS CENTAUR R/B,1967-112B,3034
1968-001B,3092,ROCKET BODY,ATLAS CENTAUR R/B,US,1968-01-07,AFETR,,,,,,BARYCENTRIC ORBIT (EARTH-MOON),,0,,1,1968,1,B,Y,ATLAS CENTAUR R/B,1968-001B,3092
1968-100A,3533,PAYLOAD,PIONEER 9,US,1968-11-08,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1968,100,A,Y,PIONEER 9,1968-100A,3533
1968-118B,3627,ROCKET BODY,SATURN 5 R/B,US,1968-12-21,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1968,118,B,Y,SATURN 5 R/B,1968-118B,3627
1969-014A,3759,PAYLOAD,MARINER 6 (MARS),US,1969-02-25,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1969,14,A,Y,MARINER 6 (MARS),1969-014A,3759
1969-018B,3770,ROCKET BODY,SATURN 5 R/B,US,1969-03-03,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1969,18,B,Y,SATURN 5 R/B,1969-018B,3770
1969-030A,3837,PAYLOAD,MARINER 7 (MARS),US,1969-03-27,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1969,30,A,Y,MARINER 7 (MARS),1969-030A,3837
1969-030B,3845,ROCKET BODY,ATLAS CENTAUR R/B,US,1969-03-27,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1969,30,B,Y,ATLAS CENTAUR R/B,1969-030B,3845
1969-036A,3889,PAYLOAD,OPS 3148,US,1969-04-13,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1969,36,A,Y,OPS 3148,1969-036A,3889
1969-043C,3948,PAYLOAD,APOLLO 10 LM (DPS),US,1969-05-18,AFETR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1969,43,C,Y,APOLLO 10 LM (DPS),1969-043C,3948
1969-043D,3949,PAYLOAD,APOLLO 10 LM (APS),US,1969-05-18,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1969,43,D,Y,APOLLO 10 LM (APS),1969-043D,3949
1969-059B,4040,ROCKET BODY,SATURN 5 R/B,US,1969-07-16,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1969,59,B,Y,SATURN 5 R/B,1969-059B,4040
1969-099B,4226,ROCKET BODY,SATURN 5 R/B,US,1969-11-14,AFETR,,,,,,NO INITIAL ELEMENTS,,0,,1,1969,99,B,Y,SATURN 5 R/B,1969-099B,4226
1970-062A,4493,PAYLOAD,SKYNET 1B,UK,1970-08-19,AFETR,,,,,,NO INITIAL ELEMENTS,,0,,1,1970,62,A,Y,SKYNET 1B,1970-062A,4493
1971-021A,5053,PAYLOAD,OPS 4788,US,1971-03-21,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1971,21,A,Y,OPS 4788,1971-021A,5053
1971-039B,5205,ROCKET BODY,TITAN 3C TRANSTAGE R/B,US,1971-05-05,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1971,39,B,Y,TITAN 3C TRANSTAGE R/B,1971-039B,5205
1971-049A,5252,PAYLOAD,MARS 3,CIS,1971-05-28,TTMTR,,,,,,MARS ORBIT,,0,,1,1971,49,A,Y,MARS 3,1971-049A,5252
1971-051A,5261,PAYLOAD,MARINER 9 (MARS),US,1971-05-30,AFETR,,,,,,MARS ORBIT,,0,,1,1971,51,A,Y,MARINER 9 (MARS),1971-051A,5261
1971-051B,5267,ROCKET BODY,ATLAS CENTAUR R/B,US,1971-05-30,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1971,51,B,Y,ATLAS CENTAUR R/B,1971-051B,5267
1971-082C,5490,ROCKET BODY,SL-12 R/B(2),CIS,1971-09-28,TTMTR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1971,82,C,Y,SL-12 R/B(2),1971-082C,5490
1972-012A,5860,PAYLOAD,PIONEER 10,US,1972-03-03,AFETR,,,,,,ESCAPED SOLAR SYSTEM,,0,,1,1972,12,A,Y,PIONEER 10,1972-012A,5860
1972-031C,6005,PAYLOAD,APOLLO 16 LM (ORION),US,1972-04-16,AFETR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1972,31,C,Y,APOLLO 16 LM (ORION),1972-031C,6005
1973-039A,6686,PAYLOAD,EXPLORER 49 (RAE-2),US,1973-06-10,AFETR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1973,39,A,Y,EXPLORER 49 (RAE-2),1973-039A,6686
1973-039D,6689,DEBRIS,DELTA 1 DEB,US,1973-06-10,AFETR,,,,,,NO INITIAL ELEMENTS,,0,,1,1973,39,D,Y,DELTA 1 DEB,1973-039D,6689
1973-039F,6725,DEBRIS,EXPLORER 49 DEB,US,1973-06-10,AFETR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1973,39,F,Y,EXPLORER 49 DEB,1973-039F,6725
1973-047A,6742,PAYLOAD,MARS 4,CIS,1973-07-21,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1973,47,A,Y,MARS 4,1973-047A,6742
1973-053A,6776,PAYLOAD,MARS 7,CIS,1973-08-09,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1973,53,A,Y,MARS 7,1973-053A,6776
1973-078D,6896,ROCKET BODY,DELTA 1 R/B(2),US,1973-10-26,AFETR,,,,,,NO INITIAL ELEMENTS,,0,,1,1973,78,D,Y,DELTA 1 R/B(2),1973-078D,6896
1973-053D,7224,PAYLOAD,MARS 7 DESCENT CRAFT,CIS,1973-08-09,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1973,53,D,Y,MARS 7 DESCENT CRAFT,1973-053D,7224
1974-037A,7315,PAYLOAD,LUNA 22,CIS,1974-05-29,TTMTR,,,,,,SELENOCENTRIC ORBIT (MOON),,0,,1,1974,37,A,Y,LUNA 22,1974-037A,7315
1974-097C,7569,ROCKET BODY,TITAN 3E CENTAUR R/B(2),US,1974-12-10,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1974,97,C,Y,TITAN 3E CENTAUR R/B(2),1974-097C,7569
1974-097D,7570,DEBRIS,HELIOS 1 DEB,GER,1974-12-10,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1974,97,D,Y,HELIOS 1 DEB,1974-097D,7570
1975-017A,7687,PAYLOAD,OPS 2439,US,1975-03-10,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1975,17,A,Y,OPS 2439,1975-017A,7687
1975-054A,7947,PAYLOAD,VENERA 10 BUS,CIS,1975-06-14,TTMTR,,,,,,VENUS ORBIT,,0,,1,1975,54,A,Y,VENERA 10 BUS,1975-054A,7947
1975-055A,7963,PAYLOAD,OPS 4966,US,1975-06-18,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1975,55,A,Y,OPS 4966,1975-055A,7963
1975-075A,8108,PAYLOAD,VIKING 1 ORBITER,US,1975-08-20,AFETR,,,,,,MARS ORBIT,,0,,1,1975,75,A,Y,VIKING 1 ORBITER,1975-075A,8108
1975-083A,8199,PAYLOAD,VIKING 2 ORBITER,US,1975-09-09,AFETR,,,,,,MARS ORBIT,,0,,1,1975,83,A,Y,VIKING 2 ORBITER,1975-083A,8199
1976-003A,8582,PAYLOAD,HELIOS 2,GER,1976-01-15,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1976,3,A,Y,HELIOS 2,1976-003A,8582
1976-003B,8583,ROCKET BODY,TITAN 3E CENTAUR R/B(1),US,1976-01-15,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1976,3,B,Y,TITAN 3E CENTAUR R/B(1),1976-003B,8583
1976-003C,8584,ROCKET BODY,TITAN 3E CENTAUR R/B(2),US,1976-01-15,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1976,3,C,Y,TITAN 3E CENTAUR R/B(2),1976-003C,8584
1976-038B,8819,ROCKET BODY,ATLAS R/B,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,B,Y,ATLAS R/B,1976-038B,8819
1976-038E,8839,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,E,Y,OPS 6431 DEB,1976-038E,8839
1976-038F,8842,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,F,Y,OPS 6431 DEB,1976-038F,8842
1976-038H,8859,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,H,Y,OPS 6431 DEB,1976-038H,8859
1976-050A,8871,PAYLOAD,OPS 7837,US,1976-06-02,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,50,A,Y,OPS 7837,1976-050A,8871
1976-059D,8919,DEBRIS,OPS 2112 DEB,US,1976-06-26,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,59,D,Y,OPS 2112 DEB,1976-059D,8919
1976-065C,9008,PAYLOAD,OPS 5366,US,1976-07-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,65,C,Y,OPS 5366,1976-065C,9008
1976-091B,9419,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,B,Y,OPS 5721 DEB,1976-091B,9419
1976-091C,9420,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,C,Y,OPS 5721 DEB,1976-091C,9420
1976-091F,9484,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,F,Y,OPS 5721 DEB,1976-091F,9484
1976-091G,9518,DEBRIS,OPS 5721 DEB,US,1976-09-11,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,91,G,Y,OPS 5721 DEB,1976-091G,9518
1976-038K,9796,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,K,Y,OPS 6431 DEB,1976-038K,9796
1977-005D,9809,DEBRIS,DELTA 1 DEB,US,1977-01-28,AFETR,,,,,,NO INITIAL ELEMENTS,,0,,1,1977,5,D,Y,DELTA 1 DEB,1977-005D,9809
1977-005E,9810,DEBRIS,DELTA 1 DEB,US,1977-01-28,AFETR,,,,,,NO INITIAL ELEMENTS,,0,,1,1977,5,E,Y,DELTA 1 DEB,1977-005E,9810
1976-038L,9996,DEBRIS,OPS 6431 DEB,US,1976-04-30,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1976,38,L,Y,OPS 6431 DEB,1976-038L,9996
1977-038B,10017,ROCKET BODY,ATLAS AGENA R/B(1),US,1977-05-23,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,38,B,Y,ATLAS AGENA R/B(1),1977-038B,10017
1977-044B,10034,DEBRIS,OPS 5644 DEB,US,1977-06-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,44,B,Y,OPS 5644 DEB,1977-044B,10034
1977-044C,10037,DEBRIS,OPS 5644 DEB,US,1977-06-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,44,C,Y,OPS 5644 DEB,1977-044C,10037
1977-044D,10085,DEBRIS,OPS 5644 DEB,US,1977-06-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,44,D,Y,OPS 5644 DEB,1977-044D,10085
1977-076A,10271,PAYLOAD,VOYAGER 2,US,1977-08-20,AFETR,,,,,,ESCAPED SOLAR SYSTEM,,0,,1,1977,76,A,Y,VOYAGER 2,1977-076A,10271
