separation_year,debris,litter,payload,rocket stage
1958,0.0,1.0,1.0,1.0
1959,0.0,1.0,4.0,3.0
1960,0.0,6.0,8.0,6.0
1961,190.0,25.0,20.0,12.0
1962,190.0,36.0,35.0,18.0
1963,203.0,94.0,57.0,25.0
1964,203.0,115.0,83.0,38.0
1965,337.0,153.0,134.0,59.0
1966,340.0,186.0,167.0,78.0
1967,342.0,216.0,212.0,100.0
1968,420.0,247.0,243.0,116.0
1969,482.0,269.0,271.0,131.0
1970,810.0,295.0,308.0,154.0
1971,858.0,316.0,358.0,181.0
1972,858.0,340.0,405.0,207.0
1973,1071.0,354.0,450.0,222.0
1974,1072.0,373.0,500.0,245.0
1975,1271.0,400.0,561.0,277.0
1976,1361.0,437.0,632.0,306.0
1977,1723.0,482.0,688.0,343.0
1978,1731.0,527.0,770.0,380.0
1979,1771.0,542.0,816.0,403.0
1980,1812.0,570.0,873.0,428.0
1981,2427.0,614.0,954.0,471.0
1982,2429.0,655.0,1023.0,508.0
1983,2445.0,717.0,1108.0,548.0
1984,2488.0,789.0,1198.0,596.0
1985,2703.0,873.0,1285.0,639.0
1986,2747.0,908.0,1363.0,681.0
1987,2827.0,950.0,1437.0,721.0
1988,2890.0,1008.0,1514.0,760.0
1989,2962.0,1042.0,1585.0,794.0
1990,3036.0,1107.0,1687.0,838.0
1991,3381.0,1177.0,1774.0,881.0
1992,3624.0,1227.0,1851.0,918.0
1993,3754.0,1268.0,1922.0,947.0
1994,3793.0,1310.0,1998.0,988.0
1995,3796.0,1331.0,2055.0,1022.0
1996,3895.0,1374.0,2112.0,1049.0
1997,3896.0,1408.0,2195.0,1069.0
1998,3980.0,1437.0,2280.0,1097.0
1999,4070.0,1472.0,2378.0,1126.0
2000,4219.0,1535.0,2458.0,1167.0
2001,4362.0,1582.0,2503.0,1190.0
2002,4373.0,1672.0,2555.0,1218.0
2003,4387.0,1713.0,2598.0,1251.0
2004,4490.0,1765.0,2643.0,1278.0
2005,4529.0,1809.0,2672.0,1304.0
2006,4666.0,1899.0,2703.0,1334.0
2007,7595.0,1985.0,2748.0,1362.0
2008,7604.0,2064.0,2796.0,1398.0
2009,9062.0,2207.0,2840.0,1438.0
2010,9190.0,2289.0,2872.0,1479.0
2011,9195.0,2370.0,2897.0,1515.0
2012,9220.0,2425.0,2925.0,1550.0
2013,9271.0,2492.0,2971.0,1595.0
2014,9434.0,2556.0,3021.0,1646.0
2015,10133.0,2614.0,3051.0,1691.0
2016,10203.0,2675.0,3088.0,1733.0
2017,10215.0,2739.0,3247.0,1771.0
2018,10386.0,2860.0,3333.0,1825.0
2019,10659.0,2934.0,3389.0,1879.0
2020,11227.0,3004.0,3427.0,1918.0
2021,12731.0,3118.0,3445.0,1972.0
2022,12731.0,3128.0,3446.0,1976.0
