county,area,confirmed_cases,cases_rate,confirmed_deaths,deaths_rate,county_date
Los Angeles,City of Agoura Hills,829,3970,12,57,2021-01-25
Los Angeles,City of Alhambra,5945,6855,114,131,2021-01-25
Los Angeles,City of Arcadia,2285,3956,82,142,2021-01-25
Los Angeles,City of Artesia,1778,10586,39,232,2021-01-25
Los Angeles,City of Avalon,12,310,0,0,2021-01-25
Los Angeles,City of Azusa,5543,11077,76,152,2021-01-25
Los Angeles,City of Baldwin Park,11733,15284,197,257,2021-01-25
Los Angeles,City of Bell,5924,16305,82,226,2021-01-25
Los Angeles,City of Bell Gardens,7409,17202,68,158,2021-01-25
Los Angeles,City of Bellflower,9427,12127,115,148,2021-01-25
Los Angeles,City of Beverly Hills,2168,6280,20,58,2021-01-25
Los Angeles,City of Bradbury,33,3087,0,0,2021-01-25
Los Angeles,City of Burbank,7280,6792,163,152,2021-01-25
Los Angeles,City of Calabasas,971,3992,16,66,2021-01-25
Los Angeles,City of Carson,7903,8421,140,149,2021-01-25
Los Angeles,City of Cerritos,2535,5063,27,54,2021-01-25
Los Angeles,City of Claremont,1953,5353,36,99,2021-01-25
Los Angeles,City of Commerce*,2198,16818,28,214,2021-01-25
Los Angeles,City of Compton,14821,14835,150,150,2021-01-25
Los Angeles,City of Covina,5652,11527,103,210,2021-01-25
Los Angeles,City of Cudahy,4244,17431,36,148,2021-01-25
Los Angeles,City of Culver City,1845,4628,66,166,2021-01-25
Los Angeles,City of Diamond Bar,2732,4750,32,56,2021-01-25
Los Angeles,City of Downey,15580,13635,178,156,2021-01-25
Los Angeles,City of Duarte,2012,9139,58,263,2021-01-25
Los Angeles,City of El Monte,15330,13073,287,245,2021-01-25
Los Angeles,City of El Segundo,559,3330,4,24,2021-01-25
Los Angeles,City of Gardena,5361,8744,119,194,2021-01-25
Los Angeles,City of Glendale,16039,7767,393,190,2021-01-25
Los Angeles,City of Glendora,4106,7782,126,239,2021-01-25
Los Angeles,City of Hawaiian Gardens,1992,13573,4,27,2021-01-25
Los Angeles,City of Hawthorne,8883,10005,120,135,2021-01-25
Los Angeles,City of Hermosa Beach,809,4113,7,36,2021-01-25
Los Angeles,City of Hidden Hills,68,3598,0,0,2021-01-25
Los Angeles,City of Huntington Park,10118,17010,111,187,2021-01-25
Los Angeles,City of Industry,132,30206,3,686,2021-01-25
Los Angeles,City of Inglewood,11653,10260,211,186,2021-01-25
Los Angeles,City of Irwindale,225,15422,3,206,2021-01-25
Los Angeles,City of La Canada Flintridge,641,3098,12,58,2021-01-25
Los Angeles,City of La Habra Heights,92,1687,1,18,2021-01-25
Los Angeles,City of La Mirada,3665,7389,69,139,2021-01-25
Los Angeles,City of La Puente,5982,14699,66,162,2021-01-25
Los Angeles,City of La Verne,2426,7289,36,108,2021-01-25
Los Angeles,City of Lakewood,6166,7673,42,52,2021-01-25
Los Angeles,City of Lancaster*,18817,11646,166,103,2021-01-25
Los Angeles,City of Lawndale,2986,8883,32,95,2021-01-25
Los Angeles,City of Lomita,1145,5524,13,63,2021-01-25
Los Angeles,City of Lynwood*,11837,16430,171,237,2021-01-25
Los Angeles,City of Malibu,296,2284,6,46,2021-01-25
Los Angeles,City of Manhattan Beach,1054,2928,11,31,2021-01-25
Los Angeles,City of Maywood,4682,16692,61,217,2021-01-25
Los Angeles,City of Monrovia,2749,7085,50,129,2021-01-25
Los Angeles,City of Montebello,9054,14064,119,185,2021-01-25
Los Angeles,City of Monterey Park,4170,6698,122,196,2021-01-25
Los Angeles,City of Norwalk,14133,13132,194,180,2021-01-25
Los Angeles,City of Palmdale,21424,13477,167,105,2021-01-25
Los Angeles,City of Palos Verdes Estates,306,2263,3,22,2021-01-25
Los Angeles,City of Paramount,8903,15892,90,161,2021-01-25
Los Angeles,City of Pico Rivera,9929,15446,169,263,2021-01-25
Los Angeles,City of Pomona,21974,14092,291,187,2021-01-25
Los Angeles,City of Rancho Palos Verdes,1065,2491,36,84,2021-01-25
Los Angeles,City of Redondo Beach,2233,3251,20,29,2021-01-25
Los Angeles,City of Rolling Hills,36,1856,0,0,2021-01-25
Los Angeles,City of Rolling Hills Estates,204,2514,5,62,2021-01-25
Los Angeles,City of Rosemead,4180,7552,84,152,2021-01-25
Los Angeles,City of San Dimas*,2701,7825,56,162,2021-01-25
Los Angeles,City of San Fernando,4565,18548,43,175,2021-01-25
Los Angeles,City of San Gabriel,2756,6730,150,366,2021-01-25
Los Angeles,City of San Marino,332,2501,11,83,2021-01-25
Los Angeles,City of Santa Clarita,16822,7632,162,73,2021-01-25
Los Angeles,City of Santa Fe Springs,2464,13418,27,147,2021-01-25
Los Angeles,City of Santa Monica,3794,4104,108,117,2021-01-25
Los Angeles,City of Sierra Madre,400,3640,8,73,2021-01-25
Los Angeles,City of Signal Hill,986,8358,6,51,2021-01-25
Los Angeles,City of South El Monte,3057,14637,33,158,2021-01-25
Los Angeles,City of South Gate,16606,16918,148,151,2021-01-25
Los Angeles,City of South Pasadena,1143,4387,35,134,2021-01-25
Los Angeles,City of Temple City,2050,5623,82,225,2021-01-25
Los Angeles,City of Torrance,5836,3910,132,88,2021-01-25
Los Angeles,City of Vernon,115,55024,1,478,2021-01-25
Los Angeles,City of Walnut,1492,4887,24,79,2021-01-25
Los Angeles,City of West Covina,11245,10389,134,124,2021-01-25
Los Angeles,City of West Hollywood,1864,5045,23,62,2021-01-25
Los Angeles,City of Westlake Village,86,1029,0,0,2021-01-25
Los Angeles,City of Whittier,9760,11163,165,189,2021-01-25
Los Angeles,Los Angeles,437106,10807,6294,156,2021-01-25
Los Angeles,Los Angeles - Adams-Normandie,1036,12631,12,146,2021-01-25
Los Angeles,Los Angeles - Alsace,1413,11354,12,96,2021-01-25
