"COMMODITY_CODES"	,"COMMODITY_DESCRIPTION"	,"UNIT_DESCRIPTION_NEW"	,"UNIT_DESCRIPTION_OLD"	,
64061000,"Uppers & parts thereof (excl. stiffeners)"	,"kilogram/number of pieces"	,"kilogram/pair"	,
64062010,"Outer soles & heels of rubber"	,"kilogram/number of pieces"	,"kilogram/pair"	,
64062020,"Outer soles & heels of plastics"	,"kilogram/number of pieces"	,"kilogram/pair"	,
64069010,"Parts of other footwear,removable insoles, heel cushions, gaiters, of wood"	,"kilogram/number of pieces"	,"kilogram/pair"	,
64069091,"Removable insoles,heel cushions and similar articles, of other materials"	,"kilogram/number of pieces"	,"kilogram/pair"	,
64069092,"Gaiters, leggings and similar articles, and parts thereof, of other materials"	,"kilogram/number of pieces"	,"kilogram/pair"	,
64069099,"Parts of footwear, nes, of other materials"	,"kilogram/number of pieces"	,"kilogram/pair"	,
