name,slug,value,date_of_information,ranking,region
South Sudan,south-sudan,5.05,2021 est.,1,Africa
Burundi,burundi,3.68,2021 est.,2,Africa
Niger,niger,3.65,2021 est.,3,Africa
Angola,angola,3.38,2021 est.,4,Africa
Benin,benin,3.36,2021 est.,5,Africa
Uganda,uganda,3.31,2021 est.,6,Africa
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,3.16,2021 est.,7,Africa
Chad,chad,3.12,2021 est.,8,Africa
Mali,mali,2.97,2021 est.,9,Africa
Zambia,zambia,2.93,2021 est.,10,Africa
Tanzania,tanzania,2.81,2021 est.,11,Africa
Cameroon,cameroon,2.77,2021 est.,12,Africa
Guinea,guinea,2.76,2021 est.,13,Africa
Liberia,liberia,2.74,2021 est.,14,Africa
Mozambique,mozambique,2.58,2021 est.,15,Africa
Burkina Faso,burkina-faso,2.58,2021 est.,16,Africa
Sudan,sudan,2.55,2021 est.,17,Africa
Nigeria,nigeria,2.53,2021 est.,18,Africa
Guinea-Bissau,guinea-bissau,2.52,2021 est.,19,Africa
Togo,togo,2.51,2021 est.,20,Africa
Ethiopia,ethiopia,2.5,2021 est.,21,Africa
Venezuela,venezuela,2.46,2021 est.,22,South America
Sierra Leone,sierra-leone,2.44,2021 est.,23,Africa
Gabon,gabon,2.41,2021 est.,24,Africa
Malawi,malawi,2.39,2021 est.,25,Africa
"Congo, Republic of the",congo-republic-of-the,2.36,2021 est.,26,Africa
Somalia,somalia,2.35,2021 est.,27,Africa
Afghanistan,afghanistan,2.34,2021 est.,28,South Asia
Madagascar,madagascar,2.31,2021 est.,29,Africa
Equatorial Guinea,equatorial-guinea,2.29,2021 est.,30,Africa
Ghana,ghana,2.26,2021 est.,31,Africa
Senegal,senegal,2.25,2021 est.,32,Africa
Cote d'Ivoire,cote-divoire,2.21,2021 est.,33,Africa
Timor-Leste,timor-leste,2.19,2021 est.,34,East Asia/Southeast Asia
Egypt,egypt,2.17,2021 est.,35,Africa
Kenya,kenya,2.15,2021 est.,36,Africa
Iraq,iraq,2.06,2021 est.,37,Middle East
Gaza Strip,gaza-strip,2.05,2021 est.,38,Middle East
Mauritania,mauritania,2.02,2021 est.,39,Africa
Djibouti,djibouti,2.01,2021 est.,40,Africa
Pakistan,pakistan,1.99,2021 est.,41,South Asia
British Virgin Islands,british-virgin-islands,1.96,2021 est.,42,Central America
Zimbabwe,zimbabwe,1.94,2021 est.,43,Africa
Yemen,yemen,1.93,2021 est.,44,Middle East
Turks and Caicos Islands,turks-and-caicos-islands,1.91,2021 est.,45,Central America
Oman,oman,1.89,2021 est.,46,Middle East
Cayman Islands,cayman-islands,1.87,2021 est.,47,Central America
Anguilla,anguilla,1.84,2021 est.,48,Central America
Namibia,namibia,1.83,2021 est.,49,Africa
"Gambia, The",gambia-the,1.82,2021 est.,50,Africa
Rwanda,rwanda,1.8,2021 est.,51,Africa
Central African Republic,central-african-republic,1.79,2021 est.,52,Africa
Libya,libya,1.76,2021 est.,53,Africa
Solomon Islands,solomon-islands,1.75,2021 est.,54,Australia - Oceania
West Bank,west-bank,1.72,2021 est.,55,Middle East
Luxembourg,luxembourg,1.7,2021 est.,56,Europe
Vanuatu,vanuatu,1.67,2021 est.,57,Australia - Oceania
Belize,belize,1.67,2021 est.,58,Central America
Saudi Arabia,saudi-arabia,1.62,2021 est.,59,Middle East
Guatemala,guatemala,1.62,2021 est.,60,Central America
Papua New Guinea,papua-new-guinea,1.61,2021 est.,61,East Asia/Southeast Asia
Sao Tome and Principe,sao-tome-and-principe,1.5,2021 est.,62,Africa
Philippines,philippines,1.49,2021 est.,63,East Asia/Southeast Asia
Brunei,brunei,1.48,2021 est.,64,East Asia/Southeast Asia
Laos,laos,1.46,2021 est.,65,East Asia/Southeast Asia
Israel,israel,1.45,2021 est.,66,Middle East
Tajikistan,tajikistan,1.44,2021 est.,67,Central Asia
Botswana,botswana,1.43,2021 est.,68,Africa
Comoros,comoros,1.41,2021 est.,69,Africa
Algeria,algeria,1.41,2021 est.,70,Africa
Bolivia,bolivia,1.39,2021 est.,71,South America
Marshall Islands,marshall-islands,1.37,2021 est.,72,Australia - Oceania
Cambodia,cambodia,1.34,2021 est.,73,East Asia/Southeast Asia
Australia,australia,1.31,2021 est.,74,Australia - Oceania
New Zealand,new-zealand,1.28,2021 est.,75,Australia - Oceania
