Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.1,487602457.7,596423607.1,695304363,764887117.2,872138715.1,958463184.4,1082979721,1245688268,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,19299444453,19709535909,21478715486,25715008783,23510800233,26791601696,29131535493,30151828540,32853799013,37717646993,40287263977,44445200471,48267317151,62938945070,78195532918,83376544653,83151564592,94921754118,1.06271E+11,1.2441E+11,1.56402E+11,1.60265E+11,1.5456E+11,1.59645E+11,1.45919E+11,1.30348E+11,1.46921E+11,1.79612E+11,1.8887E+11,1.94406E+11,2.12186E+11,2.20608E+11,2.20063E+11,2.3387E+11,2.38919E+11,2.69499E+11,2.68251E+11,2.82014E+11,2.6565E+11,2.62012E+11,2.83752E+11,2.5866E+11,2.64708E+11,3.52443E+11,4.38565E+11,5.11898E+11,5.75569E+11,6.60774E+11,7.07853E+11,7.12054E+11,8.4681E+11,9.42711E+11,9.49849E+11,9.6356E+11,9.83749E+11,9.18647E+11,8.72023E+11,9.84256E+11,1.01172E+12,1.00838E+12,9.18815E+11
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10404280784,11128050589,11943353288,12676515454,13838577015,14862472886,15832846881,14426432397,14880350847,16882094303,23504608015,20832819361,25264956496,31273822294,44214489606,51444737234,62129396933,65315014927,71199715512,88628410997,1.12031E+11,2.11004E+11,1.87164E+11,1.38115E+11,1.14263E+11,1.16507E+11,1.07498E+11,1.10322E+11,1.08943E+11,1.01769E+11,1.21802E+11,1.17457E+11,1.18282E+11,98826405551,86281770253,1.08221E+11,1.25763E+11,1.27064E+11,1.30107E+11,1.3752E+11,1.40408E+11,1.48012E+11,1.76933E+11,2.04642E+11,2.5409E+11,3.10554E+11,3.93297E+11,4.61778E+11,5.66426E+11,5.06996E+11,5.91583E+11,6.70963E+11,7.27571E+11,8.20788E+11,8.51487E+11,7.6073E+11,6.90543E+11,6.83742E+11,7.41692E+11,7.94572E+11,7.84588E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5934073604,5553824464,5553824464,5787823809,6135166254,7558613008,7076793823,8089279285,8775116269,10207922517,11236275843,,,,3390500000,5561222222,7526963964,7649716157,6506619145,6152936539,9129634978,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,89417190341,58375976293
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199641336,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875,14887629268
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35078720524,38227279777,43222514240,49925445321,59481318267,75456689114,1.43056E+11,1.58175E+11,1.9689E+11,2.2736E+11,2.4953E+11,3.39195E+11,4.58968E+11,4.74809E+11,4.45859E+11,4.19155E+11,4.25802E+11,4.24832E+11,4.1376E+11,4.50002E+11,4.26714E+11,4.50082E+11,6.22547E+11,4.38682E+11,4.73712E+11,4.82663E+11,5.0766E+11,5.55939E+11,6.14062E+11,6.62176E+11,6.44357E+11,7.12684E+11,8.15845E+11,7.98335E+11,8.02951E+11,8.87663E+11,1.05602E+12,1.29762E+12,1.53282E+12,1.78913E+12,2.25368E+12,1.97389E+12,2.30259E+12,2.49155E+12,2.72899E+12,2.78752E+12,2.81861E+12,2.45201E+12,2.40096E+12,2.45507E+12,2.71793E+12,2.7632E+12,2.43629E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,4.17216E+11,3.58869E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979E+11,79092001998,88416668900,1.10934E+11,1.11106E+11,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.2482E+11,4.51932E+11,3.89288E+11
