"NO"	,"CATEGORY"	,"CODING_RANGE"	,"UNIT"	,
1,"Agriculture products*"	,"01-24,290543,290544,3301,3501-3505,38091,38246,4101-4103,4301,5001-5003,5101-5103,5201-5203,5301,5302"	,-	,
10,"    Grain food"	,"07019,07101,0713109,0713209,0713319,0713329,0713339,071334-071339,0713409,0713509,0713609,0713909,07142019,0714202,0714203,100119,100199,10029,10039,10049,10059,1006108,10062-10064,10079,10081,100829,1008409,1008509,1008609,1008909,1101-1105,11061,12019"	,10000T	,
100,"        Printers and duplicators, including multifunctional machineries"	,"84431-84433"	,N	,
101,"    General machines"	,"84131,84132,84135-84138,84141-84143,8414593,8414599,84148,84151022,8415812,8415822,841583,8418301,8418401,84185,84186,841932,841939,84196,842119,8421219,842129,8421392-8421399,84811-84818"	,-	,
102,"        Pumps"	,"84131,84132,84135-84138,84141,84142"	,10000N	,
103,"        Compressors"	,"84143,8414802,8414804"	,10000N	,
104,"        Separation equipments"	,"84196,842119,8421219,842129,8421392-8421399"	,-	,
105,"        Valves and similar appliances"	,"84811-84818"	,10000N	,
106,"    Textile Machines and parts thereof"	,"8444-8449,84513-84519"	,-	,
107,"    Sewing machines and parts thereof"	,"8452"	,-	,
108,"    Machine-tools"	,"8456-8465"	,N	,
109,"    Automatic data processing machines and parts thereof"	,"8471,84733,852842,852852,852862"	,-	,
11,"            Rice"	,"1006108,10062-10064,1102902,1103193"	,10000T	,
110,"        Automatic data processing machines"	,"84713,84714"	,10000N	,
111,"            Tablet computers"	,"8471301"	,10000N	,
112,"            Laptops"	,"8471309"	,10000N	,
113,"        Central processing units"	,"84715"	,10000N	,
114,"        Storage units"	,"84717"	,10000N	,
115,"        Parts and accessories of automatic data processing machines"	,"84733"	,T	,
116,"        LCD monitors"	,"8528521"	,10000N	,
117,"    Electrical equipments"	,"85042-85044,8505,85061-85068,85071-85078,85111-85118,85141-85144,85151-85158,8535-8537,85441,85442,85444,85446,8545-8547"	,-	,
118,"        Transformers"	,"85042,85043"	,10000N	,
119,"        Primary cells and batteries"	,"85061-85068"	,100MN	,
12,"    Canned food"	,"1602321,1602391,1602491,1602501,1602901,1604201,2002101,2002901,2003101,2003901,2005511,2005591,2005601,2005911,2005992,20059991,2007991,2008111,2008191,2008192,2008201,2008301,2008401,2008601,2008701,2008991,2008992,2008994"	,T	,
120,"        Electric accumulators"	,"85071-85078"	,10000N	,
121,"            Lithium-ion batteries"	,"85076"	,10000N	,
122,"        Electrical control devices"	,"8535,85361-85366,85369,8537"	,-	,
123,"            High voltage switches and control devices"	,"8535,85372"	,-	,
124,"            Low voltage switches and control devices"	,"85361-85366,85369,85371"	,-	,
125,"        Insulated wires and cables"	,"85441,85442,85444,85446"	,10000T	,
126,"    Mobile phones"	,"8517121"	,10000N	,
127,"    Electric appliances of household type"	,"63011,841451,8414601,8415101,84151021,8415811,8415821,84181,84182,8418302,8418402,8421121,8421211,8421391,842211,84501,845121,850811,85094,85098,85101-85103,85161,851621,8516292-8516299,85163-85167,85219011,85219012,852872,852873"	,10000N	,
128,"        Electric fans"	,"841451"	,10000N	,
129,"        Air conditioners"	,"8415101,84151021,8415811,8415821"	,10000N	,
13,"        Canned vegetables"	,"2002101,2002901,2003101,2003901,2005511,2005591,2005601,2005911,2005992,20059991"	,T	,
130,"        Refrigerators"	,"84181,84182,8418302,8418402"	,10000N	,
131,"        Washing machines"	,"84501"	,10000N	,
132,"        Cleaners"	,"850811"	,10000N	,
133,"        Microwave ovens"	,"85165"	,10000N	,
134,"        Televisions"	,"852872,852873"	,10000N	,
135,"            LCD televisions"	,"8528722"	,10000N	,
136,"    Audio or video devices and parts thereof"	,"8519,85211,85219019,8521909,85221,8522901-8522903,85229099,85258,85271,85279,852849,852859,852869,852871,8529102,8529109,8529904,8529906,8529909"	,-	,
137,"        Television cameras, digital cameras and video camera recorders"	,"85258"	,10000N	,
138,"            Digital cameras"	,"8525802"	,10000N	,
139,"        Reception apparatuses for radio-broadcasting"	,"85271,85279"	,10000N	,
14,"    Liquors and beverages"	,"2009,2201-2206,2208"	,-	,
140,"        Parts of audio or video devices"	,"85221,8522901-8522903,85229099,8529102,8529109,8529904,8529906,8529909"	,-	,
141,"    Organic light emitting diode(OLED) screens"	,"85299083"	,10000N	,
142,"    Electronic components"	,"85041,85045,85176294,85181-85185,8531801,85321-85323,85331-85334,8534,85411-85416,85423,85447,90011"	,-	,
143,"        Printed circuits"	,"8534"	,100MN	,
144,"        Diodes and similar semiconductors"	,"85411-85416"	,100MN	,
145,"            Solar cells"	,"8541402"	,10000N	,
146,"        Electronic integrated circuits"	,"85423"	,100MN	,
147,"    Containers"	,"8609"	,10000N	,
148,"    Motorcycles"	,"8711"	,10000N	,
149,"        Montorcycles with internal combustion piston engine"	,"87111-87115"	,10000N	,
15,"        Fruit juices"	,"2009"	,10000T	,
150,"        Motorcycles with electric motor and cycles "	,"87116"	,10000N	,
151,"    Bicycles"	,"8712002-8712008"	,10000N	,
152,"    Parts and accessories of motorcycles or bicycles"	,"40114,40115,40132,7315111,7315112,85121,8512309,87141,87149"	,-	,
153,"    Motor vehicles£¨including chassis fitted with engines) "	,"87012,8701919,8701929,8701939,8701949,8701959,8702,87032-87039,8704-8706"	,10000N	,
154,"        Passenger cars"	,"87032-87039"	,N	,
155,"        Commercial vehicles"	,"87012,8701919,8701929,8701939,8701949,8701959,8702,8704-8706"	,N	,
156,"            Moter vehicles with ten seats or more"	,"8702"	,N	,
157,"            Trucks"	,"87042-87049"	,N	,
158,"            Special purpose motor vehicles"	,"8705"	,N	,
159,"    Parts and accessories of vehicle "	,"40111,40112,401211,401212,4012201,4012902,40131,7007119,7007219,70091,83012,83023,84073,84082,84152,85122,8512301,85124,85229091,8526911,85272,8539213,8539293,8544302,8707,8708,9029201,9401201,9401209,9401901"	,-	,
16,"        Beers"	,"2203"	,10000L	,
160,"        Vehicle engines"	,"84073,84082"	,10000N	,
161,"        Vehicle tyres"	,"40111,40112,401211,401212,4012201,4012902,40131"	,T	,
162,"    Baby carriages and parts thereof"	,"8715"	,T	,
163,"    Ships"	,"8901,8902,890391,890392,8904,89051,8905909,8906"	,N	,
164,"        Tankers"	,"89012"	,N	,
165,"        Motor container vessels"	,"8901902"	,N	,
166,"        Motor bulk carriers"	,"8901904"	,N	,
167,"    Spectacles and parts thereof"	,"90013-90015,9003,9004"	,-	,
168,"    LCD panels"	,"9013803"	,10000N	,
169,"    Measuring or checking instruments"	,"9014-9017,902219,902229,9023-9033"	,-	,
17,"    Tobacco and articles thereof"	,"24"	,T	,
170,"        Analytical Instruments"	,"90271-90278"	,N	,
171,"    Medical or surgical instruments and apparatuses"	,"9018-9020,902212-902214,902221,9402109,94029"	,-	,
172,"    Clocks and watches and parts thereof"	,"91"	,-	,
173,"        Wrist watches "	,"91011,91012,91021,91022"	,10000N	,
174,"    Lamps and lighting fittings and parts thereof"	,"9405"	,-	,
175,"    Game machines and parts thereof"	,"9504301,95045,9504901"	,T	,
