"CODES"	,"DESCRIPTION"	,"YEAR"	,"UNIT_1_CODES"	,"UNIT_1_DESCRIPTION"	,"UNIT_2_CODES"	,"UNIT_2_DESCRIPTION"	,
01	,"Live animals"	,2021	,09	,"Kilogram"	,?	,"?"	,
02	,"Meat and edible meat offal"	,2021	,09	,"Kilogram"	,?	,"?"	,
03	,"Fish and crustaceans, molluscs and other aquatic invertebrates "	,2021	,?	,"?"	,?	,"?"	,
04	,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included "	,2021	,09	,"Kilogram"	,?	,"?"	,
05	,"roducts of animal origin,not elsewhere specified or included "	,2021	,09	,"Kilogram"	,?	,"?"	,
06	,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	,2021	,?	,"?"	,?	,"?"	,
07	,"Edible vegetables and certain roots and tubers"	,2021	,09	,"Kilogram"	,?	,"?"	,
08	,"Edible fruit and nuts; peel of citrus fruit or melons"	,2021	,09	,"Kilogram"	,?	,"?"	,
09	,"Coffee, tea, mat¨¦ and spices"	,2021	,09	,"Kilogram"	,?	,"?"	,
10	,"Cereals "	,2021	,09	,"Kilogram"	,?	,"?"	,
11	,"Products of the milling industry;malt;starches; inulin; wheat gluten"	,2021	,09	,"Kilogram"	,?	,"?"	,
12	,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder "	,2021	,09	,"Kilogram"	,?	,"?"	,
13	,"Lac; gums, resins and other vegetable saps and extracts"	,2021	,09	,"Kilogram"	,?	,"?"	,
14	,"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	,2021	,09	,"Kilogram"	,?	,"?"	,
15	,"Animal or vegetable fats and oils and their cleavage produ prepared edible fats;animal or vegetable waxes "	,2021	,09	,"Kilogram"	,?	,"?"	,
16	,"Preparations of meat, of fish or ofcrustaceans,molluscs or other aquatic invertebrates "	,2021	,09	,"Kilogram"	,?	,"?"	,
17	,"Sugars and sugar confectionery "	,2021	,09	,"Kilogram"	,?	,"?"	,
18	,"Cocoa and cocoa preparations"	,2021	,09	,"Kilogram"	,?	,"?"	,
19	,"Preparations of cereals, flour, starch or milk; pastrycooks' products"	,2021	,09	,"Kilogram"	,?	,"?"	,
20	,"Preparations of vegetables, fruit, nuts or other parts of plants "	,2021	,09	,"Kilogram"	,?	,"?"	,
21	,"Miscellaneous edible preparations "	,2021	,09	,"Kilogram"	,?	,"?"	,
22	,"Beverages, spirits and vinegar"	,2021	,?	,"?"	,09	,"Kilogram"	,
23	,"Residues and waste from the food industries; prepared animal fodder"	,2021	,09	,"Kilogram"	,?	,"?"	,
24	,"Tobacco and manufactured tobacco substitutes"	,2021	,09	,"Kilogram"	,?	,"?"	,
25	,"Salt; sulphur; earths and stone;plastering materials, lime and cement "	,2021	,09	,"Kilogram"	,?	,"?"	,
26	,"Ores, slag and ash "	,2021	,09	,"Kilogram"	,?	,"?"	,
27	,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"	,2021	,?	,"?"	,?	,"?"	,
28	,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"	,2021	,?	,"?"	,?	,"?"	,
29	,"Organic chemicals"	,2021	,09	,"Kilogram"	,?	,"?"	,
30	,"Pharmaceutical products "	,2021	,09	,"Kilogram"	,?	,"?"	,
31	,"Fertilisers "	,2021	,09	,"Kilogram"	,?	,"?"	,
32	,"Tanning or dyeing extracts; tannins and their derivatives; dyes, "	,2021	,09	,"Kilogram"	,?	,"?"	,
33	,"Essential oils and resinoids; perfumery, "	,2021	,09	,"Kilogram"	,?	,"?"	,
