name,slug,value,date_of_information,ranking,region
"Niger","niger","47.28","2021 est.","1","Africa"
"Angola","angola","42.22","2021 est.","2","Africa"
"Mali","mali","41.60","2021 est.","3","Africa"
"Uganda","uganda","41.60","2021 est.","4","Africa"
"Benin","benin","41.55","2021 est.","5","Africa"
"Chad","chad","41.05","2021 est.","6","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","40.53","2021 est.","7","Africa"
"South Sudan","south-sudan","38.26","2021 est.","8","Africa"
"Somalia","somalia","38.25","2021 est.","9","Africa"
"Mozambique","mozambique","38.03","2021 est.","10","Africa"
"Liberia","liberia","36.96","2021 est.","11","Africa"
"Guinea-Bissau","guinea-bissau","36.64","2021 est.","12","Africa"
"Afghanistan","afghanistan","36.08","2021 est.","13","South Asia"
"Cameroon","cameroon","35.91","2021 est.","14","Africa"
"Guinea","guinea","35.86","2021 est.","15","Africa"
"Burundi","burundi","35.48","2021 est.","16","Africa"
"Zambia","zambia","35.23","2021 est.","17","Africa"
"Sierra Leone","sierra-leone","35.04","2021 est.","18","Africa"
"Nigeria","nigeria","34.38","2021 est.","19","Africa"
"Burkina Faso","burkina-faso","34.34","2021 est.","20","Africa"
"Tanzania","tanzania","33.71","2021 est.","21","Africa"
"Sudan","sudan","33.63","2021 est.","22","Africa"
"Zimbabwe","zimbabwe","33.34","2021 est.","23","Africa"
"Central African Republic","central-african-republic","33.20","2021 est.","24","Africa"
"Togo","togo","32.34","2021 est.","25","Africa"
"Congo, Republic of the","congo-republic-of-the","32.15","2021 est.","26","Africa"
"Timor-Leste","timor-leste","31.45","2021 est.","27","East Asia/Southeast Asia"
"Senegal","senegal","31.31","2021 est.","28","Africa"
"Ethiopia","ethiopia","31.03","2021 est.","29","Africa"
"Equatorial Guinea","equatorial-guinea","30.09","2021 est.","30","Africa"
"Madagascar","madagascar","29.22","2021 est.","31","Africa"
"Ghana","ghana","29.08","2021 est.","32","Africa"
"Sao Tome and Principe","sao-tome-and-principe","28.94","2021 est.","33","Africa"
"Cote d'Ivoire","cote-divoire","28.67","2021 est.","34","Africa"
"Malawi","malawi","28.59","2021 est.","35","Africa"
"Mauritania","mauritania","28.49","2021 est.","36","Africa"
"Gaza Strip","gaza-strip","28.10","2021 est.","37","Middle East"
"Eritrea","eritrea","27.41","2021 est.","38","Africa"
"Rwanda","rwanda","27.18","2021 est.","39","Africa"
"Pakistan","pakistan","26.95","2021 est.","40","South Asia"
"Kenya","kenya","26.78","2021 est.","41","Africa"
"Egypt","egypt","26.44","2021 est.","42","Africa"
"Gambia, The","gambia-the","26.42","2021 est.","43","Africa"
"Gabon","gabon","26.14","2021 est.","44","Africa"
"Namibia","namibia","25.33","2021 est.","45","Africa"
"Iraq","iraq","25.21","2021 est.","46","Middle East"
"Yemen","yemen","25.21","2021 est.","47","Middle East"
"West Bank","west-bank","24.80","2021 est.","48","Middle East"
"Eswatini","eswatini","23.87","2021 est.","49","Africa"
"Lesotho","lesotho","23.30","2021 est.","50","Africa"
"Syria","syria","23.25","2021 est.","51","Middle East"
"Solomon Islands","solomon-islands","23.07","2021 est.","52","Australia - Oceania"
"Comoros","comoros","22.98","2021 est.","53","Africa"
"Tuvalu","tuvalu","22.97","2021 est.","54","Australia - Oceania"
"Guatemala","guatemala","22.79","2021 est.","55","Central America"
"Jordan","jordan","22.79","2021 est.","56","Middle East"
"Laos","laos","22.74","2021 est.","57","East Asia/Southeast Asia"
"Philippines","philippines","22.66","2021 est.","58","East Asia/Southeast Asia"
"Oman","oman","22.58","2021 est.","59","Middle East"
"Djibouti","djibouti","22.43","2021 est.","60","Africa"
"Marshall Islands","marshall-islands","22.42","2021 est.","61","Australia - Oceania"
"Libya","libya","22.23","2021 est.","62","Africa"
"Papua New Guinea","papua-new-guinea","22.08","2021 est.","63","East Asia/Southeast Asia"
"Vanuatu","vanuatu","21.95","2021 est.","64","Australia - Oceania"
"Belize","belize","21.62","2021 est.","65","Central America"
"Nauru","nauru","21.49","2021 est.","66","Australia - Oceania"
