"China batteries"
"Current date: 01/05/2022 3:07 PM (Eastern Standard Time)"
"Country: World Total"
"Time","Commodity","Customs  Value (Cons) ($US)",
"2015","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","75,712,492"
"2016","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","113,158,996"
"2017","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","186,446,317"
"2018","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","404,591,671"
"2019","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","455,473,356"
"2020","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","387,291,128"
"2021 through October","8507600010 Lithum-ion Batteres For Elec Vehicles Of 8703.90 (no)","606,191,062"
