Year,China,Japan,South Korea,Other,China Share,Japan Share,South Korea Share,Other Share,Total,,,,,,,,,
2015,23538342,23256683,19993058,8924409,31,31,26,12,"75,712,492",,,,,,,,,
2016,44080526,17044729,43089691,8944050,39,15,38,8,"113,158,996",,Year,2015,2016,2017,2018,2019,2020,2021
2017,53142386,63360059,57115949,12827923,29,34,31,7,"186,446,317",,China,23538342 ,44080526 ,53142386 ,44673292 ,56229728 ,102492797 ,375832124 
2018,44673292,85081264,252060499,22776616,11,21,62,6,"404,591,671",,Japan,23256683 ,17044729 ,63360059 ,85081264 ,121144064 ,94132448 ,101454724 
2019,56229728,121144064,237517436,40582128,12,27,52,9,"455,473,356",,South Korea,19993058 ,43089691 ,57115949 ,252060499 ,237517436 ,163575321 ,56990953 
2020,102492797,94132448,163575321,27090562,26,24,42,7,"387,291,128",,Other,8924409 ,8944050 ,12827923 ,22776616 ,40582128 ,27090562 ,71913261 
2021,375832124,101454724,56990953,71913261,62,17,9,12,"606,191,062",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Year,China,Japan,South Korea,Other,,,,,,,,,,,,,,
2015,23538342,23256683,19993058,8924409,,,,,,,,,,,,,,
2021,375832124,101454724,56990953,71913261,,,,,,,,,,,,,,
