jurisdiction_of_occurrence,mmwr_year,mmwr_week,week_ending_date,all_cause,natural_cause
United States,2014,1,2014-01-04,54065.0,50189.0
United States,2014,2,2014-01-11,56353.0,52450.0
United States,2014,3,2014-01-18,54769.0,51043.0
United States,2014,4,2014-01-25,54223.0,50560.0
United States,2014,5,2014-02-01,54074.0,50402.0
United States,2014,6,2014-02-08,53484.0,49790.0
United States,2014,7,2014-02-15,53910.0,50175.0
United States,2014,8,2014-02-22,52752.0,49010.0
United States,2014,9,2014-03-01,51768.0,47907.0
United States,2014,10,2014-03-08,52163.0,48353.0
United States,2014,11,2014-03-15,51912.0,48111.0
United States,2014,12,2014-03-22,51487.0,47779.0
United States,2014,13,2014-03-29,50945.0,47494.0
United States,2014,14,2014-04-05,50948.0,47201.0
United States,2014,15,2014-04-12,50793.0,46955.0
United States,2014,16,2014-04-19,49976.0,46261.0
United States,2014,17,2014-04-26,49997.0,46257.0
United States,2014,18,2014-05-03,49738.0,45864.0
United States,2014,19,2014-05-10,50430.0,46520.0
United States,2014,20,2014-05-17,48003.0,44322.0
United States,2014,21,2014-05-24,48689.0,44919.0
United States,2014,22,2014-05-31,48254.0,44339.0
United States,2014,23,2014-06-07,47831.0,43773.0
United States,2014,24,2014-06-14,47907.0,44037.0
United States,2014,25,2014-06-21,47698.0,43727.0
United States,2014,26,2014-06-28,47539.0,43569.0
United States,2014,27,2014-07-05,47535.0,43345.0
United States,2014,28,2014-07-12,47595.0,43629.0
United States,2014,29,2014-07-19,47320.0,43471.0
United States,2014,30,2014-07-26,47259.0,43400.0
United States,2014,31,2014-08-02,47094.0,43297.0
United States,2014,32,2014-08-09,47201.0,43166.0
United States,2014,33,2014-08-16,46852.0,42892.0
United States,2014,34,2014-08-23,46863.0,42886.0
United States,2014,35,2014-08-30,46751.0,42681.0
United States,2014,36,2014-09-06,47521.0,43363.0
United States,2014,37,2014-09-13,47141.0,43247.0
United States,2014,38,2014-09-20,48223.0,44276.0
United States,2014,39,2014-09-27,48527.0,44544.0
United States,2014,40,2014-10-04,48457.0,44563.0
United States,2014,41,2014-10-11,49499.0,45431.0
United States,2014,42,2014-10-18,49427.0,45492.0
United States,2014,43,2014-10-25,49252.0,45361.0
United States,2014,44,2014-11-01,49193.0,45349.0
United States,2014,45,2014-11-08,51214.0,47194.0
United States,2014,46,2014-11-15,50735.0,46857.0
United States,2014,47,2014-11-22,52722.0,48725.0
United States,2014,48,2014-11-29,52075.0,48109.0
United States,2014,49,2014-12-06,52979.0,49005.0
United States,2014,50,2014-12-13,53714.0,49742.0
United States,2014,51,2014-12-20,54861.0,50882.0
United States,2014,52,2014-12-27,56239.0,52350.0
United States,2014,53,2015-01-03,59457.0,55306.0
United States,2015,1,2015-01-10,61763.0,57636.0
United States,2015,2,2015-01-17,61163.0,57064.0
United States,2015,3,2015-01-24,58652.0,54617.0
United States,2015,4,2015-01-31,57297.0,53445.0
United States,2015,5,2015-02-07,57367.0,53260.0
United States,2015,6,2015-02-14,56668.0,52717.0
United States,2015,7,2015-02-21,56678.0,52648.0
United States,2015,8,2015-02-28,56334.0,52403.0
United States,2015,9,2015-03-07,56509.0,52369.0
United States,2015,10,2015-03-14,55741.0,51560.0
United States,2015,11,2015-03-21,54462.0,50354.0
United States,2015,12,2015-03-28,53404.0,49528.0
United States,2015,13,2015-04-04,53210.0,49168.0
United States,2015,14,2015-04-11,52839.0,48817.0
United States,2015,15,2015-04-18,52881.0,48844.0
United States,2015,16,2015-04-25,51626.0,47690.0
United States,2015,17,2015-05-02,51488.0,47483.0
United States,2015,18,2015-05-09,51693.0,47415.0
United States,2015,19,2015-05-16,50716.0,46505.0
United States,2015,20,2015-05-23,49396.0,45330.0
United States,2015,21,2015-05-30,49849.0,45765.0
United States,2015,22,2015-06-06,49260.0,44973.0
United States,2015,23,2015-06-13,49813.0,45527.0
United States,2015,24,2015-06-20,49117.0,44901.0
United States,2015,25,2015-06-27,49071.0,44790.0
United States,2015,26,2015-07-04,49247.0,44972.0
United States,2015,27,2015-07-11,48950.0,44481.0
United States,2015,28,2015-07-18,49266.0,44924.0
United States,2015,29,2015-07-25,48661.0,44437.0
United States,2015,30,2015-08-01,48714.0,44340.0
United States,2015,31,2015-08-08,48323.0,43912.0
United States,2015,32,2015-08-15,48194.0,43983.0
United States,2015,33,2015-08-22,48468.0,44159.0
United States,2015,34,2015-08-29,48522.0,44277.0
United States,2015,35,2015-09-05,48753.0,44339.0
United States,2015,36,2015-09-12,48820.0,44469.0
United States,2015,37,2015-09-19,48972.0,44920.0
United States,2015,38,2015-09-26,49307.0,45072.0
United States,2015,39,2015-10-03,48888.0,44765.0
United States,2015,40,2015-10-10,51096.0,46634.0
United States,2015,41,2015-10-17,50038.0,45818.0
United States,2015,42,2015-10-24,50927.0,46778.0
United States,2015,43,2015-10-31,50484.0,46400.0
United States,2015,44,2015-11-07,51179.0,46921.0
United States,2015,45,2015-11-14,50753.0,46703.0
United States,2015,46,2015-11-21,51813.0,47706.0
United States,2015,47,2015-11-28,51496.0,47523.0
United States,2015,48,2015-12-05,52070.0,47915.0
United States,2015,49,2015-12-12,53755.0,49519.0
United States,2015,50,2015-12-19,52273.0,48165.0
United States,2015,51,2015-12-26,53216.0,49236.0
United States,2015,52,2016-01-02,52615.0,48573.0
United States,2016,1,2016-01-09,55865.0,51720.0
United States,2016,2,2016-01-16,55596.0,51441.0
United States,2016,3,2016-01-23,55231.0,51221.0
United States,2016,4,2016-01-30,55665.0,51456.0
United States,2016,5,2016-02-06,55142.0,50817.0
United States,2016,6,2016-02-13,55465.0,51151.0
United States,2016,7,2016-02-20,56176.0,51836.0
United States,2016,8,2016-02-27,55203.0,50943.0
United States,2016,9,2016-03-05,55935.0,51532.0
United States,2016,10,2016-03-12,56233.0,51711.0
United States,2016,11,2016-03-19,54585.0,50137.0
United States,2016,12,2016-03-26,54814.0,50381.0
United States,2016,13,2016-04-02,53946.0,49533.0
United States,2016,14,2016-04-09,54074.0,49524.0
United States,2016,15,2016-04-16,53495.0,49167.0
United States,2016,16,2016-04-23,53164.0,48746.0
United States,2016,17,2016-04-30,51082.0,46789.0
United States,2016,18,2016-05-07,51282.0,46855.0
United States,2016,19,2016-05-14,51006.0,46494.0
United States,2016,20,2016-05-21,50471.0,46298.0
United States,2016,21,2016-05-28,50492.0,46004.0
United States,2016,22,2016-06-04,49714.0,45198.0
United States,2016,23,2016-06-11,49918.0,45305.0
United States,2016,24,2016-06-18,49915.0,45349.0
United States,2016,25,2016-06-25,49625.0,45072.0
United States,2016,26,2016-07-02,49754.0,45069.0
United States,2016,27,2016-07-09,49706.0,44910.0
United States,2016,28,2016-07-16,49639.0,45029.0
United States,2016,29,2016-07-23,49284.0,44648.0
United States,2016,30,2016-07-30,49701.0,44996.0
United States,2016,31,2016-08-06,49510.0,44700.0
United States,2016,32,2016-08-13,49747.0,45110.0
United States,2016,33,2016-08-20,49816.0,45211.0
United States,2016,34,2016-08-27,49519.0,44957.0
United States,2016,35,2016-09-03,49591.0,45028.0
United States,2016,36,2016-09-10,50084.0,45241.0
United States,2016,37,2016-09-17,49926.0,45432.0
United States,2016,38,2016-09-24,49892.0,45413.0
United States,2016,39,2016-10-01,50267.0,45822.0
United States,2016,40,2016-10-08,51414.0,46630.0
United States,2016,41,2016-10-15,52144.0,47570.0
United States,2016,42,2016-10-22,51462.0,46997.0
United States,2016,43,2016-10-29,51879.0,47325.0
United States,2016,44,2016-11-05,51768.0,47118.0
United States,2016,45,2016-11-12,52546.0,47992.0
United States,2016,46,2016-11-19,53464.0,48824.0
United States,2016,47,2016-11-26,53171.0,48629.0
United States,2016,48,2016-12-03,54611.0,49928.0
United States,2016,49,2016-12-10,55173.0,50531.0
United States,2016,50,2016-12-17,56024.0,51582.0
United States,2016,51,2016-12-24,56757.0,52213.0
United States,2016,52,2016-12-31,57658.0,53148.0
United States,2017,1,2017-01-07,59764.0,54862.0
United States,2017,2,2017-01-14,60982.0,56209.0
United States,2017,3,2017-01-21,59294.0,54654.0
United States,2017,4,2017-01-28,58051.0,53359.0
United States,2017,5,2017-02-04,58437.0,53749.0
United States,2017,6,2017-02-11,59043.0,54228.0
United States,2017,7,2017-02-18,58482.0,53951.0
United States,2017,8,2017-02-25,58290.0,53768.0
United States,2017,9,2017-03-04,57257.0,52480.0
United States,2017,10,2017-03-11,57480.0,52622.0
United States,2017,11,2017-03-18,56658.0,52170.0
United States,2017,12,2017-03-25,57048.0,52296.0
United States,2017,13,2017-04-01,55706.0,51102.0
United States,2017,14,2017-04-08,55161.0,50321.0
United States,2017,15,2017-04-15,54863.0,50156.0
United States,2017,16,2017-04-22,53071.0,48493.0
United States,2017,17,2017-04-29,53297.0,48569.0
United States,2017,18,2017-05-06,52658.0,47851.0
United States,2017,19,2017-05-13,51987.0,47376.0
United States,2017,20,2017-05-20,52481.0,47655.0
United States,2017,21,2017-05-27,50976.0,46223.0
United States,2017,22,2017-06-03,51257.0,46341.0
United States,2017,23,2017-06-10,51424.0,46482.0
United States,2017,24,2017-06-17,50799.0,45999.0
United States,2017,25,2017-06-24,51195.0,46283.0
United States,2017,26,2017-07-01,50618.0,45768.0
United States,2017,27,2017-07-08,50961.0,45727.0
United States,2017,28,2017-07-15,49975.0,45199.0
United States,2017,29,2017-07-22,50132.0,45290.0
United States,2017,30,2017-07-29,49364.0,44594.0
United States,2017,31,2017-08-05,50091.0,45184.0
United States,2017,32,2017-08-12,50238.0,45417.0
United States,2017,33,2017-08-19,50188.0,45455.0
United States,2017,34,2017-08-26,49517.0,44877.0
United States,2017,35,2017-09-02,50832.0,46087.0
United States,2017,36,2017-09-09,50983.0,46238.0
United States,2017,37,2017-09-16,51696.0,46944.0
United States,2017,38,2017-09-23,51230.0,46489.0
United States,2017,39,2017-09-30,51344.0,46403.0
United States,2017,40,2017-10-07,52112.0,47226.0
United States,2017,41,2017-10-14,51582.0,46930.0
United States,2017,42,2017-10-21,52234.0,47683.0
United States,2017,43,2017-10-28,52551.0,47948.0
United States,2017,44,2017-11-04,53680.0,48905.0
United States,2017,45,2017-11-11,53261.0,48502.0
United States,2017,46,2017-11-18,53775.0,49141.0
United States,2017,47,2017-11-25,54122.0,49534.0
United States,2017,48,2017-12-02,54762.0,50104.0
United States,2017,49,2017-12-09,55597.0,50838.0
United States,2017,50,2017-12-16,57376.0,52761.0
United States,2017,51,2017-12-23,59506.0,54749.0
United States,2017,52,2017-12-30,61093.0,56483.0
United States,2018,1,2018-01-06,66142.0,61016.0
United States,2018,2,2018-01-13,67501.0,62573.0
United States,2018,3,2018-01-20,64650.0,60052.0
United States,2018,4,2018-01-27,62784.0,58011.0
United States,2018,5,2018-02-03,60980.0,56268.0
United States,2018,6,2018-02-10,61115.0,56392.0
United States,2018,7,2018-02-17,59784.0,55194.0
United States,2018,8,2018-02-24,57798.0,53232.0
United States,2018,9,2018-03-03,56697.0,52079.0
United States,2018,10,2018-03-10,57097.0,52471.0
United States,2018,11,2018-03-17,56331.0,51735.0
United States,2018,12,2018-03-24,55771.0,51267.0
United States,2018,13,2018-03-31,54919.0,50388.0
United States,2018,14,2018-04-07,55296.0,50515.0
United States,2018,15,2018-04-14,55228.0,50630.0
United States,2018,16,2018-04-21,54040.0,49565.0
United States,2018,17,2018-04-28,53729.0,49178.0
United States,2018,18,2018-05-05,53742.0,48917.0
United States,2018,19,2018-05-12,52109.0,47331.0
United States,2018,20,2018-05-19,50621.0,46056.0
United States,2018,21,2018-05-26,50932.0,46387.0
United States,2018,22,2018-06-02,51046.0,46332.0
