,date,value,month,month_year,series,series_name,unit
0,2022-03-01,164409,March,2022-03,LNS11000000,civilian labor force,number in thousands
1,2022-02-01,163991,February,2022-02,LNS11000000,civilian labor force,number in thousands
2,2022-01-01,163687,January,2022-01,LNS11000000,civilian labor force,number in thousands
3,2021-12-01,162294,December,2021-12,LNS11000000,civilian labor force,number in thousands
4,2021-11-01,162126,November,2021-11,LNS11000000,civilian labor force,number in thousands
5,2021-10-01,161610,October,2021-10,LNS11000000,civilian labor force,number in thousands
6,2021-09-01,161471,September,2021-09,LNS11000000,civilian labor force,number in thousands
7,2021-08-01,161505,August,2021-08,LNS11000000,civilian labor force,number in thousands
8,2021-07-01,161375,July,2021-07,LNS11000000,civilian labor force,number in thousands
9,2021-06-01,161114,June,2021-06,LNS11000000,civilian labor force,number in thousands
10,2021-05-01,160801,May,2021-05,LNS11000000,civilian labor force,number in thousands
11,2021-04-01,160978,April,2021-04,LNS11000000,civilian labor force,number in thousands
12,2021-03-01,160631,March,2021-03,LNS11000000,civilian labor force,number in thousands
13,2021-02-01,160359,February,2021-02,LNS11000000,civilian labor force,number in thousands
14,2021-01-01,160184,January,2021-01,LNS11000000,civilian labor force,number in thousands
15,2020-12-01,160671,December,2020-12,LNS11000000,civilian labor force,number in thousands
16,2020-11-01,160539,November,2020-11,LNS11000000,civilian labor force,number in thousands
17,2020-10-01,160834,October,2020-10,LNS11000000,civilian labor force,number in thousands
18,2020-09-01,160153,September,2020-09,LNS11000000,civilian labor force,number in thousands
19,2020-08-01,160707,August,2020-08,LNS11000000,civilian labor force,number in thousands
20,2020-07-01,160015,July,2020-07,LNS11000000,civilian labor force,number in thousands
21,2020-06-01,159834,June,2020-06,LNS11000000,civilian labor force,number in thousands
22,2020-05-01,158122,May,2020-05,LNS11000000,civilian labor force,number in thousands
23,2020-04-01,156358,April,2020-04,LNS11000000,civilian labor force,number in thousands
24,2020-03-01,162764,March,2020-03,LNS11000000,civilian labor force,number in thousands
25,2020-02-01,164583,February,2020-02,LNS11000000,civilian labor force,number in thousands
26,2020-01-01,164479,January,2020-01,LNS11000000,civilian labor force,number in thousands
27,2019-12-01,164633,December,2019-12,LNS11000000,civilian labor force,number in thousands
28,2019-11-01,164434,November,2019-11,LNS11000000,civilian labor force,number in thousands
29,2019-10-01,164336,October,2019-10,LNS11000000,civilian labor force,number in thousands
30,2019-09-01,164015,September,2019-09,LNS11000000,civilian labor force,number in thousands
31,2019-08-01,163774,August,2019-08,LNS11000000,civilian labor force,number in thousands
32,2019-07-01,163472,July,2019-07,LNS11000000,civilian labor force,number in thousands
33,2019-06-01,163029,June,2019-06,LNS11000000,civilian labor force,number in thousands
34,2019-05-01,162803,May,2019-05,LNS11000000,civilian labor force,number in thousands
35,2019-04-01,162642,April,2019-04,LNS11000000,civilian labor force,number in thousands
36,2019-03-01,163035,March,2019-03,LNS11000000,civilian labor force,number in thousands
37,2019-02-01,163114,February,2019-02,LNS11000000,civilian labor force,number in thousands
38,2019-01-01,163072,January,2019-01,LNS11000000,civilian labor force,number in thousands
39,2018-12-01,163146,December,2018-12,LNS11000000,civilian labor force,number in thousands
40,2018-11-01,162738,November,2018-11,LNS11000000,civilian labor force,number in thousands
41,2018-10-01,162525,October,2018-10,LNS11000000,civilian labor force,number in thousands
42,2018-09-01,162035,September,2018-09,LNS11000000,civilian labor force,number in thousands
43,2018-08-01,161679,August,2018-08,LNS11000000,civilian labor force,number in thousands
44,2018-07-01,162288,July,2018-07,LNS11000000,civilian labor force,number in thousands
45,2018-06-01,162180,June,2018-06,LNS11000000,civilian labor force,number in thousands
46,2018-05-01,161882,May,2018-05,LNS11000000,civilian labor force,number in thousands
47,2018-04-01,161809,April,2018-04,LNS11000000,civilian labor force,number in thousands
48,2018-03-01,161760,March,2018-03,LNS11000000,civilian labor force,number in thousands
49,2018-02-01,161846,February,2018-02,LNS11000000,civilian labor force,number in thousands
50,2018-01-01,160998,January,2018-01,LNS11000000,civilian labor force,number in thousands
51,2017-12-01,160535,December,2017-12,LNS11000000,civilian labor force,number in thousands
52,2017-11-01,160579,November,2017-11,LNS11000000,civilian labor force,number in thousands
53,2017-10-01,160309,October,2017-10,LNS11000000,civilian labor force,number in thousands
54,2017-09-01,161140,September,2017-09,LNS11000000,civilian labor force,number in thousands
55,2017-08-01,160586,August,2017-08,LNS11000000,civilian labor force,number in thousands
56,2017-07-01,160462,July,2017-07,LNS11000000,civilian labor force,number in thousands
57,2017-06-01,160192,June,2017-06,LNS11000000,civilian labor force,number in thousands
58,2017-05-01,160068,May,2017-05,LNS11000000,civilian labor force,number in thousands
59,2017-04-01,160345,April,2017-04,LNS11000000,civilian labor force,number in thousands
60,2017-03-01,160137,March,2017-03,LNS11000000,civilian labor force,number in thousands
61,2017-02-01,159859,February,2017-02,LNS11000000,civilian labor force,number in thousands
62,2017-01-01,159620,January,2017-01,LNS11000000,civilian labor force,number in thousands
63,2016-12-01,159678,December,2016-12,LNS11000000,civilian labor force,number in thousands
64,2016-11-01,159506,November,2016-11,LNS11000000,civilian labor force,number in thousands
65,2016-10-01,159605,October,2016-10,LNS11000000,civilian labor force,number in thousands
66,2016-09-01,159714,September,2016-09,LNS11000000,civilian labor force,number in thousands
67,2016-08-01,159562,August,2016-08,LNS11000000,civilian labor force,number in thousands
68,2016-07-01,159194,July,2016-07,LNS11000000,civilian labor force,number in thousands
69,2016-06-01,158967,June,2016-06,LNS11000000,civilian labor force,number in thousands
70,2016-05-01,158784,May,2016-05,LNS11000000,civilian labor force,number in thousands
71,2016-04-01,159141,April,2016-04,LNS11000000,civilian labor force,number in thousands
72,2016-03-01,159179,March,2016-03,LNS11000000,civilian labor force,number in thousands
73,2016-02-01,158640,February,2016-02,LNS11000000,civilian labor force,number in thousands
74,2016-01-01,158280,January,2016-01,LNS11000000,civilian labor force,number in thousands
75,2015-12-01,158035,December,2015-12,LNS11000000,civilian labor force,number in thousands
76,2015-11-01,157463,November,2015-11,LNS11000000,civilian labor force,number in thousands
77,2015-10-01,157167,October,2015-10,LNS11000000,civilian labor force,number in thousands
78,2015-09-01,156733,September,2015-09,LNS11000000,civilian labor force,number in thousands
79,2015-08-01,157172,August,2015-08,LNS11000000,civilian labor force,number in thousands
80,2015-07-01,156997,July,2015-07,LNS11000000,civilian labor force,number in thousands
81,2015-06-01,157062,June,2015-06,LNS11000000,civilian labor force,number in thousands
