version_season,episode,castaway_id,screen_time
US42,1.0,US0618,148.0
US42,1.0,US0609,159.0
US42,1.0,US0622,169.0
US42,1.0,US0616,176.0
US42,1.0,US0612,190.0
US42,1.0,US0621,239.0
US42,1.0,US0614,260.0
US42,1.0,US0626,268.0
US42,1.0,US0615,288.0
US42,1.0,US0624,294.0
US42,1.0,US0623,301.0
US42,1.0,US0611,303.0
US42,1.0,US0620,306.0
US42,1.0,US0613,405.0
US42,1.0,US0610,412.0
US42,1.0,US0625,479.0
US42,1.0,US0617,532.0
US42,1.0,US0619,916.0
US42,2.0,US0622,12.0
US42,2.0,US0623,30.0
US42,2.0,US0624,54.0
US42,2.0,US0609,69.0
US42,2.0,US0614,83.0
US42,2.0,US0611,86.0
US42,2.0,US0612,95.0
US42,2.0,US0625,107.0
US42,2.0,US0620,132.0
US42,2.0,US0618,162.0
US42,2.0,US0610,163.0
US42,2.0,US0616,175.0
US42,2.0,US0617,190.0
US42,2.0,US0621,238.0
US42,2.0,US0615,316.0
US42,2.0,US0619,397.0
US42,3.0,US0611,26.0
US42,3.0,US0624,27.0
US42,3.0,US0622,28.0
US42,3.0,US0625,28.0
US42,3.0,US0616,40.0
US42,3.0,US0623,52.0
US42,3.0,US0615,69.0
US42,3.0,US0612,83.0
US42,3.0,US0609,102.0
US42,3.0,US0620,137.0
US42,3.0,US0621,203.0
US42,3.0,US0614,244.0
US42,3.0,US0619,278.0
US42,3.0,US0617,350.0
US42,3.0,US0610,391.0
US42,4.0,US0616,77.0
US42,4.0,US0622,117.0
US42,4.0,US0609,119.0
US42,4.0,US0621,160.0
US42,4.0,US0620,165.0
US42,4.0,US0612,167.0
US42,4.0,US0611,172.0
US42,4.0,US0623,182.0
US42,4.0,US0615,189.0
US42,4.0,US0610,197.0
US42,4.0,US0617,222.0
US42,4.0,US0624,260.0
US42,4.0,US0619,334.0
US42,4.0,US0625,347.0
US42,5.0,US0616,54.0
US42,5.0,US0625,80.0
US42,5.0,US0622,106.0
US42,5.0,US0623,131.0
US42,5.0,US0621,148.0
US42,5.0,US0609,160.0
US42,5.0,US0615,162.0
US42,5.0,US0612,188.0
US42,5.0,US0611,191.0
US42,5.0,US0620,236.0
US42,5.0,US0619,314.0
US42,5.0,US0610,406.0
US42,5.0,US0617,477.0
US42,6.0,US0616,223.0
US42,6.0,US0611,280.0
US42,6.0,US0620,314.0
US42,6.0,US0609,357.0
US42,6.0,US0623,385.0
US42,6.0,US0622,461.0
US42,6.0,US0621,487.0
US42,6.0,US0615,506.0
US42,6.0,US0617,548.0
US42,6.0,US0625,548.0
US42,6.0,US0612,563.0
US42,6.0,US0619,718.0
US42,8.0,US0622,83.0
US42,8.0,US0616,92.0
US42,8.0,US0609,173.0
US42,8.0,US0623,202.0
US42,8.0,US0625,218.0
US42,8.0,US0612,219.0
US42,8.0,US0615,232.0
US42,8.0,US0621,248.0
US42,8.0,US0620,256.0
US42,8.0,US0611,298.0
US42,8.0,US0619,390.0
US42,9.0,US0616,100.0
US42,9.0,US0622,110.0
US42,9.0,US0611,135.0
US42,9.0,US0625,197.0
US42,9.0,US0621,236.0
US42,9.0,US0620,240.0
US42,9.0,US0612,251.0
US42,9.0,US0623,257.0
US42,9.0,US0615,496.0
US42,9.0,US0619,499.0
US42,10.0,US0611,119.0
US42,10.0,US0623,130.0
US42,10.0,US0616,218.0
US42,10.0,US0620,244.0
US42,10.0,US0612,332.0
US42,10.0,US0619,342.0
US42,10.0,US0615,397.0
US42,10.0,US0621,397.0
US42,11.0,US0623,139.0
US42,11.0,US0620,197.0
US42,11.0,US0611,248.0
US42,11.0,US0615,271.0
US42,11.0,US0616,290.0
US42,11.0,US0619,344.0
US42,11.0,US0621,383.0
US42,12.0,US0623,149.0
US42,12.0,US0616,250.0
US42,12.0,US0620,266.0
US42,12.0,US0615,312.0
US42,12.0,US0621,394.0
US42,12.0,US0619,486.0
US42,13.0,US0626,2.0
US42,13.0,US0624,10.0
US42,13.0,US0618,20.0
US42,13.0,US0614,38.0
US42,13.0,US0622,49.0
US42,13.0,US0613,170.0
US42,13.0,US0610,313.0
US42,13.0,US0609,364.0
US42,13.0,US0612,385.0
US42,13.0,unknown,613.0
US42,13.0,US0611,732.0
US42,13.0,US0617,739.0
US42,13.0,US0625,755.0
US42,13.0,US0620,778.0
US42,13.0,US0621,924.0
US42,13.0,US0616,1024.0
US42,13.0,US0623,1058.0
US42,13.0,US0615,1139.0
US42,13.0,host,1190.0
US42,13.0,US0619,1617.0
