category,version_season,challenge_id,challenge_type,outcome_type,tribe,castaway_id,castaway,n_entities,n_winners,n_in_team,won
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0002,B.B.,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0004,Ramona,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0006,Joel,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0007,Gretchen,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0008,Greg,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0009,Jenna,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0010,Gervase,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Pagong,US0011,Colleen,2,1,8,1.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0001,Sonja,2,1,8,0.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0003,Stacey,2,1,8,0.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0005,Dirk,2,1,8,0.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0012,Sean,2,1,8,0.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0013,Sue,2,1,8,0.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0014,Rudy,2,1,8,0.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0015,Kelly,2,1,8,0.0
All,US01,1.0,Immunity and Reward,Tribal,Tagi,US0016,Richard,2,1,8,0.0
All,US01,2.0,Reward,Tribal,Pagong,US0002,B.B.,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Pagong,US0004,Ramona,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Pagong,US0006,Joel,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Pagong,US0007,Gretchen,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Pagong,US0008,Greg,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Pagong,US0009,Jenna,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Pagong,US0010,Gervase,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Pagong,US0011,Colleen,2,1,8,1.0
All,US01,2.0,Reward,Tribal,Tagi,US0003,Stacey,2,1,7,0.0
All,US01,2.0,Reward,Tribal,Tagi,US0005,Dirk,2,1,7,0.0
All,US01,2.0,Reward,Tribal,Tagi,US0012,Sean,2,1,7,0.0
All,US01,2.0,Reward,Tribal,Tagi,US0013,Sue,2,1,7,0.0
All,US01,2.0,Reward,Tribal,Tagi,US0014,Rudy,2,1,7,0.0
All,US01,2.0,Reward,Tribal,Tagi,US0015,Kelly,2,1,7,0.0
All,US01,2.0,Reward,Tribal,Tagi,US0016,Richard,2,1,7,0.0
All,US01,3.0,Immunity,Tribal,Pagong,US0002,B.B.,2,1,8,0.0
