version,version_season,season_name,season,episode,n_boots,castaway_id,castaway,tribe,tribe_status,total,currency
US,US02,Survivor: The Australian Outback,2.0,11.0,9.0,US0026,Nick,Barramundi,Merged,500.0,AUD
US,US02,Survivor: The Australian Outback,2.0,11.0,9.0,US0027,Amber,Barramundi,Merged,500.0,AUD
US,US02,Survivor: The Australian Outback,2.0,11.0,9.0,US0028,Rodger,Barramundi,Merged,500.0,AUD
US,US02,Survivor: The Australian Outback,2.0,11.0,9.0,US0029,Elisabeth,Barramundi,Merged,500.0,AUD
US,US02,Survivor: The Australian Outback,2.0,11.0,9.0,US0030,Keith,Barramundi,Merged,500.0,AUD
US,US02,Survivor: The Australian Outback,2.0,11.0,9.0,US0031,Colby,Barramundi,Merged,500.0,AUD
US,US02,Survivor: The Australian Outback,2.0,11.0,9.0,US0032,Tina,Barramundi,Merged,500.0,AUD
US,US03,Survivor: Africa,3.0,11.0,9.0,US0042,Frank,Moto Maji,Merged,20000.0,KES
US,US03,Survivor: Africa,3.0,11.0,9.0,US0043,Kim P.,Moto Maji,Merged,20000.0,KES
US,US03,Survivor: Africa,3.0,11.0,9.0,US0044,Teresa,Moto Maji,Merged,20000.0,KES
US,US03,Survivor: Africa,3.0,11.0,9.0,US0045,Tom,Moto Maji,Merged,20000.0,KES
US,US03,Survivor: Africa,3.0,11.0,9.0,US0046,Lex,Moto Maji,Merged,20000.0,KES
US,US03,Survivor: Africa,3.0,11.0,9.0,US0047,Kim J.,Moto Maji,Merged,20000.0,KES
US,US03,Survivor: Africa,3.0,11.0,9.0,US0048,Ethan,Moto Maji,Merged,20000.0,KES
US,US05,Survivor: Thailand,5.0,5.0,4.0,US0069,Stephanie,Sook Jai,Original,1000.0,USD
US,US05,Survivor: Thailand,5.0,5.0,4.0,US0070,Robb,Sook Jai,Original,1000.0,USD
US,US05,Survivor: Thailand,5.0,5.0,4.0,US0071,Shii Ann,Sook Jai,Original,1000.0,USD
US,US05,Survivor: Thailand,5.0,5.0,4.0,US0072,Erin,Sook Jai,Original,1000.0,USD
