version,version_season,season_name,season,castaway,castaway_id,advantage_id,sequence_id,day,episode,event,played_for,played_for_id,success,votes_nullified
US,US11,Survivor: Guatemala,11.0,Gary,US0161,1.0,1.0,24.0,9.0,Found,,,,
US,US11,Survivor: Guatemala,11.0,Gary,US0161,1.0,2.0,24.0,9.0,Played,Gary,US0161,Yes,0.0
US,US12,Survivor: Panama,12.0,Terry,US0180,1.0,1.0,9.0,4.0,Found,,,,
US,US12,Survivor: Panama,12.0,Terry,US0180,1.0,2.0,37.0,15.0,Expired,,,,
US,US13,Survivor: Cook Islands,13.0,Yul,US0202,1.0,1.0,5.0,2.0,Found,,,,
US,US13,Survivor: Cook Islands,13.0,Yul,US0202,1.0,2.0,37.0,15.0,Expired,,,,
US,US14,Survivor: Fiji,14.0,Yau-Man,US0218,1.0,1.0,17.0,7.0,Found,,,,
US,US14,Survivor: Fiji,14.0,Yau-Man,US0218,1.0,2.0,36.0,13.0,Played,Yau-Man,US0218,Yes,4.0
US,US14,Survivor: Fiji,14.0,Mookie,US0214,2.0,1.0,20.0,8.0,Found,,,,
US,US14,Survivor: Fiji,14.0,Alex,US0215,2.0,2.0,27.0,10.0,Received,,,,
US,US14,Survivor: Fiji,14.0,Alex,US0215,2.0,3.0,27.0,10.0,Played,Alex,US0215,Not needed,0.0
US,US14,Survivor: Fiji,14.0,Earl,US0221,3.0,1.0,36.0,13.0,Found,,,,
US,US14,Survivor: Fiji,14.0,Earl,US0221,3.0,2.0,37.0,14.0,Played,Earl,US0221,Not needed,0.0
US,US15,Survivor: China,15.0,Todd,US0237,1.0,1.0,18.0,6.0,Found,,,,
US,US15,Survivor: China,15.0,James,US0231,1.0,2.0,18.0,6.0,Received,,,,
US,US15,Survivor: China,15.0,James,US0231,1.0,3.0,30.0,11.0,Voted out with advantage,,,,
US,US15,Survivor: China,15.0,James,US0231,2.0,1.0,19.0,7.0,Found,,,,
US,US15,Survivor: China,15.0,James,US0231,2.0,2.0,30.0,11.0,Voted out with advantage,,,,
US,US16,Survivor: Micronesia,16.0,Ozzy,US0201,1.0,1.0,9.0,4.0,Found,,,,
US,US16,Survivor: Micronesia,16.0,Ozzy,US0201,1.0,2.0,27.0,10.0,Voted out with advantage,,,,
US,US16,Survivor: Micronesia,16.0,Jason,US0244,2.0,1.0,29.0,11.0,Found,,,,
US,US16,Survivor: Micronesia,16.0,Jason,US0244,2.0,2.0,30.0,11.0,Voted out with advantage,,,,
US,US16,Survivor: Micronesia,16.0,Amanda,US0235,3.0,1.0,33.0,12.0,Found,,,,
US,US16,Survivor: Micronesia,16.0,Amanda,US0235,3.0,2.0,33.0,12.0,Played,Amanda,US0235,Yes,4.0
US,US17,Survivor: Gabon,17.0,Sugar,US0263,1.0,1.0,7.0,2.0,Found,,,,
US,US17,Survivor: Gabon,17.0,Ace,US0254,1.0,2.0,16.0,5.0,Received,,,,
US,US17,Survivor: Gabon,17.0,Sugar,US0263,1.0,3.0,18.0,5.0,Received,,,,
US,US17,Survivor: Gabon,17.0,Sugar,US0263,1.0,4.0,36.0,12.0,Played,Matty,US0262,Not needed,2.0
US,US17,Survivor: Gabon,17.0,Randy,US0258,2.0,1.0,24.0,7.0,Found,,,,
US,US17,Survivor: Gabon,17.0,Randy,US0258,2.0,2.0,24.0,7.0,Discarded,,,,
US,US18,Survivor: Tocantins,18.0,Brendan,US0273,1.0,1.0,9.0,3.0,Found,,,,
US,US18,Survivor: Tocantins,18.0,Brendan,US0273,1.0,2.0,24.0,9.0,Voted out with advantage,,,,
US,US18,Survivor: Tocantins,18.0,Taj,US0278,2.0,1.0,13.0,5.0,Found,,,,
US,US18,Survivor: Tocantins,18.0,Stephen,US0280,2.0,2.0,13.0,5.0,Received,,,,
US,US18,Survivor: Tocantins,18.0,Stephen,US0280,2.0,3.0,37.0,14.0,Expired,,,,
US,US19,Survivor: Samoa,19.0,Russell H.,US0300,1.0,1.0,4.0,2.0,Found,,,,
US,US19,Survivor: Samoa,19.0,Russell H.,US0300,1.0,2.0,21.0,8.0,Played,Russell H.,US0300,Not needed,0.0
