version,version_season,season_name,season,full_name,castaway_id,castaway,age,city,state,episode,day,order,result,jury_status,original_tribe,result_number,jury,finalist,winner
US,US01,Survivor: Borneo,1.0,Sonja Christopher,US0001,Sonja,63.0,Walnut Creek,California,1.0,3.0,1.0,1st voted out,,Tagi,1.0,False,False,False
US,US01,Survivor: Borneo,1.0,B.B. Andersen,US0002,B.B.,64.0,Mission Hills,Kansas,2.0,6.0,2.0,2nd voted out,,Pagong,2.0,False,False,False
US,US01,Survivor: Borneo,1.0,Stacey Stillman,US0003,Stacey,27.0,San Francisco,California,3.0,9.0,3.0,3rd voted out,,Tagi,3.0,False,False,False
US,US01,Survivor: Borneo,1.0,Ramona Gray,US0004,Ramona,29.0,Edison,New Jersey,4.0,12.0,4.0,4th voted out,,Pagong,4.0,False,False,False
US,US01,Survivor: Borneo,1.0,Dirk Been,US0005,Dirk,23.0,Spring Green,Wisconsin,5.0,15.0,5.0,5th voted out,,Tagi,5.0,False,False,False
US,US01,Survivor: Borneo,1.0,Joel Klug,US0006,Joel,27.0,Sherwood,Arkansas,6.0,18.0,6.0,6th voted out,,Pagong,6.0,False,False,False
US,US01,Survivor: Borneo,1.0,Gretchen Cordy,US0007,Gretchen,38.0,Clarksville,Tennessee,7.0,21.0,7.0,7th voted out,,Pagong,7.0,False,False,False
US,US01,Survivor: Borneo,1.0,Greg Buis,US0008,Greg,24.0,Gold Hill,Colorado,8.0,24.0,8.0,8th voted out,1st jury member,Pagong,8.0,True,False,False
US,US01,Survivor: Borneo,1.0,Jenna Lewis,US0009,Jenna,22.0,Franklin,New Hampshire,9.0,27.0,9.0,9th voted out,2nd jury member,Pagong,9.0,True,False,False
US,US01,Survivor: Borneo,1.0,Gervase Peterson,US0010,Gervase,30.0,Willingboro,New Jersey,10.0,30.0,10.0,10th voted out,3rd jury member,Pagong,10.0,True,False,False
US,US01,Survivor: Borneo,1.0,Colleen Haskell,US0011,Colleen,23.0,Miami Beach,Florida,11.0,33.0,11.0,11th voted out,4th jury member,Pagong,11.0,True,False,False
US,US01,Survivor: Borneo,1.0,Sean Kenniff,US0012,Sean,30.0,Carle Place,New York,12.0,36.0,12.0,12th voted out,5th jury member,Tagi,12.0,True,False,False
US,US01,Survivor: Borneo,1.0,Susan Hawk,US0013,Sue,38.0,Palmyra,Wisconsin,13.0,37.0,13.0,13th voted out,6th jury member,Tagi,13.0,True,False,False
US,US01,Survivor: Borneo,1.0,Rudy Boesch,US0014,Rudy,72.0,Virginia Beach,Virginia,13.0,38.0,14.0,14th voted out,7th jury member,Tagi,14.0,True,False,False
US,US01,Survivor: Borneo,1.0,Kelly Wiglesworth,US0015,Kelly,22.0,Kernville,California,13.0,39.0,15.0,Runner-up,,Tagi,15.0,False,True,False
US,US01,Survivor: Borneo,1.0,Richard Hatch,US0016,Richard,39.0,Newport,Rhode Island,13.0,39.0,16.0,Sole Survivor,,Tagi,16.0,False,True,True
US,US02,Survivor: The Australian Outback,2.0,Debb Eaton,US0017,Debb,45.0,Milan,New Hampshire,1.0,3.0,1.0,1st voted out,,Kucha,1.0,False,False,False
US,US02,Survivor: The Australian Outback,2.0,Kel Gleason,US0018,Kel,32.0,Fort Hood,Texas,2.0,6.0,2.0,2nd voted out,,Ogakor,2.0,False,False,False
US,US02,Survivor: The Australian Outback,2.0,Maralyn Hershey,US0019,Maralyn,51.0,Wakefield,Virginia,3.0,9.0,3.0,3rd voted out,,Ogakor,3.0,False,False,False
US,US02,Survivor: The Australian Outback,2.0,Mitchell Olson,US0020,Mitchell,23.0,Union City,New Jersey,4.0,12.0,4.0,4th voted out,,Ogakor,4.0,False,False,False
US,US02,Survivor: The Australian Outback,2.0,Kimmi Kappenberg,US0021,Kimmi,27.0,Ronkonkoma,New York,5.0,15.0,5.0,5th voted out,,Kucha,5.0,False,False,False
US,US02,Survivor: The Australian Outback,2.0,Michael Skupin,US0022,Michael,38.0,White Lake,Michigan,6.0,17.0,6.0,Medically evacuated,,Kucha,6.0,False,False,False
US,US02,Survivor: The Australian Outback,2.0,Jeff Varner,US0023,Jeff,34.0,Manhattan,New York,7.0,21.0,7.0,6th voted out,,Kucha,7.0,False,False,False
US,US02,Survivor: The Australian Outback,2.0,Alicia Calaway,US0024,Alicia,32.0,Manhattan,New York,8.0,24.0,8.0,7th voted out,1st jury member,Kucha,8.0,True,False,False
US,US02,Survivor: The Australian Outback,2.0,Jerri Manthey,US0025,Jerri,30.0,Los Angeles,California,10.0,27.0,9.0,8th voted out,2nd jury member,Ogakor,9.0,True,False,False
US,US02,Survivor: The Australian Outback,2.0,Nick Brown,US0026,Nick,23.0,Steilacoom,Washington,11.0,30.0,10.0,9th voted out,3rd jury member,Kucha,10.0,True,False,False
US,US02,Survivor: The Australian Outback,2.0,Amber Brkich,US0027,Amber,22.0,Beaver,Pennsylvania,12.0,33.0,11.0,10th voted out,4th jury member,Ogakor,11.0,True,False,False
US,US02,Survivor: The Australian Outback,2.0,Rodger Bingham,US0028,Rodger,53.0,Crittenden,Kentucky,13.0,36.0,12.0,11th voted out,5th jury member,Kucha,12.0,True,False,False
US,US02,Survivor: The Australian Outback,2.0,Elisabeth Filarski,US0029,Elisabeth,23.0,Newton,Massachusetts,14.0,39.0,13.0,12th voted out,6th jury member,Kucha,13.0,True,False,False
US,US02,Survivor: The Australian Outback,2.0,Keith Famie,US0030,Keith,40.0,West Bloomfield,Michigan,15.0,41.0,14.0,13th voted out,7th jury member,Ogakor,14.0,True,False,False
US,US02,Survivor: The Australian Outback,2.0,Colby Donaldson,US0031,Colby,26.0,Dallas,Texas,15.0,42.0,15.0,Runner-up,,Ogakor,15.0,False,True,False
US,US02,Survivor: The Australian Outback,2.0,Tina Wesson,US0032,Tina,40.0,Knoxville,Tennessee,15.0,42.0,16.0,Sole Survivor,,Ogakor,16.0,False,True,True
US,US03,Survivor: Africa,3.0,Diane Ogden,US0033,Diane,42.0,Lincoln,Nebraska,1.0,3.0,1.0,1st voted out,,Boran,1.0,False,False,False
US,US03,Survivor: Africa,3.0,Jessie Camacho,US0034,Jessie,26.0,Orlando,Florida,2.0,6.0,2.0,2nd voted out,,Boran,2.0,False,False,False
US,US03,Survivor: Africa,3.0,Carl Bilancione,US0035,Carl,46.0,Winter Springs,Florida,3.0,9.0,3.0,3rd voted out,,Samburu,3.0,False,False,False
US,US03,Survivor: Africa,3.0,Linda Spencer,US0036,Linda,44.0,Boston,Massachusetts,4.0,12.0,4.0,4th voted out,,Samburu,4.0,False,False,False
US,US03,Survivor: Africa,3.0,Silas Gaither,US0037,Silas,23.0,Los Angeles,California,5.0,15.0,5.0,5th voted out,,Samburu,5.0,False,False,False
US,US03,Survivor: Africa,3.0,Lindsey Richter,US0038,Lindsey,26.0,Portland,Oregon,6.0,18.0,6.0,6th voted out,,Samburu,6.0,False,False,False
US,US03,Survivor: Africa,3.0,Clarence Black,US0039,Clarence,24.0,Detroit,Michigan,7.0,21.0,7.0,7th voted out,,Boran,7.0,False,False,False
US,US03,Survivor: Africa,3.0,Kelly Goldsmith,US0040,Kelly,22.0,San Diego,California,9.0,24.0,8.0,8th voted out,1st jury member,Boran,8.0,True,False,False
US,US03,Survivor: Africa,3.0,Brandon Quinton,US0041,Brandon,25.0,Dallas,Texas,10.0,27.0,9.0,9th voted out,2nd jury member,Samburu,9.0,True,False,False
US,US03,Survivor: Africa,3.0,Frank Garrison,US0042,Frank,43.0,Odessa,New York,11.0,30.0,10.0,10th voted out,3rd jury member,Samburu,10.0,True,False,False
US,US03,Survivor: Africa,3.0,Kim Powers,US0043,Kim P.,29.0,Conshohocken,Pennsylvania,12.0,33.0,11.0,11th voted out,4th jury member,Samburu,11.0,True,False,False
US,US03,Survivor: Africa,3.0,Teresa Cooper,US0044,Teresa,42.0,Jackson,Georgia,13.0,36.0,12.0,12th voted out,5th jury member,Samburu,12.0,True,False,False
US,US03,Survivor: Africa,3.0,Tom Buchanan,US0045,Tom,45.0,Rich Valley,Virginia,14.0,37.0,13.0,13th voted out,6th jury member,Boran,13.0,True,False,False
US,US03,Survivor: Africa,3.0,Lex van den Berghe,US0046,Lex,38.0,Santa Cruz,California,14.0,38.0,14.0,14th voted out,7th jury member,Boran,14.0,True,False,False
US,US03,Survivor: Africa,3.0,Kim Johnson,US0047,Kim J.,56.0,Oyster Bay,New York,14.0,39.0,15.0,Runner-up,,Boran,15.0,False,True,False
US,US03,Survivor: Africa,3.0,Ethan Zohn,US0048,Ethan,27.0,Lexington,Massachusetts,14.0,39.0,16.0,Sole Survivor,,Boran,16.0,False,True,True
US,US04,Survivor: Marquesas,4.0,Peter Harkey,US0049,Peter,44.0,Millis,Massachusetts,1.0,3.0,1.0,1st voted out,,Maraamu,1.0,False,False,False
US,US04,Survivor: Marquesas,4.0,Patricia Jackson,US0050,Patricia,49.0,Lugoff,South Carolina,2.0,6.0,2.0,2nd voted out,,Maraamu,2.0,False,False,False
US,US04,Survivor: Marquesas,4.0,Hunter Ellis,US0051,Hunter,33.0,La Jolla,California,3.0,9.0,3.0,3rd voted out,,Maraamu,3.0,False,False,False
US,US04,Survivor: Marquesas,4.0,Sarah Jones,US0052,Sarah,24.0,Newport Beach,California,4.0,12.0,4.0,4th voted out,,Maraamu,4.0,False,False,False
US,US04,Survivor: Marquesas,4.0,Gabriel Cade,US0053,Gabriel,23.0,Hollywood,California,5.0,15.0,5.0,5th voted out,,Rotu,5.0,False,False,False
US,US04,Survivor: Marquesas,4.0,Gina Crews,US0054,Gina,28.0,Gainesville,Florida,6.0,18.0,6.0,6th voted out,,Maraamu,6.0,False,False,False
US,US04,Survivor: Marquesas,4.0,Rob Mariano,US0055,Boston Rob,25.0,Canton,Massachusetts,7.0,21.0,7.0,7th voted out,,Maraamu,7.0,False,False,False
US,US04,Survivor: Marquesas,4.0,John Carroll,US0056,John,36.0,Omaha,Nebraska,8.0,24.0,8.0,8th voted out,1st jury member,Rotu,8.0,True,False,False
US,US04,Survivor: Marquesas,4.0,Zoe Zanidakis,US0057,Zoe,35.0,Monhegan,Maine,10.0,27.0,9.0,9th voted out,2nd jury member,Rotu,9.0,True,False,False
US,US04,Survivor: Marquesas,4.0,Tammy Leitner,US0058,Tammy,29.0,Mesa,Arizona,11.0,30.0,10.0,10th voted out,3rd jury member,Rotu,10.0,True,False,False
US,US04,Survivor: Marquesas,4.0,Robert DeCanio,US0059,Robert,38.0,College Point,New York,12.0,33.0,11.0,11th voted out,4th jury member,Rotu,11.0,True,False,False
US,US04,Survivor: Marquesas,4.0,Sean Rector,US0060,Sean,30.0,Los Angeles,California,13.0,36.0,12.0,12th voted out,5th jury member,Maraamu,12.0,True,False,False
US,US04,Survivor: Marquesas,4.0,Paschal English,US0061,Paschal,56.0,Thomaston,Georgia,14.0,37.0,13.0,Eliminated,6th jury member,Rotu,13.0,True,False,False
US,US04,Survivor: Marquesas,4.0,Kathy Vavrick-O'Brien,US0062,Kathy,46.0,Burlington,Vermont,14.0,38.0,14.0,13th voted out,7th jury member,Rotu,14.0,True,False,False
US,US04,Survivor: Marquesas,4.0,Neleh Dennis,US0063,Neleh,21.0,Layton,Utah,14.0,39.0,15.0,Runner-up,,Rotu,15.0,False,True,False
US,US04,Survivor: Marquesas,4.0,Vecepia Towery,US0064,Vecepia,36.0,Hayward,California,14.0,39.0,16.0,Sole Survivor,,Maraamu,16.0,False,True,True
US,US05,Survivor: Thailand,5.0,John Raymond,US0065,John,40.0,Slidell,Louisiana,1.0,3.0,1.0,1st voted out,,Chuay Gahn,1.0,False,False,False
US,US05,Survivor: Thailand,5.0,Tanya Vance,US0066,Tanya,27.0,Gray,Tennessee,2.0,6.0,2.0,2nd voted out,,Chuay Gahn,2.0,False,False,False
US,US05,Survivor: Thailand,5.0,Jed Hildebrand,US0067,Jed,25.0,Dallas,Texas,3.0,9.0,3.0,3rd voted out,,Sook Jai,3.0,False,False,False
US,US05,Survivor: Thailand,5.0,Ghandia Johnson,US0068,Ghandia,33.0,Denver,Colorado,4.0,12.0,4.0,4th voted out,,Chuay Gahn,4.0,False,False,False
US,US05,Survivor: Thailand,5.0,Stephanie Dill,US0069,Stephanie,29.0,Ozark,Arkansas,5.0,15.0,5.0,5th voted out,,Sook Jai,5.0,False,False,False
US,US05,Survivor: Thailand,5.0,Robert Zbacnik,US0070,Robb,23.0,Scottsdale,Arizona,6.0,18.0,6.0,6th voted out,,Sook Jai,6.0,False,False,False
US,US05,Survivor: Thailand,5.0,Shii Ann Huang,US0071,Shii Ann,28.0,New York City,New York,7.0,21.0,7.0,7th voted out,,Sook Jai,7.0,False,False,False
US,US05,Survivor: Thailand,5.0,Erin Collins,US0072,Erin,26.0,Austin,Texas,8.0,24.0,8.0,8th voted out,1st jury member,Sook Jai,8.0,True,False,False
US,US05,Survivor: Thailand,5.0,Ken Stafford,US0073,Ken,30.0,Brooklyn,New York,9.0,27.0,9.0,9th voted out,2nd jury member,Sook Jai,9.0,True,False,False
US,US05,Survivor: Thailand,5.0,Penny Ramsey,US0074,Penny,27.0,Plano,Texas,10.0,30.0,10.0,10th voted out,3rd jury member,Sook Jai,10.0,True,False,False
US,US05,Survivor: Thailand,5.0,Jake Billingsley,US0075,Jake,60.0,McKinney,Texas,12.0,33.0,11.0,11th voted out,4th jury member,Sook Jai,11.0,True,False,False
US,US05,Survivor: Thailand,5.0,Ted Rogers Jr.,US0076,Ted,37.0,Durham,North Carolina,13.0,36.0,12.0,12th voted out,5th jury member,Chuay Gahn,12.0,True,False,False
US,US05,Survivor: Thailand,5.0,Helen Glover,US0077,Helen,47.0,Middletown,Rhode Island,14.0,37.0,13.0,13th voted out,6th jury member,Chuay Gahn,13.0,True,False,False
US,US05,Survivor: Thailand,5.0,Jan Gentry,US0078,Jan,53.0,Tampa,Florida,14.0,38.0,14.0,14th voted out,7th jury member,Chuay Gahn,14.0,True,False,False
US,US05,Survivor: Thailand,5.0,Clay Jordan,US0079,Clay,46.0,Monroe,Louisiana,14.0,39.0,15.0,Runner-up,,Chuay Gahn,15.0,False,True,False
US,US05,Survivor: Thailand,5.0,Brian Heidik,US0080,Brian,34.0,Quartz Hill,California,14.0,39.0,16.0,Sole Survivor,,Chuay Gahn,16.0,False,True,True
US,US06,Survivor: The Amazon,6.0,Ryan Aiken,US0081,Ryan,23.0,Ellicott City,Maryland,1.0,3.0,1.0,1st voted out,,Tambaqui,1.0,False,False,False
US,US06,Survivor: The Amazon,6.0,Janet Koth,US0082,Janet,46.0,Manchester,Missouri,2.0,6.0,2.0,2nd voted out,,Jaburu,2.0,False,False,False
US,US06,Survivor: The Amazon,6.0,Daniel Lue,US0083,Daniel,26.0,Houston,Texas,3.0,9.0,3.0,3rd voted out,,Tambaqui,3.0,False,False,False
US,US06,Survivor: The Amazon,6.0,JoAnna Ward,US0084,JoAnna,31.0,Orangeburg,South Carolina,4.0,12.0,4.0,4th voted out,,Jaburu,4.0,False,False,False
US,US06,Survivor: The Amazon,6.0,Jeanne Hebert,US0085,Jeanne,40.0,North Attleboro,Massachusetts,5.0,15.0,5.0,5th voted out,,Jaburu,5.0,False,False,False
US,US06,Survivor: The Amazon,6.0,Shawna Mitchell,US0086,Shawna,23.0,Los Angeles,California,6.0,18.0,6.0,6th voted out,,Jaburu,6.0,False,False,False
US,US06,Survivor: The Amazon,6.0,Roger Sexton,US0087,Roger,56.0,Valencia,California,7.0,21.0,7.0,7th voted out,,Tambaqui,7.0,False,False,False
US,US06,Survivor: The Amazon,6.0,Dave Johnson,US0088,Dave,23.0,Pasadena,California,8.0,24.0,8.0,8th voted out,1st jury member,Tambaqui,8.0,True,False,False
US,US06,Survivor: The Amazon,6.0,Deena Bennett,US0089,Deena,35.0,Riverside,California,9.0,27.0,9.0,9th voted out,2nd jury member,Jaburu,9.0,True,False,False
US,US06,Survivor: The Amazon,6.0,Alex Bell,US0090,Alex,32.0,Los Angeles,California,11.0,30.0,10.0,10th voted out,3rd jury member,Tambaqui,10.0,True,False,False
US,US06,Survivor: The Amazon,6.0,Christy Smith,US0091,Christy,24.0,Basalt,Colorado,12.0,33.0,11.0,11th voted out,4th jury member,Jaburu,11.0,True,False,False
US,US06,Survivor: The Amazon,6.0,Heidi Strobel,US0092,Heidi,24.0,Jefferson City,Missouri,13.0,36.0,12.0,12th voted out,5th jury member,Jaburu,12.0,True,False,False
US,US06,Survivor: The Amazon,6.0,Butch Lockley,US0093,Butch,50.0,Olney,Illinois,14.0,37.0,13.0,13th voted out,6th jury member,Tambaqui,13.0,True,False,False
US,US06,Survivor: The Amazon,6.0,Rob Cesternino,US0094,Rob,24.0,Wantagh,New York,14.0,38.0,14.0,14th voted out,7th jury member,Tambaqui,14.0,True,False,False
US,US06,Survivor: The Amazon,6.0,Matthew von Ertfelda,US0095,Matthew,33.0,Washington,D.C.,14.0,39.0,15.0,Runner-up,,Tambaqui,15.0,False,True,False
US,US06,Survivor: The Amazon,6.0,Jenna Morasca,US0096,Jenna,21.0,Bridgeville,Pennsylvania,14.0,39.0,16.0,Sole Survivor,,Jaburu,16.0,False,True,True
US,US07,Survivor: Pearl Islands,7.0,Nicole Delma,US0097,Nicole,24.0,Hermosa Beach,California,1.0,3.0,1.0,1st voted out,,Morgan,1.0,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Ryan Shoulders,US0098,Ryan S.,23.0,Clarksville,Tennessee,2.0,6.0,2.0,2nd voted out,,Morgan,2.0,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Lillian Morris,US0099,Lillian,51.0,Loveland,Ohio,3.0,9.0,3.0,3rd voted out,,Morgan,,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Burton Roberts,US0100,Burton,31.0,San Francisco,California,4.0,12.0,4.0,4th voted out,,Drake,,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Michelle Tesauro,US0101,Michelle,22.0,Washington,D.C.,5.0,15.0,5.0,5th voted out,,Drake,3.0,False,False,False
