version,version_season,season_name,season,episode,castaway,castaway_id,confessional_count,confessional_time,index_count,index_time
US,US01,Survivor: Borneo,1.0,5.0,Gretchen,US0007,4.0,,1.0714285714285714,
US,US01,Survivor: Borneo,1.0,5.0,Greg,US0008,4.0,,0.9642857142857142,
US,US01,Survivor: Borneo,1.0,5.0,Jenna,US0009,5.0,,0.8571428571428571,
US,US01,Survivor: Borneo,1.0,5.0,Gervase,US0010,4.0,,1.232142857142857,
US,US01,Survivor: Borneo,1.0,5.0,Colleen,US0011,3.0,,0.8571428571428571,
US,US01,Survivor: Borneo,1.0,5.0,Sean,US0012,11.0,,1.269265639165911,
US,US01,Survivor: Borneo,1.0,5.0,Sue,US0013,4.0,,0.8631006346328195,
US,US01,Survivor: Borneo,1.0,5.0,Rudy,US0014,4.0,,0.7107887579329102,
US,US01,Survivor: Borneo,1.0,5.0,Kelly,US0015,9.0,,1.1169537624660018,
US,US01,Survivor: Borneo,1.0,5.0,Richard,US0016,4.0,,1.5231187669990933,
US,US01,Survivor: Borneo,1.0,6.0,Joel,US0006,12.0,,0.825,
US,US01,Survivor: Borneo,1.0,6.0,Gretchen,US0007,10.0,,1.125,
US,US01,Survivor: Borneo,1.0,6.0,Greg,US0008,1.0,,0.7125,
US,US01,Survivor: Borneo,1.0,6.0,Jenna,US0009,6.0,,0.825,
US,US01,Survivor: Borneo,1.0,6.0,Gervase,US0010,9.0,,1.2,
US,US01,Survivor: Borneo,1.0,6.0,Colleen,US0011,10.0,,0.975,
US,US01,Survivor: Borneo,1.0,6.0,Sean,US0012,2.0,,1.1690119066027524,
US,US01,Survivor: Borneo,1.0,6.0,Sue,US0013,3.0,,0.8659347456316685,
US,US01,Survivor: Borneo,1.0,6.0,Rudy,US0014,4.0,,0.7793412710685016,
US,US01,Survivor: Borneo,1.0,6.0,Kelly,US0015,2.0,,1.0391216947580022,
US,US01,Survivor: Borneo,1.0,6.0,Richard,US0016,6.0,,1.5586825421370032,
US,US01,Survivor: Borneo,1.0,7.0,Gretchen,US0007,5.0,,1.0681586978636826,
US,US01,Survivor: Borneo,1.0,7.0,Greg,US0008,7.0,,0.7934893184130214,
US,US01,Survivor: Borneo,1.0,7.0,Jenna,US0009,10.0,,0.9766022380467956,
US,US01,Survivor: Borneo,1.0,7.0,Gervase,US0010,4.0,,1.0986775178026449,
US,US01,Survivor: Borneo,1.0,7.0,Colleen,US0011,5.0,,0.9460834181078331,
US,US01,Survivor: Borneo,1.0,7.0,Sean,US0012,5.0,,1.0960244648318043,
US,US01,Survivor: Borneo,1.0,7.0,Sue,US0013,5.0,,0.8562691131498471,
US,US01,Survivor: Borneo,1.0,7.0,Rudy,US0014,7.0,,0.8562691131498471,
US,US01,Survivor: Borneo,1.0,7.0,Kelly,US0015,5.0,,0.9932721712538227,
US,US01,Survivor: Borneo,1.0,7.0,Richard,US0016,8.0,,1.507033639143731,
US,US01,Survivor: Borneo,1.0,8.0,Greg,US0008,9.0,,0.8826001681143176,
US,US01,Survivor: Borneo,1.0,8.0,Jenna,US0009,10.0,,1.0591202017371812,
US,US01,Survivor: Borneo,1.0,8.0,Gervase,US0010,8.0,,1.1095544970579994,
US,US01,Survivor: Borneo,1.0,8.0,Colleen,US0011,3.0,,0.8573830204539086,
US,US01,Survivor: Borneo,1.0,8.0,Sean,US0012,3.0,,0.969923571782042,
US,US01,Survivor: Borneo,1.0,8.0,Sue,US0013,8.0,,0.9144993676802111,
US,US01,Survivor: Borneo,1.0,8.0,Rudy,US0014,5.0,,0.8313630615274646,
US,US01,Survivor: Borneo,1.0,8.0,Kelly,US0015,8.0,,1.025347775883873,
US,US01,Survivor: Borneo,1.0,8.0,Richard,US0016,8.0,,1.4410293066476054,
US,US01,Survivor: Borneo,1.0,9.0,Jenna,US0009,5.0,,1.0379731304827924,
US,US01,Survivor: Borneo,1.0,9.0,Gervase,US0010,4.0,,1.0600576651739155,
US,US01,Survivor: Borneo,1.0,9.0,Colleen,US0011,9.0,,0.9496349917182995,
US,US01,Survivor: Borneo,1.0,9.0,Sean,US0012,5.0,,0.9589953382171058,
US,US01,Survivor: Borneo,1.0,9.0,Sue,US0013,6.0,,0.9350204547616782,
US,US01,Survivor: Borneo,1.0,9.0,Rudy,US0014,3.0,,0.7911711540291123,
US,US01,Survivor: Borneo,1.0,9.0,Kelly,US0015,5.0,,1.0069451051279612,
US,US01,Survivor: Borneo,1.0,9.0,Richard,US0016,8.0,,1.4384930073256588,
US,US01,Survivor: Borneo,1.0,10.0,Gervase,US0010,8.0,,1.0889981248119025,
US,US01,Survivor: Borneo,1.0,10.0,Colleen,US0011,3.0,,0.8945341739526341,
US,US01,Survivor: Borneo,1.0,10.0,Sean,US0012,4.0,,0.9194792271332615,
US,US01,Survivor: Borneo,1.0,10.0,Sue,US0013,8.0,,0.9821709926196203,
US,US01,Survivor: Borneo,1.0,10.0,Rudy,US0014,4.0,,0.7731984409984245,
US,US01,Survivor: Borneo,1.0,10.0,Kelly,US0015,8.0,,1.044862758105979,
US,US01,Survivor: Borneo,1.0,10.0,Richard,US0016,8.0,,1.4210133510241314,
US,US01,Survivor: Borneo,1.0,11.0,Colleen,US0011,8.0,,0.921657737712246,
US,US01,Survivor: Borneo,1.0,11.0,Sean,US0012,6.0,,0.9087630724846736,
US,US01,Survivor: Borneo,1.0,11.0,Sue,US0013,10.0,,1.0359899026325279,
US,US01,Survivor: Borneo,1.0,11.0,Rudy,US0014,2.0,,0.7088351965380454,
US,US01,Survivor: Borneo,1.0,11.0,Kelly,US0015,12.0,,1.1268662098809952,
US,US01,Survivor: Borneo,1.0,11.0,Richard,US0016,5.0,,1.3267940858276235,
US,US01,Survivor: Borneo,1.0,12.0,Sean,US0012,7.0,,0.9190607204555633,
US,US01,Survivor: Borneo,1.0,12.0,Sue,US0013,8.0,,1.048051698765116,
US,US01,Survivor: Borneo,1.0,12.0,Rudy,US0014,4.0,,0.693326508413846,
US,US01,Survivor: Borneo,1.0,12.0,Kelly,US0015,8.0,,1.1286710602085865,
US,US01,Survivor: Borneo,1.0,12.0,Richard,US0016,8.0,,1.3060336553842216,
US,US01,Survivor: Borneo,1.0,13.0,Sue,US0013,6.0,,0.9858394401895422,
US,US01,Survivor: Borneo,1.0,13.0,Rudy,US0014,8.0,,0.7081381894319246,
US,US01,Survivor: Borneo,1.0,13.0,Kelly,US0015,15.0,,1.1802303157198744,
US,US01,Survivor: Borneo,1.0,13.0,Richard,US0016,11.0,,1.2774257534850406,
US,US02,Survivor: The Australian Outback,2.0,1.0,Debb,US0017,4.0,,1.2307692307692308,
US,US02,Survivor: The Australian Outback,2.0,1.0,Kel,US0018,0.0,,0.0,
US,US02,Survivor: The Australian Outback,2.0,1.0,Maralyn,US0019,2.0,,1.0,
US,US02,Survivor: The Australian Outback,2.0,1.0,Mitchell,US0020,2.0,,1.0,
US,US02,Survivor: The Australian Outback,2.0,1.0,Kimmi,US0021,6.0,,1.8461538461538463,
US,US02,Survivor: The Australian Outback,2.0,1.0,Michael,US0022,3.0,,0.9230769230769231,
US,US02,Survivor: The Australian Outback,2.0,1.0,Jeff,US0023,5.0,,1.5384615384615385,
US,US02,Survivor: The Australian Outback,2.0,1.0,Alicia,US0024,1.0,,0.3076923076923077,
US,US02,Survivor: The Australian Outback,2.0,1.0,Jerri,US0025,4.0,,2.0,
US,US02,Survivor: The Australian Outback,2.0,1.0,Nick,US0026,1.0,,0.3076923076923077,
US,US02,Survivor: The Australian Outback,2.0,1.0,Amber,US0027,1.0,,0.5,
US,US02,Survivor: The Australian Outback,2.0,1.0,Rodger,US0028,3.0,,0.9230769230769231,
US,US02,Survivor: The Australian Outback,2.0,1.0,Elisabeth,US0029,3.0,,0.9230769230769231,
US,US02,Survivor: The Australian Outback,2.0,1.0,Keith,US0030,4.0,,2.0,
US,US02,Survivor: The Australian Outback,2.0,1.0,Colby,US0031,3.0,,1.5,
US,US02,Survivor: The Australian Outback,2.0,1.0,Tina,US0032,0.0,,0.0,
US,US02,Survivor: The Australian Outback,2.0,2.0,Kel,US0018,4.0,,0.6037735849056604,
US,US02,Survivor: The Australian Outback,2.0,2.0,Maralyn,US0019,7.0,,1.3584905660377358,
US,US02,Survivor: The Australian Outback,2.0,2.0,Mitchell,US0020,5.0,,1.0566037735849056,
US,US02,Survivor: The Australian Outback,2.0,2.0,Kimmi,US0021,3.0,,1.5849056603773584,
US,US02,Survivor: The Australian Outback,2.0,2.0,Michael,US0022,4.0,,1.2327044025157232,
US,US02,Survivor: The Australian Outback,2.0,2.0,Jeff,US0023,4.0,,1.5849056603773584,
US,US02,Survivor: The Australian Outback,2.0,2.0,Alicia,US0024,3.0,,0.7044025157232704,
US,US02,Survivor: The Australian Outback,2.0,2.0,Jerri,US0025,9.0,,1.9622641509433962,
US,US02,Survivor: The Australian Outback,2.0,2.0,Nick,US0026,0.0,,0.1761006289308176,
US,US02,Survivor: The Australian Outback,2.0,2.0,Amber,US0027,1.0,,0.3018867924528302,
US,US02,Survivor: The Australian Outback,2.0,2.0,Rodger,US0028,3.0,,1.0566037735849056,
US,US02,Survivor: The Australian Outback,2.0,2.0,Elisabeth,US0029,0.0,,0.5283018867924528,
US,US02,Survivor: The Australian Outback,2.0,2.0,Keith,US0030,4.0,,1.2075471698113207,
US,US02,Survivor: The Australian Outback,2.0,2.0,Colby,US0031,2.0,,0.7547169811320755,
US,US02,Survivor: The Australian Outback,2.0,2.0,Tina,US0032,5.0,,0.7547169811320755,
US,US02,Survivor: The Australian Outback,2.0,3.0,Maralyn,US0019,3.0,,0.8995983935742972,
US,US02,Survivor: The Australian Outback,2.0,3.0,Mitchell,US0020,8.0,,1.1244979919678715,
US,US02,Survivor: The Australian Outback,2.0,3.0,Kimmi,US0021,3.0,,1.2775665399239544,
US,US02,Survivor: The Australian Outback,2.0,3.0,Michael,US0022,3.0,,1.064638783269962,
