version,version_season,season_name,season,episode,day,tribe_status,tribe,castaway,immunity,vote,vote_event,vote_event_outcome,split_vote,nullified,tie,voted_out,order,vote_order,castaway_id,vote_id,voted_out_id
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Sonja,,Rudy,,,,False,False,Sonja,1.0,1.0,US0001,US0014,US0001
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Stacey,,Rudy,,,,False,False,Sonja,1.0,1.0,US0003,US0014,US0001
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Dirk,,Sonja,,,,False,False,Sonja,1.0,1.0,US0005,US0001,US0001
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Sean,,Sonja,,,,False,False,Sonja,1.0,1.0,US0012,US0001,US0001
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Sue,,Sonja,,,,False,False,Sonja,1.0,1.0,US0013,US0001,US0001
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Rudy,,Sonja,,,,False,False,Sonja,1.0,1.0,US0014,US0001,US0001
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Kelly,,Rudy,,,,False,False,Sonja,1.0,1.0,US0015,US0014,US0001
US,US01,Survivor: Borneo,1.0,1.0,3.0,Original,Tagi,Richard,,Stacey,,,,False,False,Sonja,1.0,1.0,US0016,US0003,US0001
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,B.B.,,Ramona,,,,False,False,B.B.,2.0,1.0,US0002,US0004,US0002
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,Ramona,,B.B.,,,,False,False,B.B.,2.0,1.0,US0004,US0002,US0002
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,Joel,,B.B.,,,,False,False,B.B.,2.0,1.0,US0006,US0002,US0002
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,Gretchen,,B.B.,,,,False,False,B.B.,2.0,1.0,US0007,US0002,US0002
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,Greg,,Ramona,,,,False,False,B.B.,2.0,1.0,US0008,US0004,US0002
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,Jenna,,B.B.,,,,False,False,B.B.,2.0,1.0,US0009,US0002,US0002
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,Gervase,,B.B.,,,,False,False,B.B.,2.0,1.0,US0010,US0002,US0002
US,US01,Survivor: Borneo,1.0,2.0,6.0,Original,Pagong,Colleen,,B.B.,,,,False,False,B.B.,2.0,1.0,US0011,US0002,US0002
US,US01,Survivor: Borneo,1.0,3.0,9.0,Original,Tagi,Stacey,,Rudy,,,,False,False,Stacey,3.0,1.0,US0003,US0014,US0003
US,US01,Survivor: Borneo,1.0,3.0,9.0,Original,Tagi,Dirk,,Stacey,,,,False,False,Stacey,3.0,1.0,US0005,US0003,US0003
US,US01,Survivor: Borneo,1.0,3.0,9.0,Original,Tagi,Sean,,Stacey,,,,False,False,Stacey,3.0,1.0,US0012,US0003,US0003
US,US01,Survivor: Borneo,1.0,3.0,9.0,Original,Tagi,Sue,,Stacey,,,,False,False,Stacey,3.0,1.0,US0013,US0003,US0003
US,US01,Survivor: Borneo,1.0,3.0,9.0,Original,Tagi,Rudy,,Stacey,,,,False,False,Stacey,3.0,1.0,US0014,US0003,US0003
US,US01,Survivor: Borneo,1.0,3.0,9.0,Original,Tagi,Kelly,,Rudy,,,,False,False,Stacey,3.0,1.0,US0015,US0014,US0003
US,US01,Survivor: Borneo,1.0,3.0,9.0,Original,Tagi,Richard,,Stacey,,,,False,False,Stacey,3.0,1.0,US0016,US0003,US0003
US,US01,Survivor: Borneo,1.0,4.0,12.0,Original,Pagong,Ramona,,Colleen,,,,False,False,Ramona,4.0,1.0,US0004,US0011,US0004
US,US01,Survivor: Borneo,1.0,4.0,12.0,Original,Pagong,Joel,,Ramona,,,,False,False,Ramona,4.0,1.0,US0006,US0004,US0004
US,US01,Survivor: Borneo,1.0,4.0,12.0,Original,Pagong,Gretchen,,Ramona,,,,False,False,Ramona,4.0,1.0,US0007,US0004,US0004
US,US01,Survivor: Borneo,1.0,4.0,12.0,Original,Pagong,Greg,,Jenna,,,,False,False,Ramona,4.0,1.0,US0008,US0009,US0004
US,US01,Survivor: Borneo,1.0,4.0,12.0,Original,Pagong,Jenna,,Ramona,,,,False,False,Ramona,4.0,1.0,US0009,US0004,US0004
US,US01,Survivor: Borneo,1.0,4.0,12.0,Original,Pagong,Gervase,,Colleen,,,,False,False,Ramona,4.0,1.0,US0010,US0011,US0004
US,US01,Survivor: Borneo,1.0,4.0,12.0,Original,Pagong,Colleen,,Ramona,,,,False,False,Ramona,4.0,1.0,US0011,US0004,US0004
US,US01,Survivor: Borneo,1.0,5.0,15.0,Original,Tagi,Dirk,,Sue,,,,False,False,Dirk,5.0,1.0,US0005,US0013,US0005
US,US01,Survivor: Borneo,1.0,5.0,15.0,Original,Tagi,Sean,,Rudy,,,,False,False,Dirk,5.0,1.0,US0012,US0014,US0005
US,US01,Survivor: Borneo,1.0,5.0,15.0,Original,Tagi,Sue,,Dirk,,,,False,False,Dirk,5.0,1.0,US0013,US0005,US0005
US,US01,Survivor: Borneo,1.0,5.0,15.0,Original,Tagi,Rudy,,Dirk,,,,False,False,Dirk,5.0,1.0,US0014,US0005,US0005
US,US01,Survivor: Borneo,1.0,5.0,15.0,Original,Tagi,Kelly,,Dirk,,,,False,False,Dirk,5.0,1.0,US0015,US0005,US0005
US,US01,Survivor: Borneo,1.0,5.0,15.0,Original,Tagi,Richard,,Dirk,,,,False,False,Dirk,5.0,1.0,US0016,US0005,US0005
US,US01,Survivor: Borneo,1.0,6.0,18.0,Original,Pagong,Joel,,Jenna,,,,False,False,Joel,6.0,1.0,US0006,US0009,US0006
US,US01,Survivor: Borneo,1.0,6.0,18.0,Original,Pagong,Gretchen,,Joel,,,,False,False,Joel,6.0,1.0,US0007,US0006,US0006
US,US01,Survivor: Borneo,1.0,6.0,18.0,Original,Pagong,Greg,,Joel,,,,False,False,Joel,6.0,1.0,US0008,US0006,US0006
US,US01,Survivor: Borneo,1.0,6.0,18.0,Original,Pagong,Jenna,,Joel,,,,False,False,Joel,6.0,1.0,US0009,US0006,US0006
US,US01,Survivor: Borneo,1.0,6.0,18.0,Original,Pagong,Gervase,,Jenna,,,,False,False,Joel,6.0,1.0,US0010,US0009,US0006
US,US01,Survivor: Borneo,1.0,6.0,18.0,Original,Pagong,Colleen,,Joel,,,,False,False,Joel,6.0,1.0,US0011,US0006,US0006
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Gretchen,,Rudy,,,,False,False,Gretchen,7.0,1.0,US0007,US0014,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Greg,Individual,Jenna,,,,False,False,Gretchen,7.0,1.0,US0008,US0009,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Jenna,,Gervase,,,,False,False,Gretchen,7.0,1.0,US0009,US0010,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Gervase,,Sue,,,,False,False,Gretchen,7.0,1.0,US0010,US0013,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Colleen,,Richard,,,,False,False,Gretchen,7.0,1.0,US0011,US0016,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Sean,,Colleen,,,,False,False,Gretchen,7.0,1.0,US0012,US0011,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Sue,,Gretchen,,,,False,False,Gretchen,7.0,1.0,US0013,US0007,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Rudy,,Gretchen,,,,False,False,Gretchen,7.0,1.0,US0014,US0007,US0007
US,US01,Survivor: Borneo,1.0,7.0,21.0,Merged,Rattana,Kelly,,Gretchen,,,,False,False,Gretchen,7.0,1.0,US0015,US0007,US0007
