version,version_season,season_name,season,advantage_id,advantage_type,clue_details,location_found,conditions
US,US11,Survivor: Guatemala,11.0,1.0,Hidden immunity idol,Found without clue,Found around camp,Play before votes are cast
US,US12,Survivor: Panama,12.0,1.0,Super idol,Found on Exile,Advantage from Exile,Play after votes are read; Valid until F4
US,US13,Survivor: Cook Islands,13.0,1.0,Super idol,Found on Exile,Advantage from Exile,Play after votes are read; Valid until F4
US,US14,Survivor: Fiji,14.0,1.0,Hidden immunity idol,Found on Exile,Found around camp,
US,US14,Survivor: Fiji,14.0,2.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US14,Survivor: Fiji,14.0,3.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US15,Survivor: China,15.0,1.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US15,Survivor: China,15.0,2.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US16,Survivor: Micronesia,16.0,1.0,Hidden immunity idol,Found on Exile,Advantage from Exile,
US,US16,Survivor: Micronesia,16.0,2.0,Hidden immunity idol,Found on Exile,Advantage from Exile,
US,US16,Survivor: Micronesia,16.0,3.0,Hidden immunity idol,Found on Exile,Found around camp,
US,US17,Survivor: Gabon,17.0,1.0,Hidden immunity idol,Found on Exile,Advantage from Exile,Valid until F6
US,US17,Survivor: Gabon,17.0,2.0,Hidden immunity idol,Found at reward,Found at reward,Valid until F6
US,US18,Survivor: Tocantins,18.0,1.0,Hidden immunity idol,Found on Exile,Found around camp,Valid until F6
US,US18,Survivor: Tocantins,18.0,2.0,Hidden immunity idol,Found on Exile,Found around camp,Valid until F6
US,US19,Survivor: Samoa,19.0,1.0,Hidden immunity idol,Found without clue,Found around camp,Valid until F6
US,US19,Survivor: Samoa,19.0,2.0,Hidden immunity idol,Found without clue,Found around camp,Valid until F6
US,US19,Survivor: Samoa,19.0,3.0,Hidden immunity idol,Found without clue,Found around camp,Valid until F6
US,US19,Survivor: Samoa,19.0,4.0,Hidden immunity idol,Found at reward,Found around camp,Valid until F6
US,US20,Survivor: Heroes vs. Villains,20.0,1.0,Hidden immunity idol,Found at reward,Found around camp,Valid until F6
US,US20,Survivor: Heroes vs. Villains,20.0,2.0,Hidden immunity idol,Found at reward,Found around camp,Valid until F6
US,US20,Survivor: Heroes vs. Villains,20.0,3.0,Hidden immunity idol,Found at reward,Found around camp,Valid until F6
US,US20,Survivor: Heroes vs. Villains,20.0,4.0,Hidden immunity idol,Found at reward,Found around camp,Valid until F6
US,US20,Survivor: Heroes vs. Villains,20.0,5.0,Hidden immunity idol,Someone shared the clue,Found around camp,Valid until F6
US,US20,Survivor: Heroes vs. Villains,20.0,6.0,Hidden immunity idol,Found at reward,Found around camp,Valid until F6
US,US21,Survivor: Nicaragua,21.0,1.0,Hidden immunity idol,Someone shared the clue,Found around camp,Valid until F6
US,US21,Survivor: Nicaragua,21.0,2.0,Hidden immunity idol,Found at reward,Found around camp,Valid until F6
US,US22,Survivor: Redemption Island,22.0,1.0,Hidden immunity idol,Found without clue,Found around camp,
US,US22,Survivor: Redemption Island,22.0,2.0,Hidden immunity idol,Found without clue,Found around camp,
US,US22,Survivor: Redemption Island,22.0,3.0,Hidden immunity idol,Found at reward,Found around camp,
US,US23,Survivor: South Pacific,23.0,1.0,Hidden immunity idol,Found without clue,Found around camp,
US,US23,Survivor: South Pacific,23.0,2.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US24,Survivor: One World,24.0,1.0,Hidden immunity idol,Found without clue,Found around camp,Idol was tribe-specific
US,US24,Survivor: One World,24.0,2.0,Hidden immunity idol,Found without clue,Found around camp,
US,US24,Survivor: One World,24.0,3.0,Hidden immunity idol,Found at reward,Found around camp,
US,US25,Survivor: Philippines,25.0,1.0,Hidden immunity idol,Found around camp,Found around camp,
US,US25,Survivor: Philippines,25.0,2.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US25,Survivor: Philippines,25.0,3.0,Hidden immunity idol,Found without clue,Found around camp,
US,US26,Survivor: Caramoan,26.0,1.0,Hidden immunity idol,Found without clue,Found around camp,
US,US26,Survivor: Caramoan,26.0,2.0,Hidden immunity idol,Found without clue,Found around camp,
US,US26,Survivor: Caramoan,26.0,3.0,Hidden immunity idol,Found without clue,Found around camp,
US,US26,Survivor: Caramoan,26.0,4.0,Hidden immunity idol,Found without clue,Found around camp,
US,US26,Survivor: Caramoan,26.0,5.0,Hidden immunity idol,Found at reward,Found around camp,
US,US27,Survivor: Blood vs. Water,27.0,1.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US27,Survivor: Blood vs. Water,27.0,2.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US28,Survivor: Cagayan,28.0,1.0,Hidden immunity idol,Got clue from a morale dilemma,Found around camp,
US,US28,Survivor: Cagayan,28.0,2.0,Hidden immunity idol,Found at reward,Found around camp,
US,US28,Survivor: Cagayan,28.0,3.0,Hidden immunity idol,Found without clue,Found around camp,
US,US28,Survivor: Cagayan,28.0,4.0,Hidden immunity idol,Found at reward,Found around camp,
US,US28,Survivor: Cagayan,28.0,5.0,Super idol,Found without clue,Found around camp,Play after votes are read; Valid until F5
US,US28,Survivor: Cagayan,28.0,6.0,Hidden immunity idol,Got clue at auction,Found around camp,
US,US29,Survivor: San Juan del Sur,29.0,1.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US29,Survivor: San Juan del Sur,29.0,2.0,Hidden immunity idol,Found on Exile,Found around camp,
US,US29,Survivor: San Juan del Sur,29.0,3.0,Hidden immunity idol,Found on Exile,Advantage from Exile,
US,US29,Survivor: San Juan del Sur,29.0,4.0,Hidden immunity idol,Someone shared the clue,Found around camp,
US,US29,Survivor: San Juan del Sur,29.0,5.0,Hidden immunity idol,Found on Exile,Found around camp,
US,US30,Survivor: Worlds Apart,30.0,1.0,Hidden immunity idol,Found without clue,Found around camp,
US,US30,Survivor: Worlds Apart,30.0,2.0,Hidden immunity idol,Found without clue,Found around camp,
US,US30,Survivor: Worlds Apart,30.0,3.0,Hidden immunity idol,Found in challenge,Found around camp,
US,US30,Survivor: Worlds Apart,30.0,4.0,Extra vote,No clue existed,Bought at Survivor Auction,Valid until F5
US,US31,Survivor: Cambodia,31.0,1.0,Hidden immunity idol,Found around camp,Found in challenge,
US,US31,Survivor: Cambodia,31.0,2.0,Hidden immunity idol,Found around camp,Found in challenge,
US,US31,Survivor: Cambodia,31.0,3.0,Hidden immunity idol,Found around camp,Found around camp,
US,US31,Survivor: Cambodia,31.0,4.0,Steal a vote,No clue existed,Won at challenge,Non-transferrable
US,US31,Survivor: Cambodia,31.0,5.0,Hidden immunity idol,Found in challenge,Found around camp,
US,US32,Survivor: Kaoh Rong,32.0,1.0,Hidden immunity idol,Found around camp,Found around camp,"Part of a Super Idol that when combined with another, could be used after votes are read; Valid until F5"
US,US32,Survivor: Kaoh Rong,32.0,2.0,Hidden immunity idol,Found around camp,Found around camp,"Part of a Super Idol that when combined with another, could be used after votes are read; Valid until F5"
US,US32,Survivor: Kaoh Rong,32.0,3.0,Hidden immunity idol,Found without clue,Found around camp,
US,US32,Survivor: Kaoh Rong,32.0,4.0,Extra vote,No clue existed,Won at challenge,Valid until F5
US,US33,Survivor: Millennials vs. Gen X,33.0,1.0,Hidden immunity idol,Found without clue,Found in challenge,Could only be played Day 36 or after
US,US33,Survivor: Millennials vs. Gen X,33.0,2.0,Hidden immunity idol,Found without clue,Found around camp,
US,US33,Survivor: Millennials vs. Gen X,33.0,3.0,Hidden immunity idol,Found around camp,Found around camp,
US,US33,Survivor: Millennials vs. Gen X,33.0,4.0,Hidden immunity idol,Found without clue,Found around camp,
US,US33,Survivor: Millennials vs. Gen X,33.0,5.0,Hidden immunity idol,Found without clue,Found around camp,
US,US33,Survivor: Millennials vs. Gen X,33.0,6.0,Reward stealer,No clue existed,Found around camp,Seemingly no conditions
US,US33,Survivor: Millennials vs. Gen X,33.0,7.0,Hidden immunity idol,Found without clue,Found around camp,
US,US34,Survivor: Game Changers,34.0,1.0,Hidden immunity idol,No clue existed,Found in challenge,Legacy advantage; could only be used when there were 13 or 6 people left in game.
US,US34,Survivor: Game Changers,34.0,2.0,Hidden immunity idol,Found around camp,Found in challenge,
US,US34,Survivor: Game Changers,34.0,3.0,Hidden immunity idol,Found without clue,Found around camp,
