version,version_season,season_name,season,castaway,finalist,vote,castaway_id,finalist_id
US,US01,Survivor: Borneo,1.0,Colleen,Kelly,1.0,US0011,US0015
US,US01,Survivor: Borneo,1.0,Gervase,Kelly,1.0,US0010,US0015
US,US01,Survivor: Borneo,1.0,Greg,Kelly,0.0,US0008,US0015
US,US01,Survivor: Borneo,1.0,Jenna,Kelly,1.0,US0009,US0015
US,US01,Survivor: Borneo,1.0,Rudy,Kelly,0.0,US0014,US0015
US,US01,Survivor: Borneo,1.0,Sean,Kelly,0.0,US0012,US0015
US,US01,Survivor: Borneo,1.0,Sue,Kelly,0.0,US0013,US0015
US,US01,Survivor: Borneo,1.0,Colleen,Richard,0.0,US0011,US0016
US,US01,Survivor: Borneo,1.0,Gervase,Richard,0.0,US0010,US0016
US,US01,Survivor: Borneo,1.0,Greg,Richard,1.0,US0008,US0016
US,US01,Survivor: Borneo,1.0,Jenna,Richard,0.0,US0009,US0016
US,US01,Survivor: Borneo,1.0,Rudy,Richard,1.0,US0014,US0016
US,US01,Survivor: Borneo,1.0,Sean,Richard,1.0,US0012,US0016
US,US01,Survivor: Borneo,1.0,Sue,Richard,1.0,US0013,US0016
US,US02,Survivor: The Australian Outback,2.0,Alicia,Colby,0.0,US0024,US0031
US,US02,Survivor: The Australian Outback,2.0,Amber,Colby,1.0,US0027,US0031
US,US02,Survivor: The Australian Outback,2.0,Elisabeth,Colby,0.0,US0029,US0031
US,US02,Survivor: The Australian Outback,2.0,Jerri,Colby,0.0,US0025,US0031
US,US02,Survivor: The Australian Outback,2.0,Keith,Colby,0.0,US0030,US0031
US,US02,Survivor: The Australian Outback,2.0,Nick,Colby,1.0,US0026,US0031
US,US02,Survivor: The Australian Outback,2.0,Rodger,Colby,1.0,US0028,US0031
US,US02,Survivor: The Australian Outback,2.0,Alicia,Tina,1.0,US0024,US0032
US,US02,Survivor: The Australian Outback,2.0,Amber,Tina,0.0,US0027,US0032
US,US02,Survivor: The Australian Outback,2.0,Elisabeth,Tina,1.0,US0029,US0032
US,US02,Survivor: The Australian Outback,2.0,Jerri,Tina,1.0,US0025,US0032
US,US02,Survivor: The Australian Outback,2.0,Keith,Tina,1.0,US0030,US0032
US,US02,Survivor: The Australian Outback,2.0,Nick,Tina,0.0,US0026,US0032
US,US02,Survivor: The Australian Outback,2.0,Rodger,Tina,0.0,US0028,US0032
US,US03,Survivor: Africa,3.0,Brandon,Ethan,0.0,US0041,US0048
US,US03,Survivor: Africa,3.0,Frank,Ethan,1.0,US0042,US0048
US,US03,Survivor: Africa,3.0,Kelly,Ethan,1.0,US0040,US0048
US,US03,Survivor: Africa,3.0,Kim P.,Ethan,0.0,US0043,US0048
US,US03,Survivor: Africa,3.0,Lex,Ethan,1.0,US0046,US0048
US,US03,Survivor: Africa,3.0,Teresa,Ethan,1.0,US0044,US0048
US,US03,Survivor: Africa,3.0,Tom,Ethan,1.0,US0045,US0048
US,US03,Survivor: Africa,3.0,Brandon,Kim J.,1.0,US0041,US0047
