month,year,index,date
November,1952,86.2,1952-11-01
February,1953,90.7,1953-02-01
August,1953,80.8,1953-08-01
November,1953,80.7,1953-11-01
February,1954,82.0,1954-02-01
May,1954,82.9,1954-05-01
November,1954,87.0,1954-11-01
February,1955,95.9,1955-02-01
May,1955,99.1,1955-05-01
November,1955,99.7,1955-11-01
May,1956,98.2,1956-05-01
August,1956,99.9,1956-08-01
November,1956,100.2,1956-11-01
May,1957,92.9,1957-05-01
November,1957,83.7,1957-11-01
February,1958,78.5,1958-02-01
May,1958,80.9,1958-05-01
November,1958,90.8,1958-11-01
May,1959,95.3,1959-05-01
November,1959,93.8,1959-11-01
February,1960,100.0,1960-02-01
May,1960,93.3,1960-05-01
August,1960,97.2,1960-08-01
November,1960,90.1,1960-11-01
February,1961,91.6,1961-02-01
May,1961,92.5,1961-05-01
August,1961,99.2,1961-08-01
November,1961,93.0,1961-11-01
February,1962,99.9,1962-02-01
May,1962,95.4,1962-05-01
August,1962,91.6,1962-08-01
November,1962,95.0,1962-11-01
February,1963,98.4,1963-02-01
May,1963,91.7,1963-05-01
August,1963,96.4,1963-08-01
November,1963,94.4,1963-11-01
February,1964,99.5,1964-02-01
May,1964,98.5,1964-05-01
August,1964,100.6,1964-08-01
November,1964,99.9,1964-11-01
February,1965,102.0,1965-02-01
May,1965,105.4,1965-05-01
August,1965,103.4,1965-08-01
November,1965,102.9,1965-11-01
February,1966,100.0,1966-02-01
May,1966,95.7,1966-05-01
August,1966,91.2,1966-08-01
November,1966,88.3,1966-11-01
February,1967,94.1,1967-02-01
May,1967,95.9,1967-05-01
August,1967,97.0,1967-08-01
November,1967,92.9,1967-11-01
February,1968,97.2,1968-02-01
May,1968,92.4,1968-05-01
August,1968,92.4,1968-08-01
November,1968,91.7,1968-11-01
February,1969,98.2,1969-02-01
May,1969,91.5,1969-05-01
August,1969,86.4,1969-08-01
November,1969,79.7,1969-11-01
February,1970,78.1,1970-02-01
May,1970,75.4,1970-05-01
August,1970,77.6,1970-08-01
