date,value,indicator
2022-05-01,5.3,University of Michigan: inflation expectation
2022-04-01,5.4,University of Michigan: inflation expectation
2022-03-01,5.4,University of Michigan: inflation expectation
2022-02-01,4.9,University of Michigan: inflation expectation
2022-01-01,4.9,University of Michigan: inflation expectation
2021-12-01,4.8,University of Michigan: inflation expectation
2021-11-01,4.9,University of Michigan: inflation expectation
2021-10-01,4.8,University of Michigan: inflation expectation
2021-09-01,4.6,University of Michigan: inflation expectation
2021-08-01,4.6,University of Michigan: inflation expectation
2021-07-01,4.7,University of Michigan: inflation expectation
2021-06-01,4.2,University of Michigan: inflation expectation
2021-05-01,4.6,University of Michigan: inflation expectation
