date,value,indicator,value_change
2022-06-01,151980000,"all employees, total nonfarm",372000.0
2022-05-01,151608000,"all employees, total nonfarm",384000.0
2022-04-01,151224000,"all employees, total nonfarm",368000.0
2022-03-01,150856000,"all employees, total nonfarm",398000.0
2022-02-01,150458000,"all employees, total nonfarm",714000.0
2022-01-01,149744000,"all employees, total nonfarm",504000.0
2021-12-01,149240000,"all employees, total nonfarm",588000.0
2021-11-01,148652000,"all employees, total nonfarm",647000.0
2021-10-01,148005000,"all employees, total nonfarm",677000.0
2021-09-01,147328000,"all employees, total nonfarm",424000.0
2021-08-01,146904000,"all employees, total nonfarm",517000.0
2021-07-01,146387000,"all employees, total nonfarm",689000.0
2021-06-01,145698000,"all employees, total nonfarm",557000.0
2021-05-01,145141000,"all employees, total nonfarm",447000.0
2021-04-01,144694000,"all employees, total nonfarm",263000.0
2021-03-01,144431000,"all employees, total nonfarm",704000.0
2021-02-01,143727000,"all employees, total nonfarm",710000.0
2021-01-01,143017000,"all employees, total nonfarm",520000.0
2020-12-01,142497000,"all employees, total nonfarm",-115000.0
2020-11-01,142612000,"all employees, total nonfarm",333000.0
2020-10-01,142279000,"all employees, total nonfarm",647000.0
2020-09-01,141632000,"all employees, total nonfarm",919000.0
2020-08-01,140713000,"all employees, total nonfarm",1665000.0
2020-07-01,139048000,"all employees, total nonfarm",1388000.0
2020-06-01,137660000,"all employees, total nonfarm",4505000.0
