location,type,appt_wait,no_appt_wait,captured
long-beach,field-office,0.0,6.0,2024-09-30 08:00:00
los-angeles,field-office,0.0,7.0,2024-09-30 08:00:00
los-angeles-metro-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
lincoln-park,field-office,0.0,4.0,2024-09-30 08:00:00
west-hollywood,field-office,0.0,1.0,2024-09-30 08:00:00
hollywood,field-office,0.0,0.0,2024-09-30 08:00:00
glendale,field-office,0.0,10.0,2024-09-30 08:00:00
montebello,field-office,0.0,5.0,2024-09-30 08:00:00
bell-gardens,field-office,0.0,17.0,2024-09-30 08:00:00
inglewood,field-office,0.0,1.0,2024-09-30 08:00:00
pasadena,field-office,0.0,6.0,2024-09-30 08:00:00
culver-city,field-office,0.0,0.0,2024-09-30 08:00:00
el-monte,field-office,0.0,16.0,2024-09-30 08:00:00
santa-monica,field-office,0.0,0.0,2024-09-30 08:00:00
hawthorne,field-office,0.0,6.0,2024-09-30 08:00:00
gardena-commercial-drive-test-center,field-office,0.0,0.0,2024-09-30 08:00:00
whittier,field-office,0.0,11.0,2024-09-30 08:00:00
bellflower,field-office,5.0,3.0,2024-09-30 08:00:00
compton,field-office,0.0,2.0,2024-09-30 08:00:00
torrance,field-office,0.0,5.0,2024-09-30 08:00:00
san-pedro,field-office,0.0,0.0,2024-09-30 08:00:00
winnetka,field-office,0.0,14.0,2024-09-30 08:00:00
winnetka-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
thousand-oaks,field-office,0.0,9.0,2024-09-30 08:00:00
simi-valley,field-office,0.0,0.0,2024-09-30 08:00:00
van-nuys,field-office,0.0,4.0,2024-09-30 08:00:00
arleta,field-office,0.0,14.0,2024-09-30 08:00:00
west-covina,field-office,0.0,12.0,2024-09-30 08:00:00
fullerton,field-office,0.0,4.0,2024-09-30 08:00:00
placentia-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
westminster,field-office,13.0,13.0,2024-09-30 08:00:00
santa-ana,field-office,7.0,15.0,2024-09-30 08:00:00
costa-mesa,field-office,0.0,7.0,2024-09-30 08:00:00
san-marcos,field-office,0.0,7.0,2024-09-30 08:00:00
san-marcos-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
newhall,field-office,2.0,23.0,2024-09-30 08:00:00
oxnard,field-office,0.0,2.0,2024-09-30 08:00:00
santa-clara,field-office,0.0,0.0,2024-09-30 08:00:00
rancho-cucamonga,field-office,8.0,6.0,2024-09-30 08:00:00
pomona,field-office,11.0,12.0,2024-09-30 08:00:00
norco,field-office,1.0,6.0,2024-09-30 08:00:00
fontana-commercial-drive-test-center,field-office,0.0,5.0,2024-09-30 08:00:00
king-city,field-office,0.0,8.0,2024-09-30 08:00:00
daly-city,field-office,4.0,10.0,2024-09-30 08:00:00
redwood-city,field-office,0.0,8.0,2024-09-30 08:00:00
yuba-city,field-office,0.0,4.0,2024-09-30 08:00:00
crescent-city,field-office,0.0,0.0,2024-09-30 08:00:00
fontana,field-office,1.0,2.0,2024-09-30 08:00:00
rancho-san-diego-industry-business-center,field-office,0.0,0.0,2024-09-30 08:00:00
rancho-san-diego-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
chula-vista,field-office,1.0,0.0,2024-09-30 08:00:00
san-ysidro,field-office,0.0,5.0,2024-09-30 08:00:00
san-diego,field-office,0.0,4.0,2024-09-30 08:00:00
el-cajon,field-office,0.0,2.0,2024-09-30 08:00:00
el-centro,field-office,0.0,7.0,2024-09-30 08:00:00
oceanside,field-office,0.0,0.0,2024-09-30 08:00:00
temecula,field-office,0.0,5.0,2024-09-30 08:00:00
brawley,field-office,0.0,2.0,2024-09-30 08:00:00
indio,field-office,0.0,5.0,2024-09-30 08:00:00
poway,field-office,3.0,8.0,2024-09-30 08:00:00
murrieta-express,field-office,0.0,0.0,2024-09-30 08:00:00
laguna-hills,field-office,5.0,5.0,2024-09-30 08:00:00
san-clemente,field-office,2.0,1.0,2024-09-30 08:00:00
san-luis-obispo,field-office,0.0,13.0,2024-09-30 08:00:00
san-diego-clairemont,field-office,0.0,5.0,2024-09-30 08:00:00
palm-desert,field-office,0.0,2.0,2024-09-30 08:00:00
blythe,field-office,,,2024-09-30 08:00:00
palm-springs,field-office,0.0,5.0,2024-09-30 08:00:00
twentynine-palms,field-office,0.0,0.0,2024-09-30 08:00:00
needles,field-office,0.0,0.0,2024-09-30 08:00:00
victorville,field-office,3.0,2.0,2024-09-30 08:00:00
barstow,field-office,0.0,3.0,2024-09-30 08:00:00
san-bernardino-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
riverside,field-office,0.0,7.0,2024-09-30 08:00:00
san-bernardino,field-office,0.0,17.0,2024-09-30 08:00:00
riverside-east,field-office,0.0,11.0,2024-09-30 08:00:00
redlands,field-office,0.0,13.0,2024-09-30 08:00:00
ridgecrest,field-office,0.0,0.0,2024-09-30 08:00:00
hemet,field-office,0.0,9.0,2024-09-30 08:00:00
ventura,field-office,4.0,11.0,2024-09-30 08:00:00
santa-barbara,field-office,0.0,5.0,2024-09-30 08:00:00
santa-paula,field-office,0.0,9.0,2024-09-30 08:00:00
goleta,field-office,0.0,4.0,2024-09-30 08:00:00
delano,field-office,0.0,6.0,2024-09-30 08:00:00
hanford,field-office,0.0,12.0,2024-09-30 08:00:00
arvin,field-office,0.0,5.0,2024-09-30 08:00:00
lake-isabella,field-office,,,2024-09-30 08:00:00
shafter,field-office,0.0,5.0,2024-09-30 08:00:00
taft,field-office,,,2024-09-30 08:00:00
porterville,field-office,0.0,3.0,2024-09-30 08:00:00
coalinga,field-office,,,2024-09-30 08:00:00
bakersfield,field-office,0.0,2.0,2024-09-30 08:00:00
bakersfield-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
bakersfield-southwest,field-office,0.0,6.0,2024-09-30 08:00:00
visalia,field-office,0.0,7.0,2024-09-30 08:00:00
tulare,field-office,0.0,0.0,2024-09-30 08:00:00
reedley,field-office,0.0,0.0,2024-09-30 08:00:00
paso-robles,field-office,0.0,11.0,2024-09-30 08:00:00
lompoc,field-office,0.0,0.0,2024-09-30 08:00:00
santa-maria,field-office,0.0,7.0,2024-09-30 08:00:00
bishop,field-office,0.0,0.0,2024-09-30 08:00:00
lancaster,field-office,0.0,10.0,2024-09-30 08:00:00
mariposa,field-office,,,2024-09-30 08:00:00
clovis,field-office,0.0,1.0,2024-09-30 08:00:00
madera,field-office,0.0,2.0,2024-09-30 08:00:00
fresno,field-office,0.0,5.0,2024-09-30 08:00:00
fresno-north,field-office,0.0,3.0,2024-09-30 08:00:00
fresno-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
mendota,field-office,,,2024-09-30 08:00:00
fresno-commercial-drive-test-center,field-office,0.0,7.0,2024-09-30 08:00:00
merced,field-office,7.0,9.0,2024-09-30 08:00:00
los-banos,field-office,0.0,2.0,2024-09-30 08:00:00
salinas-commercial-drive-test-center,field-office,0.0,0.0,2024-09-30 08:00:00
salinas,field-office,0.0,6.0,2024-09-30 08:00:00
watsonville,field-office,0.0,3.0,2024-09-30 08:00:00
seaside,field-office,0.0,5.0,2024-09-30 08:00:00
hollister,field-office,,,2024-09-30 08:00:00
san-mateo,field-office,0.0,7.0,2024-09-30 08:00:00
san-francisco,field-office,10.0,11.0,2024-09-30 08:00:00
oakland-coliseum,field-office,0.0,8.0,2024-09-30 08:00:00
mountain-view-industry-business-center,field-office,0.0,0.0,2024-09-30 08:00:00
mountain-view-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
los-gatos,field-office,0.0,5.0,2024-09-30 08:00:00
san-jose,field-office,6.0,8.0,2024-09-30 08:00:00
capitola,field-office,9.0,4.0,2024-09-30 08:00:00
fremont,field-office,2.0,10.0,2024-09-30 08:00:00
west-sacramento-commercial-drive-test-center,field-office,0.0,0.0,2024-09-30 08:00:00
sacramento,field-office,4.0,16.0,2024-09-30 08:00:00
sacramento-florin-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
sacramento-south,field-office,0.0,7.0,2024-09-30 08:00:00
carmichael,field-office,9.0,6.0,2024-09-30 08:00:00
oakland,field-office,11.0,6.0,2024-09-30 08:00:00
el-cerrito,field-office,12.0,9.0,2024-09-30 08:00:00
hayward,field-office,0.0,14.0,2024-09-30 08:00:00
vallejo,field-office,8.0,14.0,2024-09-30 08:00:00
napa,field-office,0.0,9.0,2024-09-30 08:00:00
fairfield-ibc,field-office,0.0,0.0,2024-09-30 08:00:00
fairfield,field-office,0.0,1.0,2024-09-30 08:00:00
tracy,field-office,0.0,26.0,2024-09-30 08:00:00
stockton,field-office,0.0,0.0,2024-09-30 08:00:00
pleasanton-stoneridge,field-office,1.0,0.0,2024-09-30 08:00:00
pleasanton,field-office,0.0,7.0,2024-09-30 08:00:00
pittsburg,field-office,0.0,15.0,2024-09-30 08:00:00
concord,field-office,3.0,15.0,2024-09-30 08:00:00
santa-rosa,field-office,0.0,3.0,2024-09-30 08:00:00
petaluma,field-office,0.0,5.0,2024-09-30 08:00:00
vacaville,field-office,0.0,3.0,2024-09-30 08:00:00
santa-teresa,field-office,0.0,5.0,2024-09-30 08:00:00
clearlake,field-office,0.0,0.0,2024-09-30 08:00:00
