name,case_rate_per_100k_mid-november,case_rate_per_100k_mid-january,pct_change,rank_lower_is_better,rsa,est_pop,est_latino,est_anglo,est_black,est_asian,est_total_single_units,est_total_seven_more_units,est_total_housing_units,median_house_income,est_latino_pct,est_anglo_pct,est_black_pct,est_asian_pct,est_total_seven_more_units_pct,est_total_single_units_pct
West Hollywood,211.09,308.52,46.16,1.0,Central L.A.,34561.0,3628.0,26917.0,1122.0,1884.0,13477.0,14.0,22602.0,68987.0,10.5,77.88,3.25,5.45,0.06,59.63
Agua Dulce,240.5,408.85,70.0,2.0,Northwest County,8862.0,2059.0,5946.0,195.0,443.0,401.0,64.0,2922.0,88335.0,23.23,67.1,2.2,5.0,2.19,13.72
Malibu,100.3,208.32,107.7,3.0,Santa Monica Mountains,9491.0,621.0,8190.0,136.0,280.0,965.0,30.0,3674.0,125011.0,6.54,86.29,1.43,2.95,0.82,26.27
Del Aire,91.05,227.63,150.01,4.0,South Bay,4928.0,2472.0,1305.0,518.0,420.0,426.0,61.0,1707.0,71941.0,50.16,26.48,10.51,8.52,3.57,24.96
East Pasadena,46.85,124.94,166.68,5.0,San Gabriel Valley,8959.0,2401.0,4023.0,336.0,1948.0,643.0,84.0,3151.0,96955.0,26.8,44.9,3.75,21.74,2.67,20.41
Encino,172.67,464.89,169.24,6.0,San Fernando Valley,43455.0,4050.0,33803.0,1334.0,2458.0,5429.0,87.0,18464.0,102971.0,9.32,77.79,3.07,5.66,0.47,29.4
Hollywood Hills,139.29,397.5,185.38,7.0,Central L.A.,27793.0,2636.0,21170.0,1241.0,1759.0,7288.0,23.0,15325.0,78345.0,9.48,76.17,4.47,6.33,0.15,47.56
Rancho Park,106.71,304.88,185.71,8.0,Westside,6684.0,903.0,3802.0,194.0,1460.0,810.0,13.0,2777.0,78027.0,13.51,56.88,2.9,21.84,0.47,29.17
Venice,103.29,309.87,200.0,10.0,Westside,32441.0,6046.0,21610.0,1706.0,1843.0,7372.0,116.0,16456.0,78406.0,18.64,66.61,5.26,5.68,0.7,44.8
Brentwood,125.99,377.97,200.0,10.0,Westside,29276.0,1664.0,23527.0,435.0,2560.0,5586.0,25.0,14127.0,122242.0,5.68,80.36,1.49,8.74,0.18,39.54
Santa Monica,128.72,390.5,203.37,11.0,Westside,89687.0,11699.0,62899.0,3522.0,8046.0,22701.0,147.0,46890.0,80359.0,13.04,70.13,3.93,8.97,0.31,48.41
Sierra Madre,81.9,254.8,211.11,12.0,San Gabriel Valley,10920.0,1628.0,7888.0,201.0,841.0,1595.0,32.0,4837.0,109401.0,14.91,72.23,1.84,7.7,0.66,32.97
Tarzana,242.91,796.74,228.0,13.0,San Fernando Valley,28146.0,4167.0,19574.0,1265.0,1844.0,3210.0,109.0,11214.0,84258.0,14.8,69.54,4.49,6.55,0.97,28.62
Del Rey,136.96,454.3,231.7,14.0,Westside,630.0,79.0,308.0,70.0,142.0,142.0,1.0,336.0,71179.0,12.54,48.89,11.11,22.54,0.3,42.26
Los Feliz,106.44,360.98,239.14,15.0,Central L.A.,20608.0,2545.0,14202.0,603.0,2595.0,5017.0,47.0,10830.0,67738.0,12.35,68.91,2.93,12.59,0.43,46.33
Rolling Hills Estates,61.63,209.54,240.0,16.0,South Bay,9693.0,696.0,6060.0,145.0,2407.0,712.0,25.0,3633.0,118331.0,7.18,62.52,1.5,24.83,0.69,19.6
Downtown,269.02,941.58,250.0,17.0,Central L.A.,24348.0,6834.0,7113.0,3323.0,6319.0,9472.0,52.0,14587.0,28749.0,28.07,29.21,13.65,25.95,0.36,64.93
San Gabriel,217.32,764.27,251.68,18.0,San Gabriel Valley,40759.0,10656.0,4679.0,405.0,24500.0,2147.0,584.0,12844.0,71941.0,26.14,11.48,0.99,60.11,4.55,16.72
Hermosa Beach,106.76,376.21,252.39,19.0,South Bay,19486.0,1630.0,15763.0,229.0,1111.0,3639.0,15.0,9538.0,106648.0,8.36,80.89,1.18,5.7,0.16,38.15
Claremont,131.56,468.7,256.26,20.0,Pomona Valley,42188.0,8293.0,24750.0,2029.0,5649.0,3379.0,171.0,14092.0,93494.0,19.66,58.67,4.81,13.39,1.21,23.98
North Whittier,334.93,1196.17,257.14,21.0,San Gabriel Valley,5712.0,4451.0,616.0,72.0,539.0,176.0,123.0,1570.0,66729.0,77.92,10.78,1.26,9.44,7.83,11.21
Hollywood,175.81,638.79,263.34,22.0,Central L.A.,62261.0,18555.0,34014.0,3492.0,4518.0,16154.0,173.0,32162.0,54122.0,29.8,54.63,5.61,7.26,0.54,50.23
Toluca Lake,103.4,379.14,266.67,23.0,San Fernando Valley,7988.0,1109.0,5599.0,476.0,548.0,1789.0,12.0,4201.0,67600.0,13.88,70.09,5.96,6.86,0.29,42.59
University Park,214.89,790.36,267.8,24.0,South L.A.,24334.0,11263.0,5761.0,1758.0,4952.0,2153.0,362.0,6840.0,20732.0,46.29,23.67,7.22,20.35,5.29,31.48
Azusa,267.79,987.21,268.65,25.0,San Gabriel Valley,29999.0,21739.0,4532.0,911.0,2511.0,1009.0,991.0,7472.0,62923.0,72.47,15.11,3.04,8.37,13.26,13.5
Playa Vista,118.75,438.48,269.25,26.0,Westside,8895.0,1647.0,4020.0,814.0,1998.0,1779.0,27.0,4462.0,92920.0,18.52,45.19,9.15,22.46,0.61,39.87
Pomona,287.31,1067.14,271.42,27.0,Pomona Valley,3420.0,993.0,1374.0,246.0,621.0,87.0,13.0,274.0,62112.0,29.04,40.18,7.19,18.16,4.74,31.75
Chinatown,149.61,573.49,283.32,28.0,Central L.A.,7674.0,1184.0,445.0,261.0,5693.0,1140.0,55.0,3162.0,33123.0,15.43,5.8,3.4,74.19,1.74,36.05
Westchester,85.27,331.38,288.62,29.0,South Bay,48110.0,7991.0,25780.0,6496.0,5600.0,6748.0,109.0,20006.0,78483.0,16.61,53.59,13.5,11.64,0.54,33.73
Redondo Beach,81.52,318.79,291.06,30.0,South Bay,66497.0,10163.0,43294.0,1850.0,7980.0,9141.0,158.0,28829.0,91210.0,15.28,65.11,2.78,12.0,0.55,31.71
Santa Clarita,181.92,713.17,292.02,31.0,Northwest County,196572.0,58424.0,105794.0,7511.0,19217.0,12383.0,1847.0,65533.0,86748.0,29.72,53.82,3.82,9.78,2.82,18.9
Carthay,104.44,410.78,293.32,32.0,Central L.A.,13146.0,931.0,10335.0,423.0,1011.0,4041.0,3.0,7526.0,69904.0,7.08,78.62,3.22,7.69,0.04,53.69
La Verne,168.26,670.03,298.21,33.0,Pomona Valley,8349.0,2023.0,4884.0,317.0,944.0,496.0,42.0,2910.0,87940.0,24.23,58.5,3.8,11.31,1.44,17.04
Westlake Village,11.96,47.85,300.08,34.0,Santa Monica Mountains,6704.0,483.0,5537.0,98.0,395.0,604.0,16.0,2646.0,124822.0,7.2,82.59,1.46,5.89,0.6,22.83
Lancaster,256.85,1029.89,300.97,35.0,Antelope Valley,153534.0,58140.0,53411.0,31142.0,6380.0,9664.0,2290.0,46813.0,55998.0,37.87,34.79,20.28,4.16,4.89,20.64
Commerce,321.37,1293.14,302.38,36.0,Southeast,12968.0,12154.0,423.0,185.0,142.0,518.0,350.0,3324.0,41420.0,93.72,3.26,1.43,1.1,10.53,15.58
South Pasadena,95.96,387.67,303.99,37.0,San Gabriel Valley,25549.0,4759.0,11139.0,768.0,7958.0,3062.0,67.0,10436.0,82779.0,18.63,43.6,3.01,31.15,0.64,29.34
Century City,93.81,383.05,308.33,38.0,Westside,11872.0,648.0,9070.0,233.0,1441.0,2482.0,6.0,6020.0,101115.0,5.46,76.4,1.96,12.14,0.1,41.23
Pacific Palisades,51.67,211.36,309.06,39.0,Westside,20620.0,938.0,17976.0,126.0,989.0,2256.0,30.0,8430.0,150673.0,4.55,87.18,0.61,4.8,0.36,26.76
Manhattan Beach,55.56,227.78,309.97,40.0,South Bay,34856.0,2425.0,27634.0,289.0,3010.0,3562.0,46.0,13890.0,119721.0,6.96,79.28,0.83,8.64,0.33,25.64
Burbank,146.48,600.86,310.2,41.0,San Fernando Valley,103338.0,25328.0,60244.0,2600.0,12008.0,12824.0,466.0,41939.0,68037.0,24.51,58.3,2.52,11.62,1.11,30.58
Castaic,125.04,514.88,311.77,42.0,Northwest County,28363.0,9301.0,13107.0,2839.0,2395.0,843.0,137.0,6563.0,93575.0,32.79,46.21,10.01,8.44,2.09,12.84
Quartz Hill,193.71,798.08,312.0,43.0,Antelope Valley,10584.0,2604.0,6308.0,942.0,413.0,564.0,100.0,3503.0,80978.0,24.6,59.6,8.9,3.9,2.85,16.1
Diamond Bar,111.28,460.75,314.05,44.0,San Gabriel Valley,45313.0,8621.0,9586.0,1958.0,24225.0,2041.0,312.0,14866.0,86579.0,19.03,21.16,4.32,53.46,2.1,13.73
San Dimas,191.22,793.83,315.14,45.0,San Gabriel Valley,32875.0,10554.0,16993.0,1089.0,3390.0,2521.0,234.0,11732.0,82784.0,32.1,51.69,3.31,10.31,1.99,21.49
Woodland Hills,135.18,564.25,317.41,46.0,San Fernando Valley,59613.0,6360.0,42479.0,2606.0,5543.0,6569.0,179.0,24281.0,96823.0,10.67,71.26,4.37,9.3,0.74,27.05
Whittier,215.02,902.42,319.69,47.0,San Gabriel Valley,98003.0,64081.0,27346.0,1239.0,4447.0,6612.0,1139.0,32079.0,71326.0,65.39,27.9,1.26,4.54,3.55,20.61
