Transaction Date,Order Total,Commission,Merchant,Domain,Status,Code,Title,Locked,Payment Date
2025-08-10,$30.60 ,$4.59 ,Geometry,geometry.house,active,FOREVER15,Geometry Kitchen Tea Towels,yes,10/3/25
2025-09-17,$28.90 ,$4.34 ,Geometry,geometry.house,active,FOREVER15,Geometry Kitchen Tea Towels,yes,11/7/25
2024-11-27,$129.60 ,$11.57 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,2/28/25
2024-10-05,$108.00 ,$9.64 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,1/31/25
2024-11-29,$102.24 ,$9.13 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,2/28/25
2024-11-27,$37.60 ,$3.36 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,2/28/25
2024-12-16,$36.00 ,$3.21 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,3/28/25
2024-10-17,$32.40 ,$2.89 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,1/31/25
2024-10-17,$32.40 ,$2.89 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,1/31/25
2024-11-29,$18.72 ,$1.67 ,Geometry LLC,geometry.house,active,-,Geometry Kitchen Tea Towels,yes,2/28/25
2024-06-11,$53.07 ,$3.62 ,Hero Cosmetics,herocosmetics.us,active,HERO10,HERO COSMETICS | Superlight Sunscreen SPF 30,yes,8/23/24
2025-05-16,$19.99 ,$1.36 ,Hero Cosmetics,herocosmetics.us,active,-,HERO COSMETICS | Superlight Sunscreen SPF 30,yes,8/1/25
2025-05-17,$19.99 ,$1.36 ,Hero Cosmetics,herocosmetics.us,active,-,HERO COSMETICS | Superlight Sunscreen SPF 30,yes,8/1/25
2024-08-08,$24.99 ,$2.13 ,Indeed Laboratories,indeedlabs.com,active,-,nanoblur™,yes,9/20/24
2025-03-31,$28.00 ,$2.80 ,Jones Road,jonesroadbeauty.com,active,-,The Mascara,yes,5/16/25
2025-04-09,$28.00 ,$2.80 ,Jones Road,jonesroadbeauty.com,active,-,The Mascara,yes,6/13/25
2024-12-10,$79.90 ,$15.98 ,Jouer Cosmetics,jouercosmetics.com,active,PLAY15,Skin Barrier Cream,yes,2/7/25
2025-01-02,$59.20 ,$11.84 ,Jouer Cosmetics,jouercosmetics.com,active,MERCI20,Skin Barrier Cream,yes,2/7/25
2024-12-09,$55.25 ,$11.05 ,Jouer Cosmetics,jouercosmetics.com,active,PLAY15,Skin Barrier Cream,yes,2/7/25
2025-01-03,$42.00 ,$8.40 ,Jouer Cosmetics,jouercosmetics.com,active,-,Skin Barrier Cream,yes,2/7/25
2024-12-18,$35.70 ,$7.14 ,Jouer Cosmetics,jouercosmetics.com,active,PLAY15,Skin Barrier Cream,yes,2/7/25
2024-12-09,$26.00 ,$5.20 ,Jouer Cosmetics,jouercosmetics.com,active,-,Skin Barrier Cream,yes,2/7/25
2024-12-16,$26.00 ,$5.20 ,Jouer Cosmetics,jouercosmetics.com,active,-,Skin Barrier Cream,yes,2/7/25
2024-12-14,$22.10 ,$4.42 ,Jouer Cosmetics,jouercosmetics.com,active,PLAY15,Skin Barrier Cream,yes,2/7/25
2025-03-29,$22.10 ,$4.42 ,Jouer Cosmetics,jouercosmetics.com,active,PLAY15,Skin Barrier Cream,yes,5/16/25
2024-01-01,$60.00 ,$3.57 ,Knix,knix.com,active,-,KNIX | The Evolution Bra: The Most Comfortable Wirefree Bra Online,yes,5/3/24
2024-01-28,$288.00 ,$19.58 ,KYPRIS Beauty,kyprisbeauty.com,active,-,Beauty Elixir IIi: Prismatic Array - Gentle Moisturizing Face Oil,yes,3/1/24
2024-12-10,$196.00 ,$24.99 ,LARQ,livelarq.com,active,-,LARQ Bottle PureVis™,yes,3/14/25
2024-07-13,$189.00 ,$19.28 ,lululemon,shop.lululemon.com,active,-,Scuba High-Rise Jogger 7/8 Length,yes,12/6/24
2024-09-06,$128.00 ,$13.06 ,lululemon,shop.lululemon.com,active,-,Lululemon Jogger,yes,12/6/24
2024-09-09,$98.00 ,$10.00 ,lululemon,shop.lululemon.com,active,-,Lululemon Jogger,yes,12/6/24
2024-09-10,$94.32 ,$9.62 ,lululemon,shop.lululemon.com,active,-,Lululemon Jogger,yes,12/6/24
2024-03-19,$42.50 ,$5.10 ,Lunya,lunya.co,active,forever35pod,LUNYA | Washable Silk Sleep Mask,yes,5/3/24
2025-10-29,$72.90 ,$30.98 ,Maelove,maelove.com,active,-,Glow Maker Vitamin C Serum,no,-
2025-06-16,$84.48 ,$17.95 ,Maelove,maelove.com,active,fcwelcome,Glow Maker Vitamin C Serum,yes,10/3/25
2025-05-05,$65.90 ,$14.01 ,Maelove,maelove.com,active,-,Glow Maker Vitamin C Serum,yes,9/5/25
2025-05-14,$65.90 ,$14.01 ,Maelove,maelove.com,active,-,Glow Maker Vitamin C Serum,yes,9/5/25
2025-06-01,$65.90 ,$14.01 ,Maelove,maelove.com,active,-,MAELOVE | The Glow Maker Serum,yes,10/3/25
2025-06-11,$65.90 ,$14.01 ,Maelove,maelove.com,active,-,MAELOVE | The Glow Maker Serum,yes,10/3/25
2025-06-18,$65.62 ,$13.95 ,Maelove,maelove.com,active,tenwelcome,Glow Maker Vitamin C Serum,yes,10/3/25
2025-05-26,$59.32 ,$12.61 ,Maelove,maelove.com,active,tenwelcome,Glow Maker Vitamin C Serum,yes,10/3/25
2025-06-17,$55.90 ,$11.87 ,Maelove,maelove.com,active,-,Glow Maker Vitamin C Serum,yes,10/3/25
2025-05-15,$50.32 ,$10.69 ,Maelove,maelove.com,active,tenwelcome,Glow Maker Vitamin C Serum,yes,9/5/25
2025-05-01,$47.95 ,$10.19 ,Maelove,maelove.com,active,-,MAELOVE | Peptide Squad,yes,9/5/25
2025-04-09,$32.95 ,$7.00 ,Maelove,maelove.com,active,-,Glow Maker Vitamin C Serum,yes,8/1/25
2025-05-14,$32.95 ,$7.00 ,Maelove,maelove.com,active,-,Glow Maker Vitamin C Serum,yes,9/5/25
2025-06-09,$32.95 ,$7.00 ,Maelove,maelove.com,active,-,MAELOVE | Peptide Squad,yes,10/3/25
2025-04-09,$29.66 ,$6.31 ,Maelove,maelove.com,active,tenwelcome,Glow Maker Vitamin C Serum,yes,8/1/25
2025-08-24,$128.00 ,$9.14 ,Marley Monsters,marleysmonsters.com,active,-,UNpaper® Towels: Prints,no,-
2024-08-28,$166.50 ,$28.30 ,Medik8,us.medik8.com,active,-,MEDIK8 | Advanced Night Ceramide,yes,10/4/24
2024-12-31,$161.50 ,$27.45 ,Medik8,us.medik8.com,active,MOBILE15,Liquid Peptides™,yes,3/7/25
2024-10-07,$104.00 ,$15.60 ,Medik8,us.medik8.com,active,F35,MEDIK8 | Advanced Night Ceramide,yes,1/3/25
2024-09-06,$60.80 ,$10.34 ,Medik8,us.medik8.com,active,F35,MEDIK8 | Advanced Night Ceramide,yes,10/21/24
