county,fips,no_percent,leader_2021,fully_vaccinated_percent,population
Alameda,001,82.5,D,69.57,1643700.0
Alpine,003,60.9,D,59.93,1148.0
Amador,005,36.9,R,43.78,37829.0
Butte,007,47.5,R,42.06,227075.0
Calaveras,009,38.3,R,43.63,45235.0
Colusa,011,37.1,R,47.75,21464.0
Contra Costa,013,73.1,D,70.46,1133247.0
Del Norte,015,42.0,R,38.0,27424.0
El Dorado,017,44.9,R,53.54,186661.0
Fresno,019,49.8,R,48.2,978130.0
Glenn,021,30.6,R,44.68,27897.0
Humboldt,023,65.9,D,55.06,135768.0
Imperial,025,61.3,D,64.6,180216.0
Inyo,027,49.2,R,49.39,18085.0
Kern,029,41.9,R,40.86,883053.0
Kings,031,37.2,R,33.57,150075.0
Lake,033,60.1,D,46.03,64148.0
Lassen,035,17.1,R,21.31,31185.0
Los Angeles,037,70.8,D,59.05,10098052.0
Madera,039,41.1,R,42.35,155013.0
Marin,041,84.3,D,75.93,260295.0
Mariposa,043,40.3,R,33.15,17540.0
Mendocino,045,69.6,D,56.51,87422.0
Merced,047,50.1,D,38.28,269075.0
Modoc,049,22.0,R,35.75,8938.0
Mono,051,57.4,D,58.9,14174.0
Monterey,053,70.9,D,58.3,433212.0
Napa,055,70.5,D,65.55,140530.0
Nevada,057,57.7,D,53.8,99092.0
Orange,059,52.6,D,61.16,3164182.0
Placer,061,48.9,R,58.12,380077.0
Plumas,063,37.1,R,48.0,18699.0
Riverside,065,52.4,D,49.33,2383286.0
Sacramento,067,64.0,D,55.78,1510023.0
San Benito,069,59.2,D,59.01,59416.0
San Bernardino,071,52.0,D,46.14,2135413.0
San Diego,073,58.6,D,63.35,3302833.0
San Francisco,075,86.7,D,73.95,870044.0
San Joaquin,077,56.0,D,48.24,732212.0
San Luis Obispo,079,58.5,D,54.91,281455.0
San Mateo,081,79.1,D,71.51,765935.0
Santa Barbara,083,65.0,D,58.03,443738.0
Santa Clara,085,75.9,D,73.58,1922200.0
Santa Cruz,087,80.2,D,62.97,273765.0
Shasta,089,33.7,R,36.6,179085.0
Sierra,091,38.1,R,49.69,2930.0
Siskiyou,093,41.3,R,40.18,43540.0
Solano,095,64.3,D,54.27,438530.0
Sonoma,097,77.9,D,65.55,501317.0
Stanislaus,099,48.3,R,44.01,539301.0
Sutter,101,40.8,R,47.83,95872.0
Tehama,103,26.2,R,34.24,63373.0
Trinity,105,45.7,R,38.43,12862.0
Tulare,107,41.4,R,41.03,460477.0
Tuolumne,109,39.6,R,44.13,53932.0
Ventura,111,59.5,D,60.37,848112.0
Yolo,113,71.4,D,59.45,214977.0
Yuba,115,39.2,R,38.49,75493.0
