year,count
1981,0.0
1982,0.0
1983,0.0
1984,3.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,1.0
1991,1.0
1992,0.0
1993,4.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,6.0
2007,0.0
2008,0.0
2009,7.0
2010,0.0
2011,0.0
2012,0.0
2013,6.0
2014,18.0
2015,13.0
2016,13.0
2017,15.0
2018,0.0
2019,21.0
2020,9.0
2021,5.0
2022,25.0
