separation_year,type,count
1958,debris,0.0
1958,litter,1.0
1958,payload,1.0
1958,rocket stage,1.0
1959,debris,0.0
1959,litter,1.0
1959,payload,4.0
1959,rocket stage,3.0
1960,debris,0.0
1960,litter,6.0
1960,payload,8.0
1960,rocket stage,6.0
1961,debris,190.0
1961,litter,25.0
1961,payload,20.0
1961,rocket stage,12.0
1962,debris,190.0
1962,litter,36.0
1962,payload,35.0
1962,rocket stage,18.0
1963,debris,203.0
1963,litter,94.0
1963,payload,57.0
1963,rocket stage,25.0
1964,debris,203.0
1964,litter,115.0
1964,payload,83.0
1964,rocket stage,38.0
1965,debris,337.0
1965,litter,153.0
1965,payload,134.0
1965,rocket stage,59.0
1966,debris,340.0
1966,litter,186.0
1966,payload,167.0
1966,rocket stage,78.0
1967,debris,342.0
1967,litter,216.0
1967,payload,212.0
1967,rocket stage,100.0
1968,debris,420.0
1968,litter,247.0
1968,payload,243.0
1968,rocket stage,116.0
1969,debris,482.0
1969,litter,269.0
1969,payload,271.0
1969,rocket stage,131.0
1970,debris,810.0
1970,litter,295.0
1970,payload,308.0
1970,rocket stage,154.0
1971,debris,858.0
1971,litter,316.0
1971,payload,358.0
1971,rocket stage,181.0
1972,debris,858.0
1972,litter,340.0
1972,payload,405.0
1972,rocket stage,207.0
1973,debris,1071.0
1973,litter,354.0
1973,payload,450.0
1973,rocket stage,222.0
1974,debris,1072.0
1974,litter,373.0
1974,payload,500.0
1974,rocket stage,245.0
1975,debris,1271.0
1975,litter,400.0
1975,payload,561.0
1975,rocket stage,277.0
1976,debris,1361.0
1976,litter,437.0
1976,payload,632.0
1976,rocket stage,306.0
1977,debris,1723.0
1977,litter,482.0
1977,payload,688.0
1977,rocket stage,343.0
1978,debris,1731.0
1978,litter,527.0
1978,payload,770.0
1978,rocket stage,380.0
1979,debris,1771.0
1979,litter,542.0
1979,payload,816.0
1979,rocket stage,403.0
1980,debris,1812.0
1980,litter,570.0
1980,payload,873.0
1980,rocket stage,428.0
1981,debris,2427.0
1981,litter,614.0
1981,payload,954.0
1981,rocket stage,471.0
1982,debris,2429.0
1982,litter,655.0
1982,payload,1023.0
1982,rocket stage,508.0
1983,debris,2445.0
1983,litter,717.0
1983,payload,1108.0
1983,rocket stage,548.0
1984,debris,2488.0
1984,litter,789.0
1984,payload,1198.0
1984,rocket stage,596.0
1985,debris,2703.0
1985,litter,873.0
1985,payload,1285.0
1985,rocket stage,639.0
1986,debris,2747.0
1986,litter,908.0
1986,payload,1363.0
1986,rocket stage,681.0
1987,debris,2827.0
1987,litter,950.0
1987,payload,1437.0
1987,rocket stage,721.0
1988,debris,2890.0
1988,litter,1008.0
1988,payload,1514.0
1988,rocket stage,760.0
1989,debris,2962.0
1989,litter,1042.0
1989,payload,1585.0
1989,rocket stage,794.0
1990,debris,3036.0
1990,litter,1107.0
1990,payload,1687.0
1990,rocket stage,838.0
1991,debris,3381.0
1991,litter,1177.0
1991,payload,1774.0
1991,rocket stage,881.0
1992,debris,3624.0
1992,litter,1227.0
1992,payload,1851.0
1992,rocket stage,918.0
1993,debris,3754.0
1993,litter,1268.0
1993,payload,1922.0
1993,rocket stage,947.0
1994,debris,3793.0
1994,litter,1310.0
1994,payload,1998.0
1994,rocket stage,988.0
1995,debris,3796.0
1995,litter,1331.0
1995,payload,2055.0
1995,rocket stage,1022.0
1996,debris,3895.0
1996,litter,1374.0
1996,payload,2112.0
1996,rocket stage,1049.0
1997,debris,3896.0
1997,litter,1408.0
1997,payload,2195.0
1997,rocket stage,1069.0
1998,debris,3980.0
1998,litter,1437.0
1998,payload,2280.0
1998,rocket stage,1097.0
1999,debris,4070.0
1999,litter,1472.0
1999,payload,2378.0
1999,rocket stage,1126.0
2000,debris,4219.0
2000,litter,1535.0
2000,payload,2458.0
2000,rocket stage,1167.0
2001,debris,4362.0
2001,litter,1582.0
2001,payload,2503.0
2001,rocket stage,1190.0
2002,debris,4373.0
2002,litter,1672.0
2002,payload,2555.0
2002,rocket stage,1218.0
2003,debris,4387.0
2003,litter,1713.0
2003,payload,2598.0
2003,rocket stage,1251.0
2004,debris,4490.0
2004,litter,1765.0
2004,payload,2643.0
2004,rocket stage,1278.0
2005,debris,4529.0
2005,litter,1809.0
2005,payload,2672.0
2005,rocket stage,1304.0
2006,debris,4666.0
2006,litter,1899.0
2006,payload,2703.0
2006,rocket stage,1334.0
2007,debris,7595.0
2007,litter,1985.0
2007,payload,2748.0
2007,rocket stage,1362.0
2008,debris,7604.0
2008,litter,2064.0
2008,payload,2796.0
2008,rocket stage,1398.0
2009,debris,9062.0
2009,litter,2207.0
2009,payload,2840.0
2009,rocket stage,1438.0
2010,debris,9190.0
2010,litter,2289.0
2010,payload,2872.0
2010,rocket stage,1479.0
2011,debris,9195.0
2011,litter,2370.0
2011,payload,2897.0
2011,rocket stage,1515.0
2012,debris,9220.0
2012,litter,2425.0
2012,payload,2925.0
2012,rocket stage,1550.0
2013,debris,9271.0
2013,litter,2492.0
2013,payload,2971.0
2013,rocket stage,1595.0
2014,debris,9434.0
2014,litter,2556.0
2014,payload,3021.0
2014,rocket stage,1646.0
2015,debris,10133.0
2015,litter,2614.0
2015,payload,3051.0
2015,rocket stage,1691.0
2016,debris,10203.0
2016,litter,2675.0
2016,payload,3088.0
2016,rocket stage,1733.0
2017,debris,10215.0
2017,litter,2739.0
2017,payload,3247.0
2017,rocket stage,1771.0
2018,debris,10386.0
2018,litter,2860.0
2018,payload,3333.0
2018,rocket stage,1825.0
2019,debris,10659.0
2019,litter,2934.0
2019,payload,3389.0
2019,rocket stage,1879.0
2020,debris,11227.0
2020,litter,3004.0
2020,payload,3427.0
2020,rocket stage,1918.0
2021,debris,12731.0
2021,litter,3118.0
2021,payload,3445.0
2021,rocket stage,1972.0
2022,debris,12731.0
2022,litter,3128.0
2022,payload,3446.0
2022,rocket stage,1976.0
