mmsi,imo,name,place_of_build,build,breadth_extreme,summer_dwt,displacement_summer,callsign,flag,draught,length_overall,fuel_consumption,speed_max,speed_service,liquid_oil,owner,manager,manager_owner,vessel_type,id,owner_us_sanction,oligarch,url,value
232039748,1009340,A,,2008.0,18.0,1126.0,5696.0,V7UJ7,GB,5.5,118.0,,23.0,23.0,,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,YACHT,371455,True,Andrey Melnichenko,https://www.marinetraffic.com/en/ais/details/ships/shipid:371455,204000000
319879000,9692545,ANDROMEDA,,2015.0,18.0,1000.0,,ZGES2,KY,5.1,107.4,,,,,PROXIMA Y LTD,,,YACHT,3515668,False,Yuri Milner,https://www.marinetraffic.com/en/ais/details/ships/shipid:3515668,250000000
319138100,,,,,,,,,,,,,,,,,,,,5615797,False,Dmitry Rybolovlev,https://www.marinetraffic.com/en/ais/details/ships/shipid:5615797,250000000
319112700,,,,,,,,,,,,,,,,,,,,4890250,False,Andrei Molchanov,https://www.marinetraffic.com/en/ais/details/ships/shipid:4890250,110000000
319143000,9312535,CLIO,,2004.0,13.91,226.0,1784.0,ZCNO3,KY,3.8,72.6,,,18.0,,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,YACHT,385196,True,Oleg Deripaska,https://www.marinetraffic.com/en/ais/details/ships/shipid:385196,58000000
310593000,1009613,ECLIPSE,,2010.0,22.4,1480.0,12635.0,ZCDX4,BM,5.9,162.5,,26.2,18.0,,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,YACHT,371584,True,Roman Abramovich,https://www.marinetraffic.com/en/ais/details/ships/shipid:371584,438000000
319092800,9798234,GALACTICA SUPER NOVA,,,10.0,189.0,,ZGFM9,KY,,70.07,,,,,,,,YACHT,4032552,False,Vagit Alekperov,https://www.marinetraffic.com/en/ais/details/ships/shipid:4032552,67000000
273294110,1011551,GRACEFUL,,2013.0,20.0,540.0,,,RU,3.8,80.3,,17.6,12.0,,,,,YACHT,470288,True,Vladimir Putin,https://www.marinetraffic.com/en/ais/details/ships/shipid:470288,100000000
273294130,9849021,LA DATCHA,,2020.0,14.0,455.0,2549.0,UBTV2,RU,3.75,76.98,,,15.0,,,,,YACHT,6318635,False,Oleg Tinkov,https://www.marinetraffic.com/en/ais/details/ships/shipid:6318635,110000000
377423000,8742496,LADY ANASTASIA,,2001.0,8.5,105.0,347.0,J8Y4288,VC,1.99,47.73,,24.0,17.0,,MSA MARMARA YACHTING,KAALBYE YACHT,,YACHT,468988,False,Alexander Mijeev,https://www.marinetraffic.com/en/ais/details/ships/shipid:468988,7000000
310380000,1006829,LE GRAND BLEU,,2000.0,20.23,1248.0,4579.0,ZCDF7,BM,5.05,108.3,,,17.0,,,,,YACHT,371059,False,Eugene Shvidler,https://www.marinetraffic.com/en/ais/details/ships/shipid:371059,109000000
378314000,9594339,LENA,,2010.0,7.9,700.0,,ZJL8309,VG,1.6,40.0,,,32.0,,,,,YACHT,470229,True,Gennady Timchenko,https://www.marinetraffic.com/en/ais/details/ships/shipid:470229,8000000
538071095,1010222,LUNA,,2010.0,20.0,1290.0,6186.0,V7NV8,MH,6.0,114.0,,,18.0,,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,YACHT,201758,False,Farkhad Akhmedov,https://www.marinetraffic.com/en/ais/details/ships/shipid:201758,196000000
319906000,1011331,MADAME GU,,2013.0,14.5,549.0,,ZGCW7,KY,4.4,99.0,,,,,,,,YACHT,1148803,True,Andrei Skoch,https://www.marinetraffic.com/en/ais/details/ships/shipid:1148803,156000000
310792000,9819820,MY SOLARIS,,2021.0,26.0,2060.0,,ZCEX8,BM,,139.0,,,,,BEAUTIFUL SEASCAPES LTD,DOHLE PRIVATE MARINE CLIENTS,,YACHT,6570613,True,Roman Abramovich,https://www.marinetraffic.com/en/ais/details/ships/shipid:6570613,474000000
319222000,1011202,NIRVANA,,2012.0,14.2,,2311.0,ZGBM,KY,4.0,88.39,,18.5,,,EXCLUSIVE YACHT MANAGEMENT,EXCLUSIVE YACHT MANAGEMENT,EXCLUSIVE YACHT MANAGEMENT,YACHT,385359,False,Vladimir Potanin,https://www.marinetraffic.com/en/ais/details/ships/shipid:385359,223000000
319168400,9853785,NORD,,2021.0,22.48,,,ZGHK5,KY,5.15,141.63,,,,,,,,YACHT,6326693,True,Alexey Mordashov,https://www.marinetraffic.com/en/ais/details/ships/shipid:6326693,500000000
319055400,1011850,OCEAN VICTORY,,2014.0,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT,384919,False,Viktor Rashnikov,https://www.marinetraffic.com/en/ais/details/ships/shipid:384919,294000000
319055400,1011850,OCEAN VICTORY,,2014.0,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT,384919,False,Viktor Rashnikov,https://www.marinetraffic.com/en/ais/details/ships/shipid:384919,294000000
319055400,1011850,OCEAN VICTORY,,2014.0,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT,384299,False,Leonid Mikhelson,https://www.marinetraffic.com/en/ais/details/ships/shipid:384299,115000000
319055400,1011850,OCEAN VICTORY,,2014.0,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT,384299,False,Leonid Mikhelson,https://www.marinetraffic.com/en/ais/details/ships/shipid:384299,115000000
319030100,1010167,PALLADIUM,,2010.0,20.5,565.0,4210.0,ZGAK9,KY,4.3,94.45,,18.3,,,MASTER YACHTS CONSULTANCY,MASTER YACHTS CONSULTANCY,MASTER YACHTS CONSULTANCY,YACHT,384596,False,Mikhail Prokhorov,https://www.marinetraffic.com/en/ais/details/ships/shipid:384596,157000000
319835000,9740251,QUANTUM BLUE,,2014.0,17.65,627.0,,ZGEM4,KY,4.1,104.01,,,,,WILSON YACHT MANAGEMENT,WILSON YACHT MANAGEMENT,WILSON YACHT MANAGEMENT,YACHT,143368,False,Sergey Galitsky,https://www.marinetraffic.com/en/ais/details/ships/shipid:143368,213000000
215598000,9621522,RAGNAR,,2012.0,14.0,867.0,,9HA5201,MT,3.15,68.2,,,12.0,,,,,YACHT,254151,False,Vladimir Strzhalkovsky,https://www.marinetraffic.com/en/ais/details/ships/shipid:254151,85000000
319084100,1012268,ROYAL ROMANCE,,2015.0,15.0,,,ZGEX4,KY,3.9,93.0,,,,,,,,YACHT,3177005,True,Viktor Medvedchuk,https://www.marinetraffic.com/en/ais/details/ships/shipid:3177005,200000000
232039750,1012141,SAILING YACHT A,,2017.0,25.0,1458.0,,MKOU2,GB,8.0,142.81,,,,,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,HOUSEBOAT,3598603,True,Andrey Melnichenko,https://www.marinetraffic.com/en/ais/details/ships/shipid:3598603,400000000
538071180,1010648,SEA RHAPSODY,,2012.0,12.18,,1422.0,V7VR9,MH,3.8,65.5,,,17.0,,,,,YACHT,384459,True,Andrey Kostin,https://www.marinetraffic.com/en/ais/details/ships/shipid:384459,65000000
319214500,,,,,,,,,,,,,,,,,,,,6665254,False,Dmitry Rybolovlev,https://www.marinetraffic.com/en/ais/details/ships/shipid:6665254,20000000
518100626,1010703,TANGO,ALBLASSERDAM NETHERLANDS,2011.0,12.2,380.0,1634.0,E5U3540,CK,3.7,77.7,,,21.0,,,,,YACHT,384563,True,Viktor Vekselberg,https://www.marinetraffic.com/en/ais/details/ships/shipid:384563,90000000
310598000,1010478,TITAN,,2010.0,12.6,220.0,1493.0,ZCED2,BM,3.35,78.43,,,17.0,,ATLANTIC MED MARINE,ATLANTIC MED MARINE,ATLANTIC MED MARINE,YACHT,371598,False,Alexander Abramov,https://www.marinetraffic.com/en/ais/details/ships/shipid:371598,82000000
375551000,1010624,VALERIE,,2011.0,14.28,325.0,1742.0,J8Y4380,VC,3.8,85.1,,16.7,,,KAALBYE SHIPPING INTERNATIONAL LTD,KAALBYE SHIPPING INTERNATIONAL LTD,KAALBYE SHIPPING INTERNATIONAL LTD,YACHT,466857,True,Sergei Chemezov,https://www.marinetraffic.com/en/ais/details/ships/shipid:466857,140000000
319094900,,,,,,,,,,,,,,,,,,,,3786839,True,Alisher Usmanov,https://www.marinetraffic.com/en/ais/details/ships/shipid:3786839,588000000
319297000,1012012,LADY M,,2013.0,10.0,,,ZGCY9,KY,2.5,65.5,,,,,SEMARINE YACHT MANAGEMENT,SEMARINE YACHT MANAGEMENT,SEMARINE YACHT MANAGEMENT,YACHT,385495,True,Alexei Mordashov,https://www.marinetraffic.com/en/ais/details/ships/shipid:385495,27000000
319321000,1011757,AMORE VERO,,2013.0,14.2,,2311.0,ZGCS2,KY,4.5,88.39,,18.5,,,,,,YACHT,385560,True,IGOR Sechin,https://www.marinetraffic.com/en/ais/details/ships/shipid:385560,120000000
273378690,1010533,RAHIL,,2011.0,11.9,287.0,1100.0,UBTN4,RU,3.2,65.0,,15.0,12.0,,BAEVSKIY,INSERVE YACHTS,,YACHT,386208,True,Arkady Rotenberg,https://www.marinetraffic.com/en/ais/details/ships/shipid:386208,38000000
