Oligarch,Owner_Us_Sanction,Shipname,Value
Andrey Melnichenko,True,A,204000000
Yuri Milner,False,Andromeda,250000000
Oleg Deripaska,True,Clio,58000000
Roman Abramovich,True,Eclipse,438000000
Vagit Alekperov,False,Galactica Super Nova,67000000
Vladimir Putin,True,Graceful,100000000
Oleg Tinkov,False,La Datcha,110000000
Alexander Mijeev,False,Lady Anastasia,7000000
Eugene Shvidler,False,Le Grand Bleu,109000000
Gennady Timchenko,True,Lena,8000000
Farkhad Akhmedov,False,Luna,196000000
Andrei Skoch,True,Madame Gu,156000000
Roman Abramovich,True,My Solaris,474000000
Vladimir Potanin,False,Nirvana,223000000
Alexey Mordashov,True,Nord,500000000
Viktor Rashnikov,False,Ocean Victory,294000000
Leonid Mikhelson,False,Pacific,115000000
Mikhail Prokhorov,False,Palladium,157000000
Sergey Galitsky,False,Quantum Blue,213000000
Vladimir Strzhalkovsky,False,Ragnar,85000000
Viktor Medvedchuk,True,Royal Romance,200000000
Andrey Melnichenko,True,Sailing Yacht A,400000000
Andrey Kostin,True,Sea Rhapsody,65000000
Viktor Vekselberg,True,Tango,90000000
Alexander Abramov,False,Titan,82000000
Sergei Chemezov,True,Valerie,140000000
Alexei Mordashov,True,Lady M,27000000
Igor Sechin,True,Amore Vero,120000000
Arkady Rotenberg,True,Rahil,38000000
