mmsi,imo,name,place_of_build,build,breadth_extreme,summer_dwt,displacement_summer,callsign,flag,draught,length_overall,fuel_consumption,speed_max,speed_service,liquid_oil,owner,manager,manager_owner,vessel_type
232039748,1009340,A,,2008.0,18.0,1126.0,5696.0,V7UJ7,GB,5.5,118.0,,23.0,23.0,,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,YACHT
319879000,9692545,ANDROMEDA,,2015.0,18.0,1000.0,,ZGES2,KY,5.1,107.4,,,,,PROXIMA Y LTD,,,YACHT
319143000,9312535,CLIO,,2004.0,13.91,226.0,1784.0,ZCNO3,KY,3.8,72.6,,,18.0,,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,YACHT
310593000,1009613,ECLIPSE,,2010.0,22.4,1480.0,12635.0,ZCDX4,BM,5.9,162.5,,26.2,18.0,,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,YACHT
319092800,9798234,GALACTICA SUPER NOVA,,,10.0,189.0,,ZGFM9,KY,,70.07,,,,,,,,YACHT
273294110,1011551,GRACEFUL,,2013.0,20.0,540.0,,,RU,3.8,80.3,,17.6,12.0,,,,,YACHT
273294130,9849021,LA DATCHA,,2020.0,14.0,455.0,2549.0,UBTV2,RU,3.75,76.98,,,15.0,,,,,YACHT
377423000,8742496,LADY ANASTASIA,,2001.0,8.5,105.0,347.0,J8Y4288,VC,1.99,47.73,,24.0,17.0,,MSA MARMARA YACHTING,KAALBYE YACHT,,YACHT
310380000,1006829,LE GRAND BLEU,,2000.0,20.23,1248.0,4579.0,ZCDF7,BM,5.05,108.3,,,17.0,,,,,YACHT
378314000,9594339,LENA,,2010.0,7.9,700.0,,ZJL8309,VG,1.6,40.0,,,32.0,,,,,YACHT
538071095,1010222,LUNA,,2010.0,20.0,1290.0,6186.0,V7NV8,MH,6.0,114.0,,,18.0,,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,YACHT
319906000,1011331,MADAME GU,,2013.0,14.5,549.0,,ZGCW7,KY,4.4,99.0,,,,,,,,YACHT
310792000,9819820,MY SOLARIS,,2021.0,26.0,2060.0,,ZCEX8,BM,,139.0,,,,,BEAUTIFUL SEASCAPES LTD,DOHLE PRIVATE MARINE CLIENTS,,YACHT
319222000,1011202,NIRVANA,,2012.0,14.2,,2311.0,ZGBM,KY,4.0,88.39,,18.5,,,EXCLUSIVE YACHT MANAGEMENT,EXCLUSIVE YACHT MANAGEMENT,EXCLUSIVE YACHT MANAGEMENT,YACHT
319168400,9853785,NORD,,2021.0,22.48,,,ZGHK5,KY,5.15,141.63,,,,,,,,YACHT
319055400,1011850,OCEAN VICTORY,,2014.0,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT
319055400,1011850,OCEAN VICTORY,,2014.0,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT
319030100,1010167,PALLADIUM,,2010.0,20.5,565.0,4210.0,ZGAK9,KY,4.3,94.45,,18.3,,,MASTER YACHTS CONSULTANCY,MASTER YACHTS CONSULTANCY,MASTER YACHTS CONSULTANCY,YACHT
319835000,9740251,QUANTUM BLUE,,2014.0,17.65,627.0,,ZGEM4,KY,4.1,104.01,,,,,WILSON YACHT MANAGEMENT,WILSON YACHT MANAGEMENT,WILSON YACHT MANAGEMENT,YACHT
215598000,9621522,RAGNAR,,2012.0,14.0,867.0,,9HA5201,MT,3.15,68.2,,,12.0,,,,,YACHT
319084100,1012268,ROYAL ROMANCE,,2015.0,15.0,,,ZGEX4,KY,3.9,93.0,,,,,,,,YACHT
232039750,1012141,SAILING YACHT A,,2017.0,25.0,1458.0,,MKOU2,GB,8.0,142.81,,,,,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,HOUSEBOAT
538071180,1010648,SEA RHAPSODY,,2012.0,12.18,,1422.0,V7VR9,MH,3.8,65.5,,,17.0,,,,,YACHT
518100626,1010703,TANGO,ALBLASSERDAM NETHERLANDS,2011.0,12.2,380.0,1634.0,E5U3540,CK,3.7,77.7,,,21.0,,,,,YACHT
310598000,1010478,TITAN,,2010.0,12.6,220.0,1493.0,ZCED2,BM,3.35,78.43,,,17.0,,ATLANTIC MED MARINE,ATLANTIC MED MARINE,ATLANTIC MED MARINE,YACHT
375551000,1010624,VALERIE,,2011.0,14.28,325.0,1742.0,J8Y4380,VC,3.8,85.1,,16.7,,,KAALBYE SHIPPING INTERNATIONAL LTD,KAALBYE SHIPPING INTERNATIONAL LTD,KAALBYE SHIPPING INTERNATIONAL LTD,YACHT
319150300,9526758,AL RAYA,,2008.0,16.0,,,ZCXS9,KY,5.0,110.0,,,21.0,,BURGESS YACHTS,BURGESS YACHTS,BURGESS YACHTS,YACHT
319297000,1012012,LADY M,,2013.0,10.0,,,ZGCY9,KY,2.5,65.5,,,,,SEMARINE YACHT MANAGEMENT,SEMARINE YACHT MANAGEMENT,SEMARINE YACHT MANAGEMENT,YACHT
319321000,1011757,AMORE VERO,,2013.0,14.2,,2311.0,ZGCS2,KY,4.5,88.39,,18.5,,,,,,YACHT
273378690,1010533,RAHIL,,2011.0,11.9,287.0,1100.0,UBTN4,RU,3.2,65.0,,15.0,12.0,,BAEVSKIY,INSERVE YACHTS,,YACHT
