id,mmsi,name,url,value,value_source,oligarch,source:,more_notes,vessel sanctioned?,owner_us_sanction,seized,owner sanctioned by canada,sanctions source
3598603,232039750,SAILING YACHT A,https://www.marinetraffic.com/en/ais/details/ships/shipid:3598603,400000000,Forbes,Andrey Melnichenko,https://www.forbes.com/sites/giacomotognini/2022/03/01/biden-and-allies-are-coming-for-russian-billionaires-yachts-forbes-tracked-down-36-heres-where-to-find-them/?sh=6af5cf4a4624,,,True,True,,https://twitter.com/FerdiGiugliano/status/1502542506763993089?s=20&t=HcqqOg9w3GbZ3koU7WkzGw
384459,538071180,SEA RHAPSODY,https://www.marinetraffic.com/en/ais/details/ships/shipid:384459,65000000,https://nypost.com/2022/03/05/russian-oligarch-yachts-scrambling-for-safe-havens-amid-seizures/; https://www.superyachtfan.com/yacht/sea-rhapsody/,Andrey Kostin,https://www.bloomberg.com/news/articles/2022-03-02/russian-oligarchs-yachts-head-for-maldives-as-sanctions-levied,,,True,,,
6665254,319214500,SKORPIOS,https://www.marinetraffic.com/en/ais/details/ships/shipid:6665254,20000000,https://www.bloomberg.com/news/articles/2021-07-02/feuding-billionaire-adds-20-million-yacht-to-luxury-toy-list; https://en.protothema.gr/20-million-sailboat-this-is-rimbolovlevs-second-scorpios-photos/,Dmitry Rybolovlev,,,,False,,,
384563,518100626,TANGO,https://www.marinetraffic.com/en/ais/details/ships/shipid:384563,90000000,Forbes,Viktor Vekselberg,https://www.forbes.com/sites/giacomotognini/2022/03/01/biden-and-allies-are-coming-for-russian-billionaires-yachts-forbes-tracked-down-36-heres-where-to-find-them/?sh=6af5cf4a4624,,True,True,,,https://home.treasury.gov/policy-issues/financial-sanctions/recent-actions/20220311
371598,310598000,TITAN,https://www.marinetraffic.com/en/ais/details/ships/shipid:371598,82000000,Forbes,Alexander Abramov,https://www.forbes.com/sites/giacomotognini/2022/03/01/biden-and-allies-are-coming-for-russian-billionaires-yachts-forbes-tracked-down-36-heres-where-to-find-them/?sh=6af5cf4a4624,,,False,,,
466857,375551000,VALERIE,https://www.marinetraffic.com/en/ais/details/ships/shipid:466857,140000000,OCCRP,Sergei Chemezov,https://www.occrp.org/en/the-pandora-papers/a-family-affair-how-the-relatives-of-a-russian-state-companys-ceo-got-rich,"Owned by Anastasia Ignatova, through BVI company Delima Services Limited",,True,,,
3786839,319094900,DILBAR,https://www.marinetraffic.com/en/ais/details/ships/shipid:3786839,588000000,Forbes,Alisher Usmanov,https://www.forbes.com/sites/giacomotognini/2022/03/02/update-fate-of-russian-billionaire-alisher-usmanovs-mega-yacht-in-germany-uncertain/?sh=2b24963e7471,Seized by German authorities,True,True,True,,https://home.treasury.gov/news/press-releases/jy0628
385495,319297000,LADY M,https://www.marinetraffic.com/en/ais/details/ships/shipid:385495,27000000,Forbes,Alexei Mordashov,https://www.reuters.com/world/italy-seizes-yacht-owned-by-russian-oligarch-mordashov-source-2022-03-04/,Seized by Italian authorities,,True,True,,
385560,319321000,AMORE VERO,https://www.marinetraffic.com/en/ais/details/ships/shipid:385560,120000000,https://www.businessinsider.com/russian-oligarch-superyacht-seized-france-ukraine-igor-sechin-darth-vader-2022-3; https://fortune.com/2022/03/03/france-seized-yacht-igor-sechin-ukraine-invasion/,IGOR Sechin,https://www.bloomberg.com/news/articles/2022-03-03/french-customs-immobilize-yacht-owned-by-rosneft-chairman,Seized by French authorities,,True,True,,
386208,273378690,RAHIL,https://www.marinetraffic.com/en/ais/details/ships/shipid:386208,38000000,Forbes,Arkady Rotenberg,https://www.forbes.com/sites/giacomotognini/2022/03/01/biden-and-allies-are-coming-for-russian-billionaires-yachts-forbes-tracked-down-36-heres-where-to-find-them/?sh=4a7821a24624,,,True,,,
