mmsi,imo,name,place_of_build,build,breadth_extreme,summer_dwt,displacement_summer,callsign,flag,draught,length,fuel_consumption,speed_max,speed_service,liquid_oil,owner,manager,manager_owner,vessel_type,id,owner_us_sanction,oligarch,url,value,ship_id,lon,lat,flag_country,destination,shipname,last_date,notes
232039748,1009340,A,,2008,18.0,1126.0,5696.0,V7UJ7,GB,5.5,118.0,,23.0,23.0,,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,YACHT,371455,True,Andrey Melnichenko,https://www.marinetraffic.com/en/ais/details/ships/shipid:371455,204000000,371455,73.28638,4.421157,United Kingdom,Mvmle,A,2022-03-10 10:50:53,
319879000,9692545,ANDROMEDA,,2015,18.0,1000.0,,ZGES2,KY,5.1,107.0,,,,,PROXIMA Y LTD,,,YACHT,3515668,False,Yuri Milner,https://www.marinetraffic.com/en/ais/details/ships/shipid:3515668,250000000,3515668,55.58191,-4.648077,Cayman Islands,Silhouette,Andromeda,2022-03-13 16:50:43,
319143000,9312535,CLIO,,2004,13.91,226.0,1784.0,ZCNO3,KY,3.8,73.0,,,18.0,,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,HILL ROBINSON YACHT MANAGEMENT CONSULTANTS,YACHT,385196,True,Oleg Deripaska,https://www.marinetraffic.com/en/ais/details/ships/shipid:385196,58000000,385196,73.48605,4.261267,Cayman Islands,Male,Clio,2022-01-02 21:56:01,
310593000,1009613,ECLIPSE,,2010,22.4,1480.0,12635.0,ZCDX4,BM,5.9,162.0,,26.2,18.0,,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,YACHT,371584,True,Roman Abramovich,https://www.marinetraffic.com/en/ais/details/ships/shipid:371584,438000000,371584,-2.948983,36.27028,Bermuda,Cruising,Eclipse,2022-03-13 01:51:49,
319092800,9798234,GALACTICA SUPER NOVA,,Unknown,10.0,189.0,,ZGFM9,KY,,70.0,,,,,,,,YACHT,4032552,False,Vagit Alekperov,https://www.marinetraffic.com/en/ais/details/ships/shipid:4032552,67000000,4032552,18.57163,42.28695,Cayman Islands,"Tivat, Montenegro",Galactica Super Nova,2022-03-02 04:48:58,
273294110,1011551,GRACEFUL,,2013,20.0,540.0,,,RU,3.8,80.0,,17.6,12.0,,,,,YACHT,470288,True,Vladimir Putin,https://www.marinetraffic.com/en/ais/details/ships/shipid:470288,100000000,470288,20.37294,54.68985,Russia,New York,Graceful,2022-02-09 08:56:59,
273294130,9849021,LA DATCHA,,2020,14.0,455.0,2549.0,UBTV2,RU,3.75,77.0,,,15.0,,,,,YACHT,6318635,False,Oleg Tinkov,https://www.marinetraffic.com/en/ais/details/ships/shipid:6318635,110000000,6318635,-116.6296,31.85823,Russia,Tba,La Datcha,2022-03-07 20:40:08,
377423000,8742496,LADY ANASTASIA,,2001,8.5,105.0,347.0,J8Y4288,VC,1.99,48.0,,24.0,17.0,,MSA MARMARA YACHTING,KAALBYE YACHT,,YACHT,468988,False,Alexander Mijeev,https://www.marinetraffic.com/en/ais/details/ships/shipid:468988,7000000,468988,2.475022,39.48976,St Vincent Grenadines,Adriano,Lady Anastasia,2022-01-21 13:25:29,
310380000,1006829,LE GRAND BLEU,,2000,20.23,1248.0,4579.0,ZCDF7,BM,5.05,108.0,,,17.0,,,,,YACHT,371059,False,Eugene Shvidler,https://www.marinetraffic.com/en/ais/details/ships/shipid:371059,109000000,371059,-63.10355,18.02214,Bermuda,Bqeux,Le Grand Bleu,2022-03-14 15:38:52,
378314000,9594339,LENA,,2010,7.9,700.0,,ZJL8309,VG,1.6,40.0,,,32.0,,,,,YACHT,470229,True,Gennady Timchenko,https://www.marinetraffic.com/en/ais/details/ships/shipid:470229,8000000,470229,7.791121,43.81768,British Virgin Islands,Sanremo,Lena,2021-09-24 11:16:16,
