,zip,total
404,92131,21714
405,92136,316
406,92138,50
407,92139,15907
408,92142,13
409,92143,200
410,92145,41
411,92153,12
412,92154,45023
413,92170,52
414,92173,19194
415,92201,25869
416,92202,210
417,92203,15934
418,92210,1675
419,92211,15055
420,92220,13081
421,92223,29174
422,92225,5096
423,92226,20
424,92227,12033
425,92230,649
426,92231,25819
427,92232,257
428,92233,969
429,92234,23614
430,92235,11
431,92236,16544
432,92240,13955
433,92241,1983
434,92243,24756
435,92244,26
436,92248,14
437,92249,3190
438,92250,3329
439,92251,11510
440,92252,2165
441,92253,20528
442,92254,3359
443,92255,17
444,92256,526
445,92257,45
446,92258,11
447,92260,15234
448,92262,12038
449,92263,24
450,92264,9474
451,92270,10014
452,92273,241
453,92274,5813
454,92275,102
455,92276,2789
456,92277,6484
457,92278,72
458,92281,390
459,92282,25
460,92283,22
461,92284,8832
462,92285,69
463,92301,11376
464,92305,14
465,92307,16792
466,92308,16753
467,92310,969
468,92311,10241
469,92313,5104
470,92314,2632
471,92315,1645
472,92316,12959
473,92317,601
474,92320,3673
475,92321,49
476,92324,24363
477,92325,3373
478,92329,762
479,92331,20
480,92335,39264
481,92336,52214
482,92337,18108
483,92339,63
484,92340,12
485,92342,1969
486,92344,9556
487,92345,34082
488,92346,26369
489,92347,24
490,92352,1702
491,92354,9074
492,92356,878
493,92359,2893
494,92363,664
495,92365,72
496,92371,4241
497,92372,1229
498,92373,17503
499,92374,18746
500,92376,34598
501,92377,9961
502,92378,11
503,92382,1450
504,92386,168
505,92391,246
506,92392,25445
507,92393,122
508,92394,13087
509,92395,16498
510,92397,1620
511,92398,46
512,92399,25957
513,92401,49
514,92402,29
515,92404,20528
516,92405,9305
517,92407,27219
518,92408,5386
519,92410,15540
520,92411,7609
521,92415,2152
522,92501,8243
523,92503,41107
524,92504,27665
525,92505,20464
526,92506,23025
527,92507,21361
528,92508,18254
529,92509,34579
530,92518,63
531,92521,24
532,92522,22
533,92530,24049
534,92532,13476
535,92536,654
536,92539,731
537,92543,11630
538,92544,17632
539,92545,18351
540,92548,1914
541,92549,974
542,92551,13161
543,92552,35
544,92553,28222
545,92554,15
546,92555,20424
547,92557,23651
548,92561,90
549,92562,34685
550,92563,36600
551,92567,3200
552,92570,21813
553,92571,24162
554,92572,71
555,92581,113
556,92582,7631
557,92583,11013
558,92584,26970
559,92585,10447
560,92586,9548
561,92587,7992
562,92589,27
563,92590,2101
564,92591,21019
565,92592,43769
566,92593,25
567,92595,15876
568,92596,13941
569,92602,15740
570,92603,11266
571,92604,13991
572,92606,12526
573,92610,6578
574,92612,14555
575,92614,17661
576,92617,2661
577,92618,33149
578,92619,12
579,92620,34054
580,92623,53
581,92624,2611
582,92625,7033
583,92626,27483
584,92627,28031
585,92629,15201
586,92630,37521
587,92637,8158
588,92646,31790
589,92647,29410
590,92648,26936
591,92649,19868
592,92651,14891
593,92653,16853
594,92655,2532
595,92656,30570
596,92657,6598
597,92658,48
598,92660,25674
599,92661,821
600,92662,585
601,92663,11186
602,92672,19490
603,92673,17629
604,92675,18753
605,92676,178
606,92677,40294
607,92679,20842
608,92683,44401
609,92685,13
610,92688,26302
611,92691,27364
612,92692,28909
613,92694,19239
614,92697,11
615,92701,16357
616,92702,30
617,92703,22421
618,92704,34134
619,92705,25913
620,92706,13683
621,92707,22986
622,92708,32823
623,92728,11
624,92780,25622
625,92782,16553
626,92801,25812
627,92802,15739
