,zip,name,teslas,all_vehicles,tesla_rate_1k,avg_house_income,avg_net_worth
149,91040,Sunland,92,10400,8.85,95298,659225
150,91042,Tujunga,103,13099,7.86,83626,517163
151,91101,Pasadena,133,9841,13.51,85812,164361
152,91103,Pasadena,191,10564,18.08,101427,748983
153,91104,Pasadena,231,14770,15.64,103117,571372
154,91105,Pasadena,349,7640,45.68,173598,1552365
155,91106,Pasadena,258,10916,23.64,108197,542515
156,91107,Pasadena,477,16703,28.56,125031,1041178
157,91108,San Marino,471,7278,64.72,239942,3340540
158,91201,Glendale,109,10871,10.03,78738,388277
159,91202,Glendale,151,11276,13.39,105003,691121
160,91203,Glendale,89,7802,11.41,65629,116537
161,91204,Glendale,40,8396,4.76,58175,78111
162,91205,Glendale,66,15331,4.31,58063,112137
163,91206,Glendale,234,15658,14.94,95669,710468
164,91207,Glendale,110,5437,20.23,148638,1751091
165,91208,Glendale,184,9027,20.38,146988,1498843
166,91214,La Crescenta,259,16712,15.5,129470,1258527
167,91301,Agoura Hills,458,14858,30.83,168350,1688037
168,91302,Calabasas,842,16374,51.42,211611,2517388
169,91303,Canoga Park,56,10192,5.49,61313,174150
170,91304,Canoga Park,237,21558,10.99,92273,794891
171,91306,Winnetka,129,19193,6.72,79425,425429
172,91307,West Hills,323,13469,23.98,135866,1441657
173,91311,Chatsworth,309,20640,14.97,118345,1093829
174,91316,Encino,368,14649,25.12,103968,731822
175,91320,Newbury Park,582,24368,23.88,143648,1270033
176,91321,Newhall,92,14677,6.27,88605,619146
177,91324,Northridge,147,13355,11.01,97386,608537
178,91325,Northridge,177,15109,11.71,98211,699763
179,91326,Porter Ranch,810,20906,38.74,139870,1522543
180,91331,Pacoima,65,36579,1.78,63208,235670
181,91335,Reseda,151,30784,4.91,73121,261729
182,91340,San Fernando,27,13676,1.97,59630,189128
183,91342,Sylmar,178,41314,4.31,77173,415201
184,91343,North Hills,141,24830,5.68,78425,476746
185,91344,Granada Hills,383,26694,14.35,111994,1158138
186,91345,Mission Hills,36,8720,4.13,84499,482163
187,91350,Santa Clarita,429,22642,18.95,132465,1256389
188,91351,Canyon Country,97,15841,6.12,91078,615569
189,91352,Sun Valley,68,20353,3.34,71041,320464
190,91354,Valencia,429,17912,23.95,139161,942945
191,91355,Valencia,289,19201,15.05,119330,909188
192,91356,Tarzana,498,15907,31.31,132921,1369568
193,91360,Thousand Oaks,296,20868,14.18,129574,1314973
194,91361,Westlake Village,478,12825,37.27,166828,1854091
195,91362,Thousand Oaks,688,22803,30.17,161540,1770328
196,91364,Woodland Hills,401,15245,26.3,160518,1590126
197,91367,Woodland Hills,497,22841,21.76,121497,974122
198,91377,Oak Park,255,8406,30.34,181554,1492577
199,91381,Stevenson Ranch,388,11252,34.48,157862,918692
200,91384,Castaic,99,12027,8.23,133698,1014464
201,91387,Canyon Country,297,21288,13.95,110860,758188
202,91390,Santa Clarita,127,10956,11.59,143814,1180205
203,91401,Van Nuys,179,17656,10.14,82920,342491
204,91402,Panorama City,61,23374,2.61,55078,137216
205,91403,Sherman Oaks,466,13670,34.09,132678,949848
206,91405,Van Nuys,81,23800,3.4,60769,106123
207,91406,Van Nuys,181,23324,7.76,71740,255376
208,91411,Van Nuys,104,9677,10.75,76692,207784
209,91423,Sherman Oaks,459,17095,26.85,129164,751791
210,91436,Encino,681,10466,65.07,213009,2626425
211,91501,Burbank,95,10170,9.34,91902,436870
212,91502,Burbank,43,5443,7.9,56999,72947
213,91504,Burbank,169,13186,12.82,108498,879492
214,91505,Burbank,229,15474,14.8,98280,412924
215,91506,Burbank,111,9358,11.86,110765,633859
216,91601,North Hollywood,167,15442,10.81,71800,134791
217,91602,North Hollywood,223,9912,22.5,108939,387835
218,91604,Studio City,629,16349,38.47,147998,898797
219,91605,North Hollywood,88,22543,3.9,62031,202026
220,91606,North Hollywood,88,17150,5.13,61774,160007
221,91607,Valley Village,203,13959,14.54,94301,311034
222,91701,Rancho Cucamonga,164,20637,7.95,105282,997816
223,91702,Azusa,190,24058,7.9,73870,335223
224,91706,Baldwin Park,123,31234,3.94,67399,242148
225,91708,Chino,126,7258,17.36,116706,535702
226,91709,Chino Hills,981,43964,22.31,128066,1030773
227,91710,Chino,443,41724,10.62,93050,579195
228,91711,Claremont,303,15803,19.17,128594,1348155
229,91722,Covina,64,15659,4.09,79632,382013
230,91723,Covina,38,8602,4.42,78368,312185
231,91724,Covina,86,12682,6.78,99322,865970
232,91730,Rancho Cucamonga,233,34724,6.71,82939,404364
233,91731,El Monte,49,10956,4.47,52971,172794
234,91732,El Monte,118,21420,5.51,58419,171873
235,91733,South El Monte,78,16160,4.83,57838,180486
236,91737,Rancho Cucamonga,177,13286,13.32,137859,1299038
237,91739,Rancho Cucamonga,489,21676,22.56,138582,926096
238,91740,Glendora,91,12315,7.39,91060,603415
239,91741,Glendora,212,13710,15.46,118203,1271792
240,91744,La Puente,88,33184,2.65,70385,322567
241,91745,Hacienda Heights,375,27028,13.87,102176,804861
242,91746,La Puente,36,13641,2.64,76775,359256
243,91748,Rowland Heights,391,22995,17.0,91524,668865
244,91750,La Verne,194,17548,11.06,108367,1148637
245,91752,Mira Loma,152,19895,7.64,95378,469997
246,91754,Monterey Park,219,16318,13.42,84216,518507
247,91755,Monterey Park,134,13293,10.08,81093,454532
248,91761,Ontario,215,34980,6.15,81978,463779
249,91762,Ontario,136,26820,5.07,71149,290912
250,91763,Montclair,71,16174,4.39,66558,252740
251,91764,Ontario,67,22201,3.02,63441,198871
252,91765,Diamond Bar,703,25495,27.57,121105,1168809
253,91766,Pomona,123,26527,4.64,71375,373016
254,91767,Pomona,48,18512,2.59,66144,266975
255,91768,Pomona,31,12841,2.41,62552,310689
256,91770,Rosemead,239,29184,8.19,69099,292995
257,91773,San Dimas,153,17783,8.6,113247,1074709
258,91775,San Gabriel,198,11020,17.97,117981,958699
259,91776,San Gabriel,171,17809,9.6,76586,316964
260,91780,Temple City,326,16874,19.32,97616,638493
261,91784,Upland,269,16027,16.78,142873,1770833
262,91786,Upland,85,24732,3.44,73864,409011
263,91789,Walnut,687,23470,29.27,127094,1332165
264,91790,West Covina,133,20180,6.59,81679,455888
265,91791,West Covina,235,16551,14.2,98631,722410
266,91792,West Covina,87,12970,6.71,85864,504543
267,91801,Alhambra,217,22765,9.53,75891,276767
268,91803,Alhambra,141,13459,10.48,81659,366041
269,91901,Alpine,34,9388,3.62,111364,1054039
270,91902,Bonita,73,9757,7.48,122019,1268827
271,91910,Chula Vista,185,35635,5.19,75844,438566
272,91911,Chula Vista,79,38769,2.04,67833,289019
273,91913,Chula Vista,339,27217,12.46,105713,577627
274,91914,Chula Vista,202,9988,20.22,141692,963993
275,91915,Chula Vista,219,16902,12.96,123717,728012
276,91932,Imperial Beach,14,9671,1.45,61979,181302
277,91935,Jamul,50,4992,10.02,126756,1383614
278,91941,La Mesa,214,15576,13.74,99953,967694
279,91942,La Mesa,77,17879,4.31,72043,302386
280,91945,Lemon Grove,12,11573,1.04,68262,303544
281,91950,National City,16,22541,0.71,53982,143708
282,91977,Spring Valley,75,26023,2.88,80595,517436
283,91978,Spring Valley,15,5115,2.93,89865,670270
284,92003,Bonsall,19,2938,6.47,122461,1561160
285,92007,Cardiff By The Sea,139,5975,23.26,132296,902909
286,92008,Carlsbad,269,15802,17.02,98539,675039
287,92009,Carlsbad,814,25285,32.19,149902,1247313
288,92010,Carlsbad,222,10203,21.76,110420,988779
289,92011,Carlsbad,418,13988,29.88,147070,1272243
290,92014,Del Mar,446,8390,53.16,205084,2161052
291,92019,El Cajon,144,21752,6.62,103709,1013423
292,92020,El Cajon,95,26317,3.61,75839,577728
293,92021,El Cajon,86,28918,2.97,70762,483981
294,92024,Encinitas,911,28105,32.41,141305,1230108
295,92025,Escondido,128,20052,6.38,81709,557453
296,92026,Escondido,193,24122,8.0,82061,675974
297,92027,Escondido,123,23304,5.28,82705,547927
298,92028,Fallbrook,231,24279,9.51,101581,1303310
299,92029,Escondido,189,13822,13.67,113185,1283045
300,92037,La Jolla,1008,20618,48.89,159756,1545600
301,92040,Lakeside,57,20913,2.73,86514,756096
302,92054,Oceanside,126,16211,7.77,72486,386662
303,92056,Oceanside,199,26825,7.42,88969,773611
304,92057,Oceanside,271,26771,10.12,91716,616671
305,92058,Oceanside,59,14635,4.03,68771,287431
306,92064,Poway,561,26330,21.31,138685,1616625
307,92065,Ramona,89,17883,4.98,105722,969268
308,92067,Rancho Santa Fe,580,7512,77.21,235690,3311315
309,92069,San Marcos,193,22633,8.53,80753,485559
310,92071,Santee,176,27697,6.35,87688,627121
311,92075,Solana Beach,279,7222,38.63,151013,1187272
312,92078,San Marcos,565,24955,22.64,90652,594348
313,92081,Vista,125,15333,8.15,84756,541619
314,92082,Valley Center,62,10644,5.82,116494,1196856
315,92083,Vista,62,15274,4.06,69220,234307
316,92084,Vista,110,20663,5.32,81375,616732
317,92091,Rancho Santa Fe,45,1180,38.14,175708,2667558
318,92101,San Diego,506,28840,17.55,89150,196433
319,92102,San Diego,64,14658,4.37,58669,128228
320,92103,San Diego,379,16172,23.44,99163,360483
321,92104,San Diego,205,18949,10.82,70526,184213
322,92105,San Diego,63,23871,2.64,49990,103076
323,92106,San Diego,192,9340,20.56,128973,1246204
324,92107,San Diego,154,12466,12.35,95976,592325
325,92108,San Diego,192,12961,14.81,88893,242737
326,92109,San Diego,342,20710,16.51,96140,335985
327,92110,San Diego,126,13696,9.2,85446,494545
328,92111,San Diego,142,22560,6.29,80382,431171
329,92114,San Diego,60,26813,2.24,72841,430502
330,92115,San Diego,158,20430,7.73,62314,208622
331,92116,San Diego,153,14661,10.44,77306,305640
332,92117,San Diego,264,23644,11.17,88772,586601
333,92118,Coronado,177,8284,21.37,137812,1273862
334,92119,San Diego,77,11866,6.49,92809,1021584
335,92120,San Diego,201,15783,12.74,103501,1087052
336,92121,San Diego,143,5812,24.6,153783,1108024
337,92122,San Diego,389,18343,21.21,108323,627178
338,92123,San Diego,157,18315,8.57,92289,408165
339,92124,San Diego,169,12930,13.07,109520,907617
340,92126,San Diego,444,35659,12.45,100493,573633
341,92127,San Diego,1376,26258,52.4,158748,1066618
342,92128,San Diego,487,26286,18.53,123334,1218479
