,zip,teslas,name,avg_house_income,avg_net_worth,population,all_vehicles,tesla_rate_1k
105,90630,354,Cypress,110053,920375,51841,25529,13.87
106,90631,317,La Habra,98209,736679,71403,31283,10.13
107,90638,175,La Mirada,105345,936622,50864,24149,7.25
108,90640,109,Montebello,69890,323108,65026,27618,3.95
109,90650,139,Norwalk,73108,322209,108958,42170,3.3
110,90660,64,Pico Rivera,70392,319547,65997,25820,2.48
111,90670,102,Santa Fe Springs,71313,313722,16210,13096,7.79
112,90680,62,Stanton,73882,263482,32542,12080,5.13
113,90701,51,Artesia,80879,410750,17167,6660,7.66
114,90703,651,Cerritos,120427,1146304,51165,27376,23.78
115,90706,97,Bellflower,65931,199185,79673,30573,3.17
116,90710,50,Harbor City,80812,661267,26799,10657,4.69
117,90712,104,Lakewood,95209,755797,31831,15195,6.84
118,90713,84,Lakewood,103330,935664,29321,13627,6.16
119,90715,15,Lakewood,86966,374759,21743,8341,1.8
120,90717,57,Lomita,87430,376061,22451,8837,6.45
121,90720,267,Los Alamitos,143111,1632930,22707,13735,19.44
122,90723,14,Paramount,54911,130448,55445,20095,0.7
123,90731,115,San Pedro,72825,291847,63454,21787,5.28
124,90732,93,San Pedro,113500,1186743,21864,9735,9.55
125,90740,230,Seal Beach,95989,1302513,25133,13318,17.27
126,90745,104,Carson,89636,588657,59893,24397,4.26
127,90746,73,Carson,98017,1127137,25314,13943,5.24
128,90755,80,Signal Hill,104032,539569,11976,7023,11.39
129,90802,139,Long Beach,65755,122565,40005,14300,9.72
130,90803,381,Long Beach,121310,721693,36879,15837,24.06
131,90804,70,Long Beach,60211,102358,41027,12451,5.62
132,90805,88,Long Beach,59548,165563,96109,31976,2.75
133,90806,52,Long Beach,61161,230518,44161,15087,3.45
134,90807,179,Long Beach,103317,581649,32830,15032,11.91
135,90808,213,Long Beach,119296,1107113,39181,19462,10.94
136,90813,11,Long Beach,44271,44291,60804,13838,0.79
137,90814,109,Long Beach,95214,387944,18399,8116,13.43
138,90815,231,Long Beach,110388,946732,42603,18993,12.16
139,91001,393,Altadena,129531,1271815,37341,16722,23.5
140,91006,547,Arcadia,131366,1243235,33018,16776,32.61
141,91007,394,Arcadia,109631,853608,33888,15201,25.92
142,91008,13,Duarte,142935,1859995,1530,608,21.38
143,91010,63,Duarte,85006,592386,27100,11242,5.6
144,91011,683,La Canada Flintridge,231624,3288780,21000,12199,55.99
145,91016,228,Monrovia,96345,564860,42110,19011,11.99
146,91020,42,Montrose,96486,398626,8541,3956,10.62
147,91024,132,Sierra Madre,148110,1350352,11580,5456,24.19
148,91030,365,South Pasadena,133405,792975,26837,12052,30.29
149,91040,92,Sunland,95298,659225,21278,10400,8.85
150,91042,103,Tujunga,83626,517163,29421,13099,7.86
151,91101,133,Pasadena,85812,164361,20236,9841,13.51
152,91103,191,Pasadena,101427,748983,29571,10564,18.08
153,91104,231,Pasadena,103117,571372,37406,14770,15.64
154,91105,349,Pasadena,173598,1552365,13200,7640,45.68
155,91106,258,Pasadena,108197,542515,24589,10916,23.64
156,91107,477,Pasadena,125031,1041178,34608,16703,28.56
157,91108,471,San Marino,239942,3340540,13450,7278,64.72
158,91201,109,Glendale,78738,388277,23156,10871,10.03
159,91202,151,Glendale,105003,691121,23586,11276,13.39
160,91203,89,Glendale,65629,116537,16479,7802,11.41
161,91204,40,Glendale,58175,78111,16778,8396,4.76
162,91205,66,Glendale,58063,112137,39737,15331,4.31
163,91206,234,Glendale,95669,710468,34384,15658,14.94
164,91207,110,Glendale,148638,1751091,9796,5437,20.23
165,91208,184,Glendale,146988,1498843,17479,9027,20.38
166,91214,259,La Crescenta,129470,1258527,31102,16712,15.5
167,91301,458,Agoura Hills,168350,1688037,25182,14858,30.83
168,91302,842,Calabasas,211611,2517388,27282,16374,51.42
169,91303,56,Canoga Park,61313,174150,28337,10192,5.49
170,91304,237,Canoga Park,92273,794891,52208,21558,10.99
171,91306,129,Winnetka,79425,425429,46903,19193,6.72
172,91307,323,West Hills,135866,1441657,24952,13469,23.98
173,91311,309,Chatsworth,118345,1093829,38609,20640,14.97
174,91316,368,Encino,103968,731822,28808,14649,25.12
175,91320,582,Newbury Park,143648,1270033,45038,24368,23.88
176,91321,92,Newhall,88605,619146,37585,14677,6.27
177,91324,147,Northridge,97386,608537,29099,13355,11.01
178,91325,177,Northridge,98211,699763,34940,15109,11.71
179,91326,810,Porter Ranch,139870,1522543,36377,20906,38.74
180,91331,65,Pacoima,63208,235670,109024,36579,1.78
181,91335,151,Reseda,73121,261729,77677,30784,4.91
182,91340,27,San Fernando,59630,189128,37229,13676,1.97
183,91342,178,Sylmar,77173,415201,96580,41314,4.31
184,91343,141,North Hills,78425,476746,63181,24830,5.68
185,91344,383,Granada Hills,111994,1158138,52450,26694,14.35
186,91345,36,Mission Hills,84499,482163,19383,8720,4.13
187,91350,429,Santa Clarita,132465,1256389,39026,22642,18.95
188,91351,97,Canyon Country,91078,615569,32567,15841,6.12
189,91352,68,Sun Valley,71041,320464,50219,20353,3.34
190,91354,429,Valencia,139161,942945,31614,17912,23.95
191,91355,289,Valencia,119330,909188,35571,19201,15.05
192,91356,498,Tarzana,132921,1369568,29731,15907,31.31
193,91360,296,Thousand Oaks,129574,1314973,44472,20868,14.18
194,91361,478,Westlake Village,166828,1854091,20786,12825,37.27
195,91362,688,Thousand Oaks,161540,1770328,37355,22803,30.17
196,91364,401,Woodland Hills,160518,1590126,26975,15245,26.3
197,91367,497,Woodland Hills,121497,974122,43670,22841,21.76
198,91377,255,Oak Park,181554,1492577,14245,8406,30.34
199,91381,388,Stevenson Ranch,157862,918692,19887,11252,34.48
200,91384,99,Castaic,133698,1014464,30933,12027,8.23
201,91387,297,Canyon Country,110860,758188,43849,21288,13.95
202,91390,127,Santa Clarita,143814,1180205,21685,10956,11.59
203,91401,179,Van Nuys,82920,342491,41603,17656,10.14
204,91402,61,Panorama City,55078,137216,74276,23374,2.61
205,91403,466,Sherman Oaks,132678,949848,23147,13670,34.09
206,91405,81,Van Nuys,60769,106123,52897,23800,3.4
207,91406,181,Van Nuys,71740,255376,55068,23324,7.76
208,91411,104,Van Nuys,76692,207784,26030,9677,10.75
209,91423,459,Sherman Oaks,129164,751791,31247,17095,26.85
210,91436,681,Encino,213009,2626425,14216,10466,65.07
211,91501,95,Burbank,91902,436870,21207,10170,9.34
212,91502,43,Burbank,56999,72947,12752,5443,7.9
213,91504,169,Burbank,108498,879492,26645,13186,12.82
214,91505,229,Burbank,98280,412924,32686,15474,14.8
215,91506,111,Burbank,110765,633859,19294,9358,11.86
216,91601,167,North Hollywood,71800,134791,39611,15442,10.81
217,91602,223,North Hollywood,108939,387835,17784,9912,22.5
218,91604,629,Studio City,147998,898797,30190,16349,38.47
219,91605,88,North Hollywood,62031,202026,57864,22543,3.9
220,91606,88,North Hollywood,61774,160007,46594,17150,5.13
221,91607,203,Valley Village,94301,311034,31927,13959,14.54
222,91701,164,Rancho Cucamonga,105282,997816,40464,20637,7.95
223,91702,190,Azusa,73870,335223,63465,24058,7.9
224,91706,123,Baldwin Park,67399,242148,78906,31234,3.94
225,91708,126,Chino,116706,535702,9038,7258,17.36
226,91709,981,Chino Hills,128066,1030773,78366,43964,22.31
227,91710,443,Chino,93050,579195,84517,41724,10.62
228,91711,303,Claremont,128594,1348155,38403,15803,19.17
229,91722,64,Covina,79632,382013,37549,15659,4.09
230,91723,38,Covina,78368,312185,18895,8602,4.42
231,91724,86,Covina,99322,865970,27658,12682,6.78
232,91730,233,Rancho Cucamonga,82939,404364,68858,34724,6.71
233,91731,49,El Monte,52971,172794,29514,10956,4.47
234,91732,118,El Monte,58419,171873,64867,21420,5.51
235,91733,78,South El Monte,57838,180486,46107,16160,4.83
236,91737,177,Rancho Cucamonga,137859,1299038,24644,13286,13.32
237,91739,489,Rancho Cucamonga,138582,926096,40672,21676,22.56
238,91740,91,Glendora,91060,603415,26538,12315,7.39
239,91741,212,Glendora,118203,1271792,27280,13710,15.46
240,91744,88,La Puente,70385,322567,87071,33184,2.65
241,91745,375,Hacienda Heights,102176,804861,55799,27028,13.87
242,91746,36,La Puente,76775,359256,31934,13641,2.64
243,91748,391,Rowland Heights,91524,668865,46811,22995,17.0
244,91750,194,La Verne,108367,1148637,34749,17548,11.06
