zip,False,True
90000,244.0,86.0
90001,31865.0,2684.0
90002,28658.0,2155.0
90003,38503.0,2715.0
90004,30600.0,3494.0
90005,16073.0,1576.0
90006,26972.0,2142.0
90007,16685.0,1529.0
90008,18159.0,1644.0
90009,895.0,201.0
90010,5891.0,886.0
90011,54198.0,3716.0
90012,21869.0,14072.0
90013,3907.0,1036.0
90014,3007.0,478.0
90015,10814.0,1327.0
90016,29031.0,2833.0
90017,10719.0,1663.0
90018,29230.0,2421.0
90019,35679.0,3964.0
90020,18229.0,1998.0
90021,2350.0,1581.0
90022,39159.0,3319.0
90023,25772.0,2798.0
90024,17329.0,2754.0
90025,26538.0,4043.0
90026,34277.0,4566.0
90027,24772.0,4251.0
90028,14643.0,1902.0
90029,17752.0,1829.0
90030,94.0,8.0
90031,21799.0,2136.0
90032,28000.0,2738.0
90033,23345.0,1916.0
90034,33673.0,4525.0
90035,16694.0,2564.0
90036,21479.0,3285.0
90037,32954.0,2223.0
90038,14657.0,2034.0
90039,18717.0,3350.0
90040,10029.0,2673.0
90041,17300.0,2340.0
90042,36009.0,4012.0
90043,28226.0,2627.0
90044,50442.0,3465.0
90045,116762.0,18515.0
90046,29438.0,5419.0
90047,32277.0,2715.0
90048,13726.0,2289.0
90049,23412.0,4628.0
90050,154.0,9.0
90051,150.0,220.0
90053,67.0,9.0
90054,338.0,167.0
90055,37.0,3.0
90056,6490.0,823.0
90057,17294.0,1406.0
90058,3558.0,2406.0
90059,23223.0,2055.0
90060,86.0,13.0
90061,16617.0,1545.0
90062,19776.0,1384.0
90063,36649.0,7508.0
90064,18391.0,3441.0
90065,29475.0,4549.0
90066,34687.0,5532.0
90067,3785.0,850.0
90068,13935.0,2762.0
90069,14356.0,2184.0
90070,36.0,5.0
90071,586.0,178.0
90072,32.0,3.0
90073,80.0,10.0
90075,100.0,7.0
90076,71.0,4.0
90077,6406.0,1274.0
90078,368.0,45.0
90079,58.0,13.0
90081,39.0,4.0
90082,60.0,2.0
90083,106.0,7.0
90086,199.0,95.0
90087,43.0,5.0
90089,344.0,124.0
90091,79.0,21.0
90093,142.0,18.0
90094,5501.0,971.0
90095,423.0,715.0
90096,49.0,2.0
90200,26.0,
90201,56264.0,4807.0
90202,159.0,109.0
90208,9.0,1.0
90209,555.0,148.0
90210,16128.0,2488.0
90211,7653.0,1151.0
90212,9062.0,1407.0
90213,341.0,39.0
90220,32307.0,3791.0
90221,32624.0,4140.0
