,fuel,vehicles
0,Battery Electric,214056
1,Diesel and Diesel Hybrid,319455
2,Flex-Fuel,993727
3,Gasoline,16175196
4,Hybrid Gasoline,994696
5,Hydrogen Fuel Cell,5092
6,Natural Gas,6569
7,Other,368
8,Plug-in Hybrid,201969
