,zip,toyota,honda,ford,chevrolet,nissan,bmw,hyundai,lexus,mercedes_benz,kia,total
266,91724,2637,1948,974,856,885,381,536,407,402,531,11510
267,91729,45,0,0,22,24,0,0,0,0,0,91
268,91730,6634,4766,3467,3061,3115,962,1475,966,1230,1573,34577
269,91731,3026,2082,398,577,1097,253,331,684,235,315,10019
270,91732,6441,4514,855,1186,2330,555,678,1009,572,727,21677
271,91733,4421,2937,1084,1021,1732,325,392,673,425,478,15453
272,91734,0,0,66,0,0,0,0,0,0,0,544
273,91737,2339,1542,1081,1040,744,489,465,611,679,494,11836
274,91739,3873,2908,1460,1599,1282,1011,693,981,1312,678,20693
275,91740,2526,1867,999,1054,868,319,669,269,312,483,11115
276,91741,2690,1883,1133,974,507,492,530,547,522,429,12463
277,91744,8857,6241,1756,2693,4013,586,1053,809,632,1390,33948
278,91745,6764,4833,1193,1292,1505,1068,1012,1814,1474,676,27034
279,91746,3201,2332,783,1145,1375,225,396,298,272,508,12637
280,91748,6193,4021,783,687,1303,1052,711,1613,1575,380,22653
281,91750,3341,2307,1794,1478,940,502,794,710,552,613,16525
282,91751,0,0,0,0,0,0,0,0,0,0,12
283,91752,3769,2436,1902,1710,1565,420,642,483,614,772,18740
284,91754,4915,3454,489,393,825,658,397,1169,769,293,15581
285,91755,4270,3034,266,197,651,526,263,1022,651,203,12785
286,91761,6689,4452,3141,3548,3277,958,1107,904,1214,1422,35071
287,91762,5858,4125,2001,2772,3046,544,1010,608,577,1301,26559
288,91763,3873,2712,1145,1349,1975,332,508,331,361,691,15557
289,91764,5014,3368,1496,2183,2843,419,800,392,538,1037,21942
290,91765,5949,4336,1045,869,1057,1392,1007,2008,1990,529,25357
291,91766,6555,4284,1721,2266,3111,550,834,640,643,1505,26959
292,91767,4560,2948,1128,1594,2230,375,681,364,388,981,18185
293,91768,2712,1716,810,1042,1472,188,424,169,261,623,11738
294,91770,9204,5727,3644,672,1559,889,603,2128,1055,542,30259
295,91773,3420,2382,1527,1589,943,550,798,622,817,628,16688
296,91775,2732,2126,289,198,476,611,236,848,693,168,10238
297,91776,5731,3888,351,267,919,794,361,1332,929,341,17454
298,91780,4862,3430,493,391,782,862,359,1449,993,298,16528
299,91784,2761,1875,1412,1395,703,635,520,865,860,394,14962
300,91786,4847,3363,2624,2560,2181,503,1060,605,602,1196,24218
301,91789,5750,3930,823,677,850,1380,676,1842,2024,414,23033
302,91790,5000,3981,1061,1290,1669,587,620,881,623,845,19789
303,91791,3671,2865,769,827,1103,531,487,836,1036,558,15883
304,91792,3445,2572,434,524,1068,408,484,633,551,415,12316
305,91801,6538,5011,704,491,1313,1104,596,1371,894,650,22978
306,91802,0,0,451,0,0,0,0,0,0,0,513
307,91803,3926,2898,640,326,709,531,321,713,483,312,12814
308,91901,1475,744,1524,695,557,143,346,221,145,315,7774
309,91902,1766,1156,746,412,702,403,371,333,442,313,8382
310,91905,37,0,27,0,14,0,0,0,0,0,78
311,91906,269,57,219,74,143,0,40,0,0,45,858
312,91910,6962,4865,3408,2145,4275,998,1601,769,1040,1657,36810
313,91911,7569,5106,4094,2790,5632,789,1600,504,701,2045,40614
314,91912,77,24,12,0,82,0,0,0,0,0,227
315,91913,5197,4340,1727,1144,2416,1232,1002,1085,1156,1024,27334
316,91914,1674,1309,604,268,629,595,297,371,600,279,8647
317,91915,3026,2412,1061,653,1433,799,610,581,736,590,15865
318,91916,96,0,28,0,24,0,0,0,0,0,148
319,91917,51,0,0,0,13,0,0,0,0,0,64
320,91932,1698,1045,1007,701,1188,150,454,28,120,457,8692
321,91935,816,405,609,228,291,88,134,66,81,96,3338
322,91941,3002,1908,1431,795,1026,496,773,567,408,579,14495
323,91942,3856,2485,1857,927,1482,359,1049,364,278,818,17320
324,91945,2553,1555,1163,757,1244,173,516,134,116,500,10484
325,91950,4689,3109,2249,1665,3444,366,931,273,368,882,22656
326,91951,11,0,0,0,0,0,0,0,0,0,11
327,91962,137,34,84,0,0,0,0,0,0,0,255
328,91963,114,11,0,0,37,0,0,0,0,0,162
329,91977,5286,3368,2628,1917,3095,612,1244,551,496,1204,25972
330,91978,948,537,528,242,481,55,220,99,95,184,3771
331,91980,180,24,51,15,123,0,0,0,0,0,415
332,92003,482,213,170,51,135,11,68,25,57,11,1369
333,92004,221,96,115,53,73,0,12,0,0,0,668
334,92007,1121,453,355,48,183,248,69,173,238,87,4482
335,92008,3018,1394,1611,655,751,542,581,857,571,495,14475
336,92009,4402,2550,1847,739,863,1495,926,1779,1359,583,24803
337,92010,2117,1115,790,322,487,355,420,462,303,305,8802
338,92011,2539,1398,928,356,490,714,429,933,771,327,12969
339,92014,1171,630,326,63,122,670,147,605,569,47,7077
340,92018,0,19,0,0,0,0,0,0,103,0,396
341,92019,4443,2304,2452,1248,1732,827,983,827,849,820,21205
342,92020,5644,2910,3164,1915,2634,733,1374,720,570,1127,26011
343,92021,6030,2920,4245,2294,3146,556,1590,492,443,1509,29298
344,92023,12,0,0,0,0,0,0,0,0,0,12
345,92024,5669,2608,2554,879,997,1433,857,1440,1243,610,27857
346,92025,4795,1983,1923,1354,2070,445,834,624,523,826,19290
347,92026,5866,2613,2039,1437,2205,576,1207,927,550,1007,23735
348,92027,6058,2628,1879,1676,2455,429,1106,665,406,1111,23144
349,92028,5423,2227,2626,1639,1783,603,1044,877,685,868,23486
350,92029,2162,1156,1411,1093,789,394,494,777,401,449,11882
351,92036,249,95,110,22,76,0,12,0,0,0,706
352,92037,3181,1823,930,366,586,1741,477,1396,1831,261,19930
353,92040,3428,1808,4159,1858,1740,286,997,302,207,1059,19986
354,92046,15,0,0,0,0,77,0,0,0,0,109
355,92054,3798,1478,1605,740,1367,370,738,376,363,686,15164
356,92055,109,170,43,79,110,14,77,0,0,11,693
357,92056,5987,2991,2774,1418,2669,669,1309,1030,582,1143,26620
358,92057,6189,3069,2505,1445,2854,689,1426,884,611,1219,26816
359,92058,3051,1453,1552,1112,1551,288,762,155,186,652,13640
360,92059,66,0,0,132,0,0,0,0,0,0,211
361,92061,186,22,0,104,37,0,0,0,0,0,349
362,92064,5079,3653,2717,1235,1890,806,1375,1141,772,648,25754
363,92065,2930,1567,2949,1353,1371,297,878,355,262,689,16645
364,92067,508,159,289,61,29,614,33,546,1123,14,5798
365,92069,5441,2649,2152,1218,2109,459,1022,689,443,923,21858
366,92070,26,0,0,0,0,0,0,0,0,0,26
367,92071,5466,3140,3955,2153,2313,504,1554,612,382,1376,27306
368,92072,11,0,0,0,0,0,0,0,0,0,11
369,92075,1130,501,364,98,214,450,144,451,424,54,5830
370,92078,4985,2804,2190,1142,1543,896,1055,1157,853,925,24368
371,92079,11,0,0,0,27,0,0,0,0,0,38
372,92081,2988,1610,1693,757,1270,414,760,507,415,559,13894
373,92082,2151,737,1141,827,686,204,385,209,234,307,8743
374,92083,3819,1512,1474,1010,2068,275,694,251,196,590,14459
375,92084,4914,2001,2388,1347,2157,409,826,572,388,750,19998
376,92085,22,0,13,0,0,0,0,0,0,0,35
377,92086,13,0,0,0,12,0,0,0,0,0,25
378,92091,0,0,0,0,0,41,0,25,107,0,243
379,92092,46,15,0,0,0,0,0,0,0,0,61
380,92093,0,0,0,0,0,0,0,0,0,0,46
381,92101,2660,1625,5015,3516,1652,1736,879,762,1220,650,28464
382,92102,3171,1896,1169,851,1880,362,628,185,247,587,14082
383,92103,2776,1882,790,466,862,883,694,691,609,516,15506
384,92104,3900,2650,1222,777,1563,527,1008,396,339,753,18708
385,92105,6705,3476,3027,1438,2640,420,838,617,371,859,24580
386,92106,1478,864,652,284,406,492,286,424,430,210,8027
387,92107,2580,1386,967,436,721,421,489,323,279,360,11565
388,92108,2137,1493,764,535,844,620,615,404,534,418,11690
389,92109,3954,2206,1771,779,1161,949,841,720,645,574,20195
390,92110,2515,1380,1296,723,1027,474,820,395,319,547,12210
391,92111,5263,2969,2118,1313,1814,704,945,826,591,742,22085
392,92112,11,0,22,0,0,0,0,0,0,0,33
393,92113,3230,2088,1568,1462,2728,252,638,106,204,677,15934
394,92114,6458,4341,1941,1823,3516,607,1121,722,612,1137,27729
395,92115,5163,3009,1503,990,1807,495,1028,542,377,881,20488
396,92116,2977,2150,829,492,1030,475,730,333,249,584,14131
397,92117,5383,3225,2123,1231,1899,679,1103,765,474,917,23713
398,92118,1182,777,545,228,257,471,225,429,553,123,6920
399,92119,2705,1761,1029,528,838,249,649,338,206,440,11003
400,92120,3315,2136,1204,714,952,578,750,622,456,510,14782
401,92121,635,361,1067,324,229,172,12,116,171,12,3777
402,92122,3682,2925,932,393,1063,1062,804,916,867,435,17968
403,92123,2981,1973,3813,1212,1105,447,702,469,348,478,16975
404,92124,2448,1793,941,529,907,446,565,528,367,404,11939
405,92126,9186,7100,2264,1296,2896,1082,1524,1647,913,973,36611
406,92127,4546,4180,1434,627,1194,1562,898,1704,1483,563,25869
407,92128,5297,4471,1640,653,1732,1009,1406,1824,1052,747,26406
408,92129,6264,4833,1653,781,1736,1074,1272,1624,969,621,27368
409,92130,5378,4269,1356,631,1175,2829,943,2472,2306,547,33454
410,92131,3794,3274,1357,556,991,1081,819,1537,906,395,20302
411,92136,42,96,0,35,80,44,0,0,0,0,309
412,92138,0,0,0,0,11,0,0,0,0,0,11
413,92139,3436,2545,995,855,1863,332,699,329,320,602,14718
414,92142,0,0,12,0,0,0,0,0,0,0,23
415,92143,55,0,12,0,86,0,0,0,0,0,153
416,92145,0,59,0,0,0,0,0,0,0,0,59
417,92153,11,0,0,0,11,0,0,0,0,0,22
418,92154,8065,5495,4155,2828,6013,1070,1580,535,964,1986,48300
419,92163,0,0,0,0,0,0,0,0,0,0,57
420,92170,0,0,41,0,0,0,0,0,0,0,41
421,92173,3233,1869,1948,1410,3208,398,646,22,341,848,18603
422,92201,5488,3855,2827,1977,3213,314,1112,501,379,782,25552
423,92202,108,23,38,0,56,0,0,0,0,0,225
424,92203,3007,2127,2067,870,1109,368,732,591,446,451,15317
425,92210,125,85,82,14,0,122,19,251,365,0,1432
426,92211,2370,1617,1704,617,849,536,792,1128,864,354,14268
427,92220,2464,1615,1129,1683,1281,107,747,231,150,695,12557
428,92223,5910,3980,2817,3209,2363,481,1409,608,618,1308,29460
429,92225,758,641,849,1017,360,0,130,0,0,166,4655
430,92227,2263,1523,1854,1516,1779,61,527,41,27,393,11942
431,92230,75,12,617,212,58,0,0,0,0,0,1108
432,92231,5089,3387,2584,2407,4134,285,1219,56,196,804,27058
433,92232,161,48,27,23,175,0,0,0,0,0,445
434,92233,252,162,203,95,199,0,11,0,0,29,963
435,92234,5032,3222,2186,1550,2497,438,951,547,418,994,22668
436,92235,11,0,0,0,0,0,0,0,0,0,11
437,92236,4009,2620,1746,1416,2491,102,408,132,92,394,16003
438,92240,3129,1921,1279,1173,1827,147,708,103,151,933,13688
439,92241,504,331,274,174,270,0,101,0,0,163,1922
440,92243,4651,3256,3026,2566,3530,258,1215,145,204,778,24512
441,92244,0,0,0,0,12,0,0,0,0,0,12
442,92248,11,0,0,0,13,0,0,0,0,0,24
443,92249,738,546,304,347,546,0,144,0,0,66,3097
444,92250,698,462,516,451,597,0,136,0,0,79,3162
445,92251,2417,1545,1721,1323,1538,105,488,88,60,397,11631
446,92252,439,293,254,109,223,0,85,0,0,128,1867
447,92253,3102,2134,1919,996,1348,789,1078,1076,1047,492,18971
448,92254,994,603,310,340,733,0,30,0,0,0,3224
449,92255,18,0,0,0,0,0,0,0,0,0,18
450,92256,198,96,40,0,31,0,12,0,0,23,430
451,92257,12,0,11,0,0,0,0,0,0,0,23
452,92258,13,0,0,0,12,0,0,0,0,0,25
453,92260,2416,1667,1500,593,1109,538,748,818,719,496,14159
454,92262,1833,1281,1068,545,903,603,601,349,582,510,11333
455,92263,12,0,0,0,12,0,0,0,0,0,24
456,92264,1364,938,645,280,579,633,584,340,598,383,8813
457,92270,1071,693,632,191,408,636,420,960,1000,201,9271
458,92273,63,43,0,12,62,0,0,0,0,0,180
459,92274,1416,818,772,614,1055,0,154,0,12,125,5686
460,92275,0,0,0,13,14,0,0,0,0,0,27
461,92276,740,450,604,194,407,0,109,0,0,115,2699
462,92277,982,634,844,566,739,0,373,0,0,369,5909
463,92278,0,34,0,11,12,0,0,0,0,0,57
464,92281,146,43,12,27,136,0,0,0,0,0,364
465,92282,13,0,0,0,0,0,0,0,0,0,13
466,92283,0,0,0,0,12,0,0,0,0,0,12
467,92284,1596,913,1111,718,798,75,469,34,25,500,8195
468,92285,17,0,0,0,12,0,0,0,0,0,29
469,92301,2250,1572,856,1391,1565,131,546,29,78,937,11640
470,92305,0,0,0,0,0,0,0,0,0,0,15
471,92307,3100,1812,1732,1741,1333,171,710,249,249,1183,16365
472,92308,3232,1852,1686,1768,1350,188,756,233,247,1256,16358
473,92310,157,125,125,103,124,0,24,0,0,24,824
474,92311,2074,1095,1105,1153,1240,85,451,40,13,724,9841
475,92313,1194,814,457,510,478,55,262,103,82,290,4746
476,92314,463,144,396,215,161,0,0,0,0,67,2532
477,92315,332,70,285,117,82,0,15,0,0,0,1597
478,92316,2704,1832,1135,1644,1767,188,291,100,189,709,13246
479,92317,154,24,80,27,0,0,0,0,0,0,595
480,92320,985,537,483,464,396,16,221,0,0,198,3758
481,92321,0,0,0,0,0,0,0,0,0,0,41
482,92324,4912,3431,1996,2522,3189,390,914,301,360,1411,24135
483,92325,673,300,367,195,267,0,99,0,0,148,3322
484,92329,307,79,110,57,73,0,14,0,0,37,789
485,92331,0,0,0,0,0,0,0,0,0,16,16
486,92334,11,12,0,0,0,0,0,0,0,0,23
487,92335,7605,5928,3506,4592,5448,547,1001,482,535,2172,42601
488,92336,9883,8365,3654,5435,5193,1376,1700,1526,1699,2541,52290
489,92337,3752,2652,1360,1704,2211,396,563,399,394,860,18595
490,92339,23,0,0,0,0,0,0,0,0,0,63
491,92340,25,0,0,0,0,0,0,0,0,0,25
492,92342,455,256,221,212,208,0,135,11,0,204,1889
493,92344,1978,1317,819,1015,881,129,357,95,167,630,9178
494,92345,6715,4127,3489,3911,3255,326,1257,289,321,2352,34599
495,92346,5556,3597,2104,2403,2470,488,1063,692,598,1324,25556
496,92347,22,0,0,0,0,0,0,0,0,0,22
497,92352,366,162,155,65,37,11,0,0,12,0,1576
498,92354,2230,1723,414,368,696,260,480,328,292,303,8358
499,92356,274,132,139,49,76,0,11,0,0,77,799
500,92359,747,491,301,279,376,0,120,0,0,169,2720
501,92363,170,11,125,140,147,0,23,0,0,0,629
502,92365,67,0,0,0,0,0,0,0,0,0,67
503,92371,920,501,450,570,365,0,170,0,0,271,3930
504,92372,363,172,143,193,107,0,37,0,0,66,1232
505,92373,3430,2270,1529,965,1035,530,706,629,568,495,16377
506,92374,4228,2646,1609,1444,1702,381,850,401,396,746,18124
507,92376,6715,5222,2400,4167,5003,536,979,445,507,2128,34297
508,92377,1820,1494,807,1295,1157,187,368,225,284,578,9667
509,92382,330,116,120,88,77,0,0,0,0,0,1463
510,92386,11,0,11,0,0,0,0,0,0,0,130
511,92391,88,11,22,0,0,0,0,0,0,0,301
512,92392,4717,3443,1917,2751,2560,452,1113,325,432,1812,25001
513,92393,59,11,0,11,14,0,11,0,0,15,140
514,92394,2607,1826,882,1431,1537,223,573,155,221,1053,13064
515,92395,3057,1991,1311,1615,1676,290,755,199,287,1289,15787
516,92397,384,229,163,68,55,0,17,0,0,11,1523
517,92398,35,0,0,0,0,0,0,0,0,0,49
518,92399,5287,2961,3051,2576,1851,414,1212,473,393,1143,25215
519,92401,0,0,0,0,28,0,0,0,0,0,28
520,92404,4079,2719,1512,2358,2795,279,847,227,248,1353,20044
521,92405,1974,1296,633,1158,1495,91,355,53,64,637,8997
522,92407,5092,3641,2113,3100,3028,491,947,477,539,1552,26209
523,92408,1124,703,1198,460,748,0,147,23,25,220,5445
524,92410,3300,2127,1261,1714,2603,189,575,115,155,1033,15466
525,92411,1620,1175,571,1100,1348,56,216,36,11,535,7598
526,92415,68,0,2204,158,32,0,0,0,0,0,2750
527,92501,1781,1105,1113,756,892,104,406,12,153,396,7970
528,92503,8944,5718,3564,3182,3812,945,1680,936,1067,1808,40241
529,92504,5196,3185,4060,2296,2148,660,1103,498,571,1150,26345
530,92505,4715,3124,1488,1604,2058,407,972,366,410,976,19713
531,92506,4373,2779,2211,1438,1261,633,964,838,712,872,21513
532,92507,4469,2857,2377,1729,2397,429,993,373,524,966,21711
533,92508,3615,2484,1765,1322,1128,545,791,567,642,726,17477
534,92509,7052,4434,4017,3596,3542,499,1137,459,510,1551,34904
535,92517,0,0,61,0,0,0,0,0,0,0,61
536,92518,0,0,28,0,0,0,0,0,0,0,40
537,92522,0,0,27,11,0,0,0,0,0,0,38
538,92530,4915,2993,2474,2528,2326,438,1249,272,424,1225,23716
539,92532,2422,1571,1150,1042,913,523,633,305,616,609,12222
540,92536,219,64,40,97,43,0,24,0,0,0,542
541,92539,292,59,53,78,76,0,46,0,0,11,656
542,92543,2301,1375,1099,1281,1849,95,887,43,100,662,11377
543,92544,3481,2077,1699,1934,2105,244,1212,122,154,812,17159
544,92545,3413,2220,1749,1874,2185,242,1362,216,260,931,17448
545,92548,501,291,134,223,354,0,87,0,0,80,1710
546,92549,259,121,63,11,22,0,0,0,0,0,908
547,92551,2680,1814,720,1236,1757,265,560,179,294,714,12443
548,92552,12,22,0,0,37,0,0,0,0,0,71
549,92553,5936,4162,1731,2666,4062,469,1184,321,425,1467,27836
550,92554,0,0,11,0,0,0,0,0,0,0,11
551,92555,3934,2906,1201,1733,1923,567,995,503,661,857,19643
552,92557,4843,3247,1583,1916,2585,456,1123,468,518,1155,22745
553,92561,45,0,0,0,0,0,0,0,0,0,70
554,92562,5787,3858,3717,3067,1999,1175,1967,938,1108,1270,33609
555,92563,6907,4919,2934,2827,2545,1181,2156,930,1224,1548,35929
556,92567,807,417,320,460,406,0,131,0,0,198,3023
557,92570,4793,2641,1994,2465,2603,323,715,227,300,1173,21734
558,92571,5352,3451,1523,2306,3136,384,783,327,436,1303,23507
559,92572,0,0,48,11,0,0,0,0,0,0,59
560,92581,26,0,11,72,11,0,0,0,0,0,131
561,92582,1664,1148,618,948,1097,109,423,43,116,375,7475
562,92583,2153,1468,860,1299,1496,132,673,48,156,568,10482
563,92584,5032,3278,2873,2638,1946,669,1683,558,742,1294,27081
564,92585,2290,1410,1011,1021,984,225,619,140,220,589,10403
565,92586,1956,1139,1010,872,978,88,749,40,84,701,9120
566,92587,1416,748,1055,854,557,207,416,148,208,336,7474
567,92589,12,0,0,0,0,0,0,0,0,0,12
568,92590,403,215,464,202,138,43,71,0,82,39,1858
569,92591,3844,2465,1612,1467,1395,640,1224,534,730,833,19594
570,92592,7525,5049,3860,3147,2451,1471,2466,1275,1671,1523,41978
571,92595,3090,1831,1685,1507,1200,334,909,204,275,768,15191
572,92596,2949,1811,1285,1261,1050,370,820,268,361,601,13917
573,92602,2684,1996,432,290,467,1212,638,1247,1506,278,14862
574,92603,1726,1150,262,126,200,929,325,1011,1335,97,10291
575,92604,3185,2122,488,378,565,608,687,843,728,326,12650
576,92606,2431,1737,621,290,476,657,524,739,806,775,11420
577,92610,1185,955,560,171,296,334,315,310,502,183,6327
578,92612,2527,1663,718,228,458,1058,506,827,1499,249,12952
579,92614,3049,2192,1051,427,626,962,732,911,1164,326,16129
580,92617,650,532,40,0,115,99,116,0,97,14,2247
581,92618,5227,3750,1772,1041,1168,2983,1215,1899,3036,603,32363
582,92619,0,0,12,0,0,0,0,0,0,0,12
583,92620,6369,4604,904,617,978,2408,1316,2508,2708,543,31432
584,92623,0,0,18,0,0,0,0,0,0,0,18
585,92624,626,348,263,38,133,92,113,54,135,64,2355
586,92625,568,259,263,44,0,748,74,547,1106,12,6176
587,92626,4954,3114,2734,1573,1568,925,1019,988,1134,780,30729
588,92627,5864,2830,2329,1389,1768,1010,845,749,1027,771,26138
589,92629,2301,1296,1150,430,557,829,523,872,1219,358,13847
590,92630,6956,5134,3619,1573,2024,1273,1846,1444,1421,1236,35584
591,92637,1854,1467,429,114,397,160,796,664,436,335,7720
592,92646,6099,3703,2738,1883,1248,1063,1254,1525,1267,947,29865
593,92647,5834,3845,2424,1891,1729,813,1263,1150,832,936,27324
594,92648,4475,2411,2150,1324,871,1342,851,1448,1672,749,24997
595,92649,3417,1977,1866,1074,718,805,652,1014,1102,528,18267
596,92651,1825,812,663,255,274,1213,302,765,1434,212,13462
597,92653,2873,1945,1259,646,776,742,712,753,1066,423,15205
598,92655,1001,638,37,13,178,0,82,190,12,27,2192
599,92656,4885,3908,1906,1047,1256,1544,1451,1352,1550,945,28535
600,92657,344,167,143,26,0,708,17,450,1369,0,5558
601,92658,0,0,0,0,0,0,0,0,48,0,63
602,92660,2751,1173,1501,799,406,1885,479,1637,3491,297,23450
603,92661,124,37,43,0,0,49,0,14,171,0,665
604,92662,12,12,35,0,0,81,0,54,187,0,481
605,92663,1405,629,641,342,250,910,287,504,1023,164,9869
606,92672,3445,1749,1915,802,769,668,620,817,973,545,18045
607,92673,2559,1471,1688,656,490,789,538,926,1202,322,16434
608,92675,3139,1998,1659,846,1025,663,611,755,1106,548,17361
609,92676,50,35,0,0,0,0,0,0,0,0,110
610,92677,5625,3976,2524,1123,1353,2377,1630,2467,3444,879,37466
611,92679,2688,1990,1801,655,477,1172,731,1152,1713,436,19170
612,92683,12577,8066,1970,1532,2228,982,1409,3543,1486,1015,41567
613,92688,4449,3806,3071,1129,1193,833,1267,989,997,812,24764
614,92691,5284,3528,2300,1221,1322,827,1404,1168,1020,907,25403
615,92692,4662,3557,2104,977,1070,1220,1462,1850,1657,762,27096
616,92694,2565,2060,1430,748,534,1148,768,1015,1410,439,19068
617,92701,3506,2408,2138,1672,2020,218,446,197,188,575,15261
618,92702,0,0,22,0,0,0,0,0,0,0,22
619,92703,6196,3829,1002,1777,2488,348,662,721,371,702,20891
620,92704,8843,5693,1733,2277,3380,650,1082,1223,722,1081,32011
621,92705,4316,2598,2382,1527,1389,1317,1023,1063,1215,598,24105
622,92706,3298,2157,752,1056,1256,326,497,392,362,429,12555
623,92707,5392,3734,1188,1728,2346,452,675,441,428,769,20562
624,92708,6976,4819,2224,1265,1207,882,2544,2263,1184,772,30667
625,92780,5590,3779,1764,1460,2027,609,1236,765,665,784,24051
626,92782,2784,2054,553,330,565,1016,744,1215,1119,273,15334
627,92801,6328,4266,2002,1501,2463,527,1156,708,577,933,24324
628,92802,3786,2627,890,1143,1704,297,686,456,334,599,14631
629,92804,9117,6388,1948,1764,2994,779,1619,1354,847,1304,33623
630,92805,6574,4476,2991,2009,3099,662,1112,647,706,1024,34507
631,92806,3994,2813,3127,1573,1634,457,859,512,573,636,20507
632,92807,3858,2860,2651,1436,1014,751,1020,1068,1414,607,21829
633,92808,1976,1685,809,487,388,588,507,656,894,252,10876
634,92821,4200,3305,3108,1218,1063,791,1161,1045,912,677,22517
635,92823,477,390,93,12,40,157,83,199,204,16,1972
636,92831,3156,2305,1439,751,1018,411,833,507,454,502,14169
637,92832,2093,1440,909,448,791,267,502,247,230,399,8880
638,92833,5574,4056,1662,1040,1525,1190,1444,1706,1205,829,24966
639,92835,2390,1806,1170,528,487,565,593,857,780,318,12290
640,92840,6864,4161,1274,1268,1690,460,942,1241,553,687,22446
641,92841,4527,2756,816,725,900,289,577,991,411,415,14131
642,92842,12,22,0,0,0,0,0,0,0,0,34
643,92843,6133,3559,702,886,1395,332,616,1276,481,454,18010
644,92844,3384,2060,239,218,705,233,457,792,285,191,9320
645,92845,1564,1176,737,569,377,148,430,302,112,270,6923
646,92860,1915,1088,2166,1169,609,201,473,199,268,351,11042
647,92861,362,187,191,62,0,139,42,211,330,0,2012
648,92863,0,24,14,0,0,0,0,0,0,0,38
649,92865,2121,1319,1826,941,731,240,478,244,295,317,10241
650,92866,1163,821,462,409,451,111,271,71,113,213,5004
651,92867,4304,2503,2509,1753,1280,720,888,911,999,571,22008
652,92868,2554,1549,5022,1753,1820,245,531,242,341,366,16416
653,92869,3703,2278,1390,1119,958,608,770,923,824,458,17380
654,92870,5337,4123,2731,1674,1409,610,1284,1073,789,828,25305
655,92878,625,434,452,281,248,24,171,22,25,51,3182
656,92879,4650,3038,2239,1586,1876,543,1074,558,628,867,21133
657,92880,7695,5420,3010,2680,2267,1372,1490,1501,1783,1182,36489
658,92881,3094,2197,1723,1218,957,492,844,555,667,593,15799
659,92882,6935,4733,2937,2398,2575,877,1749,925,926,1193,32650
660,92883,3431,2328,2312,1355,1000,711,1033,795,864,687,18784
661,92886,4752,3717,3181,1667,818,1158,1272,1573,1822,657,28418
662,92887,1925,1721,1106,641,404,510,507,711,950,252,11600
663,93001,2803,1644,1169,965,980,328,414,320,329,471,12813
664,93002,0,0,19,0,0,0,0,0,0,0,19
665,93003,4847,2907,2463,2052,1365,522,800,657,586,931,23608
666,93004,2879,1924,1764,1573,926,262,551,357,240,543,14387
667,93010,3788,2804,2202,1503,1327,793,884,911,685,715,21618
668,93012,3501,2671,1701,1107,840,817,745,912,738,489,18913
669,93013,1573,858,520,483,492,181,88,129,199,109,5886
670,93015,1237,1004,464,1416,607,41,149,103,17,243,6102
671,93021,3364,2813,1839,1534,1128,734,637,904,722,604,19659
672,93022,502,274,243,109,112,0,25,0,0,15,1503
673,93023,1812,908,774,599,371,224,253,216,201,253,7801
674,93030,4073,2782,1805,1860,3122,388,638,558,494,667,21598
675,93031,25,0,11,0,34,0,0,0,0,0,195
676,93033,5227,3731,1571,2378,4724,1026,692,495,368,903,27002
677,93035,2468,1548,902,816,981,419,420,572,445,500,12357
678,93036,3714,2377,1288,1500,2210,493,701,686,581,631,18763
679,93040,53,40,0,95,37,0,0,0,0,0,225
680,93041,1475,958,534,550,941,96,331,130,58,338,6527
681,93060,2060,1547,908,2242,1223,143,301,160,107,393,11087
682,93063,5330,4640,3243,2343,1843,773,963,1148,733,1295,29353
683,93065,6790,5756,4231,3067,2491,1186,1181,1467,1136,1481,39705
684,93066,205,41,120,85,24,0,0,0,0,0,517
685,93067,13,0,0,0,0,0,0,0,0,0,13
686,93101,2308,1519,1483,833,1054,423,242,176,246,166,11010
687,93102,0,0,24,0,0,0,0,0,0,0,24
688,93103,1469,971,581,566,709,350,107,216,256,37,6750
689,93105,2224,1462,693,566,575,694,206,560,498,93,10629
690,93106,0,0,0,22,13,0,0,0,0,0,35
691,93108,685,319,208,133,37,558,0,312,704,0,4791
692,93109,906,568,216,106,192,244,36,122,213,0,3566
693,93110,1452,981,495,401,483,363,59,250,325,34,6152
694,93111,1855,1383,728,473,597,333,127,308,252,28,7725
695,93117,3606,2636,1125,1430,1391,524,329,411,427,198,15679
696,93202,215,77,39,168,106,0,58,0,0,0,663
697,93203,1131,599,332,885,700,11,173,14,0,139,4895
698,93204,364,361,152,598,306,0,92,0,0,39,2057
699,93205,23,0,0,0,0,0,0,0,0,0,23
700,93206,53,0,82,66,0,0,0,0,0,0,226
701,93210,704,570,470,780,430,12,239,0,0,155,4021
702,93212,639,484,263,1503,488,0,191,0,0,143,4183
703,93215,2873,1792,800,3186,1715,234,502,201,154,380,15618
704,93216,0,0,43,38,0,0,0,0,0,0,81
705,93219,558,342,97,585,406,0,36,0,0,31,2221
706,93220,0,0,0,0,0,0,0,0,0,0,11
707,93221,793,535,1139,922,501,11,165,0,13,212,5109
708,93222,38,0,11,0,23,0,0,0,0,0,242
709,93223,562,524,127,526,478,0,43,0,0,99,2612
710,93224,0,0,37,0,0,0,0,0,0,0,37
711,93225,354,116,103,29,71,0,0,0,0,11,956
712,93227,0,0,0,0,0,0,0,0,0,0,25
713,93230,4709,2461,3581,4973,2046,388,1660,341,313,984,29391
714,93234,239,170,130,272,179,0,30,0,0,13,1056
715,93235,223,142,27,118,222,0,0,0,0,0,754
