,zip,toyota,honda,ford,chevrolet,nissan,bmw,hyundai,lexus,mercedes_benz,kia,total
1515,95988,387,285,783,403,243,0,76,0,0,0,2462
1516,95991,2581,1924,2145,1376,1508,149,421,107,202,737,14455
1517,95992,11,0,25,0,0,0,0,0,0,0,36
1518,95993,3170,2465,2337,1431,1368,281,322,249,412,524,18428
1519,96001,2597,1706,1902,1169,738,162,185,140,99,842,12606
1520,96002,2709,1644,1659,1178,807,57,192,79,74,942,12068
1521,96003,3613,2336,2362,1603,1122,147,360,176,102,1306,17436
1522,96007,1465,871,1247,941,551,11,112,0,0,715,7309
1523,96008,27,23,0,0,0,0,0,0,0,0,50
1524,96013,142,36,123,41,0,0,0,0,0,15,412
1525,96019,569,391,374,365,229,0,27,0,0,324,2605
1526,96020,130,0,98,11,0,0,0,0,0,0,390
1527,96021,896,594,1112,777,550,24,134,0,0,116,4978
1528,96022,1134,634,1076,615,385,0,53,0,0,483,5626
1529,96025,0,0,0,0,0,0,0,0,0,0,40
1530,96027,66,82,51,0,0,0,0,0,0,0,211
1531,96028,0,0,0,0,0,0,0,0,0,0,37
1532,96032,71,54,55,0,0,0,0,0,0,0,192
1533,96035,122,61,79,42,44,0,0,0,0,0,348
1534,96039,12,43,0,0,0,0,0,0,0,0,55
1535,96041,118,0,0,0,0,0,0,0,0,0,141
1536,96049,22,0,55,0,14,0,0,0,0,0,200
1537,96052,11,0,0,0,0,0,0,0,0,0,11
1538,96055,258,48,119,65,70,0,0,0,0,0,590
1539,96056,17,0,0,0,0,0,0,0,0,0,17
1540,96057,0,0,0,0,0,0,0,0,0,0,16
1541,96062,0,11,0,0,0,0,0,0,0,0,11
1542,96064,187,199,218,49,42,0,0,0,0,0,824
1543,96067,657,322,191,101,115,0,0,0,0,27,2208
1544,96073,358,183,236,76,0,0,0,0,0,62,1154
1545,96080,1647,1040,2187,1127,763,31,285,11,0,523,11202
1546,96088,275,136,169,60,53,0,0,0,0,79,1044
1547,96093,204,98,49,46,11,0,0,0,0,73,705
1548,96094,413,296,300,106,124,0,0,0,0,33,1703
1549,96097,468,496,902,284,208,0,13,0,0,60,2896
1550,96101,205,37,204,288,0,0,0,0,0,0,918
1551,96103,105,0,12,0,0,0,0,0,0,0,223
1552,96114,144,0,167,0,0,0,0,0,0,0,400
1553,96118,12,0,0,0,0,0,0,0,0,0,12
1554,96120,0,0,0,0,0,0,0,0,0,0,11
1555,96122,230,0,105,23,0,0,0,0,0,0,589
1556,96127,0,0,48,0,0,0,0,0,0,0,48
1557,96130,888,314,1230,509,240,0,109,11,0,118,4909
1558,96134,22,0,52,11,0,0,0,0,0,0,85
1559,96137,144,23,98,0,0,0,0,0,0,0,390
1560,96140,29,0,0,0,0,0,0,0,0,0,113
1561,96141,13,0,0,0,0,0,0,0,0,0,13
