,model_year,vehicles
0,2006,1368911
1,2007,1405050
2,2008,1172782
3,2009,802879
4,2010,973005
5,2011,1065573
6,2012,1305180
7,2013,1598828
8,2014,1632312
9,2015,1946304
10,2016,2012281
11,2017,2089615
12,2018,1538408
