word,corpus
Government,6894
States,6530
United,4874
People,4062
War,2778
Peace,1884
Citizens,1741
America,1600
Military,1088
Constitution,934
Together,766
Jobs,569
Strong,497
Fight,208
Wages,204
Space,143
Slavery,137
Bipartisan,114
Division,103
Terrorism,37
