county,total_pcts,precincts_partially,reporting_pct,voters,ballots_cast,turnout_pct,first_report,last_report,report_type
Alameda,521,521,100.0,966809,765025,79,Nov 38:21 p.m.,Nov 104:56 p.m.,U
Alpine,5,5,100.0,869,739,85,Nov 39:14 p.m.,Nov 311:11 p.m.,SF
Amador,30,30,100.0,25605,22601,88,Nov 38:17 p.m.,Nov 101:29 p.m.,U
Butte,157,157,100.0,124793,101342,81,Nov 38:42 p.m.,Nov 94:49 p.m.,U
Calaveras,29,29,100.0,31364,27070,86,Nov 39:17 p.m.,Nov 93:04 p.m.,U
Colusa,18,18,100.0,9807,7759,79,Nov 38:36 p.m.,Nov 65:55 p.m.,U
Contra Costa,957,957,100.0,703021,577690,82,Nov 38:33 p.m.,Nov 103:37 p.m.,U
Del Norte,18,18,100.0,15904,11575,72,Nov 38:28 p.m.,Nov 104:16 p.m.,U
El Dorado,202,202,100.0,135554,116744,86,Nov 38:21 p.m.,Nov 104:36 p.m.,U
Fresno,384,384,100.0,496482,361128,72,Nov 38:09 p.m.,Nov 102:58 p.m.,U
Glenn,74,74,100.0,14279,11045,77,Nov 38:11 p.m.,Nov 94:06 p.m.,U
Humboldt,66,66,100.0,85183,46542,54,Nov 39:31 p.m.,Nov 64:26 p.m.,U
Imperial,218,218,100.0,84676,42866,50,Nov 38:43 p.m.,Nov 114:53 p.m.,U
Inyo,21,21,100.0,11016,9288,84,Nov 38:27 p.m.,Nov 61:18 p.m.,U
Kern,694,694,100.0,425839,185881,43,Nov 39:24 p.m.,Nov 102:02 p.m.,U
Kings,96,96,100.0,60100,42469,70,Nov 38:11 p.m.,Nov 62:59 p.m.,U
Lake,70,70,100.0,37262,11157,29,Nov 39:06 p.m.,Nov 41:54 a.m.,SF
Lassen,57,57,100.0,15252,11915,78,Nov 38:17 p.m.,Nov 86:19 p.m.,U
Los Angeles,3383,3383,100.0,5813333,4211649,72,Nov 38:21 p.m.,Nov 104:02 p.m.,U
