date, pm25, pm10, o3, no2, so2, co
2022/2/2, 28, 17, 30, 3, , 3
2022/2/3, 48, 15, 28, 2, , 2
2022/2/4, 34, 10, 30, 1, , 1
2022/2/5, 21, 10, 31, 1, , 1
2022/2/6, 25, 13, 29, 3, , 2
2022/2/7, 35, 22, 28, 9, , 4
2022/2/8, 52, 24, 28, 9, , 4
2022/2/9, 56, 41, 22, 13, 1, 6
2022/2/10, 86, 59, 32, 12, 1, 7
2022/2/11, 136, 50, 29, 11, , 7
2022/2/12, 115, 49, 26, 6, , 4
2022/2/13, 106, 52, 24, 8, , 6
2022/2/14, 130, 14, 28, 2, , 1
2022/2/15, 46, 19, 28, 4, , 2
2022/2/16, 58, 16, 30, 8, , 3
2022/2/17, 46, , , , , 
2022/1/4, 75, 37, 15, 16, 1, 6
2022/1/5, 72, 61, 8, 19, 1, 10
2022/1/6, 150, 55, 12, 19, 1, 11
2022/1/7, 151, 59, 7, 19, 1, 10
2022/1/8, 142, 46, 25, 13, , 7
2022/1/9, 113, 53, 12, 19, , 8
2022/1/10, 141, 18, 26, 8, , 6
2022/1/11, 66, 21, 20, 8, , 2
2022/1/12, 38, 29, 24, 10, , 4
2022/1/13, 57, 23, 21, 5, 1, 2
2022/1/14, 47, 44, 13, 17, 2, 7
2022/1/15, 97, 39, 27, 11, , 5
2022/1/16, 85, 27, 19, 11, , 5
2022/1/17, 55, 33, 26, 10, , 5
2022/1/18, 61, 47, 12, 15, 1, 7
2022/1/19, 91, 61, 10, 17, , 10
2022/1/20, 151, 38, 17, 8, , 4
2022/1/21, 107, 55, 15, 10, , 4
2022/1/22, 150, 65, 15, 16, , 7
2022/1/23, 160, , 22, 15, , 8
2022/1/24, 172, , 22, 14, , 9
2022/1/25, 184, 11, 27, 7, , 5
2022/1/26, 100, 19, 23, 4, , 2
2022/1/27, 48, 20, 23, 6, 1, 3
2022/1/28, 59, 19, 26, 6, 1, 3
2022/1/29, 52, 26, 24, 9, 1, 5
2022/1/30, 65, 56, 23, 9, , 7
2022/1/31, 123, 12, 28, 1, , 1
2022/2/1, 27, 12, 31, 1, , 1
2021/10/2, 21, 38, 23, 5, , 5
2021/10/3, 74, 49, 23, 6, , 5
2021/10/4, 89, 20, 17, 7, , 
2021/10/5, 16, 13, 17, 6, , 1
2021/10/6, 35, 7, 21, 4, , 1
2021/10/7, 21, 15, 22, 5, , 2
2021/10/8, 44, 21, 34, 6, , 3
2021/10/9, 52, 29, 28, 8, 1, 3
2021/10/10, 72, 16, 26, 3, , 1
2021/10/11, 12, 24, 23, 9, , 1
2021/10/12, 35, 29, 29, 9, , 2
2021/10/13, 48, 29, 29, 9, , 3
2021/10/14, 62, 31, 29, 10, , 3
2021/10/15, 53, 22, 27, 5, , 2
2021/10/16, 40, 14, 26, 2, , 3
2021/10/17, 14, 28, 20, 10, 1, 1
2021/10/18, 46, 37, 25, 9, 1, 1
2021/10/19, 63, 18, 24, 4, , 1
2021/10/20, 26, 37, 20, 12, , 2
2021/10/21, 62, 31, 28, 7, , 1
2021/10/22, 51, 28, 29, 10, 1, 2
2021/10/23, 44, 46, 22, 15, , 2
2021/10/24, 79, 53, 23, 15, , 3
2021/10/25, 126, 65, 19, 17, 1, 5
2021/10/26, 160, 29, 29, 8, , 3
2021/10/27, 85, 33, 24, 12, 1, 2
2021/10/28, 42, 35, 17, 12, , 3
2021/10/29, 63, 46, 24, 14, 1, 3
2021/10/30, 104, 47, 26, 11, , 4
2021/10/31, 108, 45, 22, 5, 1, 1
2021/11/1, 38, 47, 17, 10, , 4
2021/11/2, 111, 62, 11, 12, , 6
2021/11/3, 162, 56, 18, 13, , 5
2021/11/4, 148, 58, 19, 15, 1, 5
2021/11/5, 129, 63, 55, 8, , 6
2021/11/6, 176, 62, 20, 5, , 6
2021/11/7, 67, 6, 26, , , 2
2021/11/8, 15, 13, 25, 1, 1, 1
2021/11/9, 21, 11, 26, 1, , 1
2021/11/10, 20, 13, 29, 3, , 1
2021/11/11, 20, 14, 26, 5, , 1
2021/11/12, 21, 36, 26, 6, 1, 2
2021/11/13, 53, 55, 25, 11, 1, 3
2021/11/14, 79, 59, 24, 13, 1, 4
2021/11/15, 79, 66, 18, 15, 1, 5
