date, pm25, pm10, o3, no2, so2, co
2022/2/2, 29, 18, 27, 7, 1, 2
2022/2/3, 50, 11, 31, 4, 1, 2
2022/2/4, 29, 11, 30, 2, , 1
2022/2/5, 38, 12, 29, 3, , 1
2022/2/6, 30, 13, 30, 4, , 1
2022/2/7, 29, 18, 27, 6, , 2
2022/2/8, 41, 26, 27, 12, , 2
2022/2/9, 60, 58, 23, 23, 1, 6
2022/2/10, 130, 65, 33, 21, 1, 7
2022/2/11, 149, 64, 31, 16, 1, 6
2022/2/12, 137, 51, 23, 8, 1, 4
2022/2/13, 99, 60, 19, 9, 1, 7
2022/2/14, 138, 18, 32, 4, , 2
2022/2/15, 52, 20, 26, 7, , 2
2022/2/16, 50, 17, 28, 5, 1, 2
2022/2/17, 43, , , , , 
2022/1/4, 82, 56, 8, 28, 3, 9
2022/1/5, 112, 63, 8, 27, 1, 10
2022/1/6, 153, 57, 17, 25, 1, 9
2022/1/7, 138, 74, 5, 34, 1, 13
2022/1/8, 173, 58, 24, 25, 1, 9
2022/1/9, 125, 57, 9, 20, 1, 8
2022/1/10, 114, 30, 25, 11, , 4
2022/1/11, 62, 27, 15, 13, , 3
2022/1/12, 41, 42, 20, 16, , 5
2022/1/13, 65, 19, 20, 10, , 2
2022/1/14, 39, 71, 8, 27, 1, 8
2022/1/15, 144, 52, 24, 17, , 6
2022/1/16, 92, 21, 17, 11, , 2
2022/1/17, 34, 36, 20, 17, , 3
2022/1/18, 60, 67, 5, 32, 2, 9
2022/1/19, 148, 63, 15, 19, 3, 10
2022/1/20, 140, 40, 15, 13, 1, 5
2022/1/21, 115, 59, 14, 15, 1, 7
2022/1/22, 145, , 10, 22, 2, 15
2022/1/23, 179, , 6, 23, , 14
2022/1/24, 192, 60, 11, 20, , 16
2022/1/25, 206, 8, 24, 11, , 7
2022/1/26, 113, 15, 22, 8, 1, 3
2022/1/27, 45, 18, 24, 7, 1, 2
2022/1/28, 50, 22, 23, 8, , 2
2022/1/29, 55, 27, 24, 11, , 3
2022/1/30, 62, 92, 23, 19, 1, 9
2022/1/31, 175, 18, 26, 3, , 2
2022/2/1, 37, 11, 28, 4, , 1
2021/10/2, 54, 56, 22, 16, , 7
2021/10/3, 99, 52, 23, 12, , 7
2021/10/4, 94, 17, 15, 6, , 2
2021/10/5, 17, 12, 11, 8, , 2
2021/10/6, 35, 8, 14, 7, , 2
2021/10/7, 37, 18, 21, 11, , 3
2021/10/8, 43, 36, 28, 14, , 5
2021/10/9, 72, 26, 22, 13, 1, 5
2021/10/10, 102, 19, 23, 7, , 1
2021/10/11, 31, 27, 24, 17, , 3
2021/10/12, 44, 34, 26, 19, , 5
2021/10/13, 52, 48, 33, 24, 1, 5
2021/10/14, 97, 41, 19, 22, 1, 5
2021/10/15, 85, 24, 23, 13, 1, 2
2021/10/16, 40, 17, 25, 5, , 4
2021/10/17, 25, 40, 17, 17, , 3
2021/10/18, 65, 62, 17, 24, 1, 5
2021/10/19, 114, 14, 23, 8, , 1
2021/10/20, 27, 44, 17, 16, , 3
2021/10/21, 78, 35, 23, 13, , 4
2021/10/22, 58, 24, 28, 12, , 2
2021/10/23, 41, 54, 22, 21, 1, 4
2021/10/24, 95, 69, 27, 30, 1, 8
2021/10/25, 157, 89, 28, 34, 1, 9
2021/10/26, 190, 38, 27, 21, , 6
2021/10/27, 107, 22, 25, 12, , 2
2021/10/28, 37, 45, 17, 20, , 4
2021/10/29, 76, 71, 14, 26, 2, 8
2021/10/30, 148, 84, 28, 21, 1, 9
2021/10/31, 179, 45, 25, 4, , 3
2021/11/1, 68, 60, 10, 19, , 8
2021/11/2, 140, 65, 11, 24, , 6
2021/11/3, 156, 65, 9, 28, , 9
2021/11/4, 175, 84, 12, 26, , 9
2021/11/5, 196, 87, 6, 28, , 11
2021/11/6, 203, 67, 20, 16, , 11
2021/11/7, 113, 8, 23, 4, , 4
2021/11/8, 15, 15, 26, 4, , 3
2021/11/9, 21, 16, 27, 5, , 31
2021/11/10, 22, 16, 26, 6, 1, 2
2021/11/11, 24, 17, 24, 7, , 2
2021/11/12, 23, 38, 18, 20, , 4
2021/11/13, 55, 56, 24, 18, 1, 5
2021/11/14, 74, 56, 17, 19, , 3
2021/11/15, 74, 74, 16, 17, 1, 4
2021/11/16, 100, 69, 12, 21, , 8
2021/11/17, 137, 79, 10, 31, 1, 10
2021/11/18, 169, 79, 6, 36, , 13
2021/11/19, 187, 34, 18, 14, 1, 3
2021/11/20, 43, 55, 7, 21, , 5
2021/11/21, 77, 122, 21, 9, , 5
2021/11/22, 92, 33, 20, 4, , 1
2021/11/23, 32, 46, 11, 21, , 5
2021/11/24, 66, 67, 7, 26, 1, 7
2021/11/25, 106, 66, 12, 26, 1, 10
2021/11/26, 112, 48, 19, 19, , 4
2021/11/27, 69, 73, 6, 30, 1, 9
2021/11/28, 153, 86, 4, 34, 2, 12
2021/11/29, 179, 33, 13, 19, , 7
2021/11/30, 125, 20, 21, 5, , 1
2021/12/1, 19, 22, 19, 14, 1, 3
2021/12/2, 36, 37, 25, 13, , 2
2021/12/3, 41, 42, 16, 17, , 4
2021/12/4, 56, 52, 9, 30, , 7
2021/12/5, 82, 77, 3, 39, 1, 11
2021/12/6, 152, 40, 24, 16, , 4
2021/12/7, 54, 33, 14, 21, , 4
2021/12/8, 49, 57, 4, 28, 1, 6
2021/12/9, 106, 75, 1, 28, , 9
2021/12/10, 175, 50, 12, 22, , 7
2021/12/11, 135, 41, 24, 16, , 5
2021/12/12, 79, 16, 22, 5, , 1
2021/12/13, 20, 51, 10, 25, 1, 5
2021/12/14, 90, 68, 6, 31, 1, 9
2021/12/15, 146, 82, 2, 36, 1, 13
2021/12/16, 164, 47, 24, 11, , 7
2021/12/17, 60, 20, 22, 7, , 3
2021/12/18, 28, 46, 24, 17, 1, 3
2021/12/19, 55, 71, 6, 35, 1, 7
2021/12/20, 116, 81, 16, 34, 1, 10
2021/12/21, 126, 56, 17, 19, 1, 5
2021/12/22, 81, 47, 12, 17, 1, 6
2021/12/23, 96, 61, 5, 20, 1, 8
2021/12/24, 126, 27, 22, 7, 1, 4
2021/12/25, 33, 17, 22, 5, , 3
2021/12/26, 24, 25, 17, 11, , 1
2021/12/27, 39, 53, 10, 27, , 6
2021/12/28, 82, 57, 7, 30, 1, 8
2021/12/29, 109, 44, 24, 10, , 3
2021/12/30, 44, 43, 26, 11, , 2
2021/12/31, 47, 49, 9, 29, 2, 6
2022/1/1, 83, 55, 24, 20, 2, 6
2022/1/2, 96, 24, 19, 10, , 2
2022/1/3, 47, 50, 15, 22, , 5
2021/7/2, 49, 24, 84, 6, , 4
2021/7/3, 47, 22, 74, 5, , 5
2021/7/4, 37, 22, 57, 7, , 3
2021/7/5, 40, 33, 69, 14, 1, 5
2021/7/6, 52, 27, 79, 6, 1, 5
2021/7/7, 54, 88, 100, 12, , 7
2021/7/8, 86, 36, 74, 10, 1, 4
2021/7/9, 54, 38, 105, 10, 1, 5
2021/7/10, 63, 55, 111, 12, , 8
2021/7/11, 89, 46, 83, 8, 2, 7
2021/7/12, 75, 9, 25, 5, , 4
2021/7/13, 23, 20, 66, 8, , 6
2021/7/14, 47, 31, 87, 7, , 7
2021/7/15, 66, 39, 69, 7, , 8
2021/7/16, 77, 31, 55, 6, , 7
2021/7/17, 63, 25, 29, 6, , 5
2021/7/18, 52, 36, 30, 9, 1, 6
2021/7/19, 75, 28, 53, 8, , 5
2021/7/20, 55, 33, 52, 7, , 5
2021/7/21, 64, 37, 37, 10, , 5
2021/7/22, 60, 31, 27, 14, , 7
2021/7/23, 59, 33, 53, 11, , 5
2021/7/24, 62, 51, 67, 12, 1, 5
