Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,03/22/2021,50310,50310
Maine,03/22/2021,19890,19890
Massachusetts,03/22/2021,95940,95940
New Hampshire,03/22/2021,19890,19890
Rhode Island,03/22/2021,15210,15210
Vermont,03/22/2021,9360,9360
New Jersey,03/22/2021,120510,120510
New York,03/22/2021,153270,153270
New York City,03/22/2021,117000,117000
Puerto Rico,03/22/2021,47970,47970
U.S. Virgin Islands,03/22/2021,2340,2340
Delaware,03/22/2021,14040,14040
District of Columbia,03/22/2021,10530,10530
Maryland,03/22/2021,81900,81900
Pennsylvania,03/22/2021,155610,155610
Philadelphia,03/22/2021,22230,22230
Virginia,03/22/2021,114660,114660
West Virginia,03/22/2021,25740,25740
Alabama,03/22/2021,66690,66690
Florida,03/22/2021,286650,286650
Georgia,03/22/2021,136890,136890
Kentucky,03/22/2021,60840,60840
Mississippi,03/22/2021,39780,39780
North Carolina,03/22/2021,138060,138060
South Carolina,03/22/2021,67860,67860
Tennessee,03/22/2021,90090,90090
Chicago,03/22/2021,37440,37440
Illinois,03/22/2021,136890,136890
Indiana,03/22/2021,88920,88920
Michigan,03/22/2021,135720,135720
Minnesota,03/22/2021,74880,74880
Ohio,03/22/2021,157950,157950
Wisconsin,03/22/2021,79560,79560
Arkansas,03/22/2021,39780,39780
Louisiana,03/22/2021,62010,62010
New Mexico,03/22/2021,29250,29250
Oklahoma,03/22/2021,52650,52650
Texas,03/22/2021,359190,359190
Iowa,03/22/2021,42120,42120
Kansas,03/22/2021,38610,38610
Missouri,03/22/2021,83070,83070
Nebraska,03/22/2021,25740,25740
Colorado,03/22/2021,74880,74880
Montana,03/22/2021,15210,15210
North Dakota,03/22/2021,10530,10530
South Dakota,03/22/2021,11700,11700
Utah,03/22/2021,37440,37440
Wyoming,03/22/2021,8190,8190
Arizona,03/22/2021,93600,93600
California,03/22/2021,524160,524160
Hawaii,03/22/2021,19890,19890
Nevada,03/22/2021,39780,39780
American Samoa,03/22/2021,0,0
Guam,03/22/2021,0,0
Marshall Islands,03/22/2021,0,0
Micronesia,03/22/2021,0,0
Mariana Islands,03/22/2021,0,0
Palau,03/22/2021,0,0
Alaska,03/22/2021,0,0
Idaho,03/22/2021,22230,22230
Oregon,03/22/2021,57330,57330
Washington,03/22/2021,100620,100620
Federal Entities,03/22/2021,195390,195390
Connecticut,03/15/2021,49140,49140
Maine,03/15/2021,18720,18720
Massachusetts,03/15/2021,93600,93600
New Hampshire,03/15/2021,18720,18720
Rhode Island,03/15/2021,15210,15210
Vermont,03/15/2021,9360,9360
New Jersey,03/15/2021,119340,119340
New York,03/15/2021,150930,150930
New York City,03/15/2021,114660,114660
Puerto Rico,03/15/2021,46800,46800
U.S. Virgin Islands,03/15/2021,2340,2340
Delaware,03/15/2021,12870,12870
District of Columbia,03/15/2021,10530,10530
Maryland,03/15/2021,80730,80730
Pennsylvania,03/15/2021,153270,153270
Philadelphia,03/15/2021,22230,22230
Virginia,03/15/2021,112320,112320
West Virginia,03/15/2021,25740,25740
Alabama,03/15/2021,65520,65520
Florida,03/15/2021,281970,281970
Georgia,03/15/2021,134550,134550
Kentucky,03/15/2021,59670,59670
Mississippi,03/15/2021,39780,39780
North Carolina,03/15/2021,135720,135720
South Carolina,03/15/2021,66690,66690
Tennessee,03/15/2021,88920,88920
Chicago,03/15/2021,36270,36270
Illinois,03/15/2021,134550,134550
Indiana,03/15/2021,87750,87750
Michigan,03/15/2021,133380,133380
Minnesota,03/15/2021,73710,73710
Ohio,03/15/2021,155610,155610
Wisconsin,03/15/2021,78390,78390
Arkansas,03/15/2021,39780,39780
Louisiana,03/15/2021,62010,62010
New Mexico,03/15/2021,28080,28080
