video_id,title,published_at,duration,views,likes,comments,url,incident_date,case_number,year,has_transcript,mentions_ghost_gun,ghost_gun_mentions
LZPxKI5YGAk,Hollenbeck Area (Newton) OIS 6/9/2026 (NRF026-26),2026-07-17 19:51:48+00:00,PT19M15S,6517,428,0,https://youtu.be/LZPxKI5YGAk,2026-06-09,NRF026-26,2026,True,False,0
a5c4-ZpEZ1A,Pacific Area OIS 6/5/2026 (NRF025-26),2026-07-17 16:00:37+00:00,PT16M43S,15499,524,0,https://youtu.be/a5c4-ZpEZ1A,2026-06-05,NRF025-26,2026,True,True,3
77RuVw2t9gg,Hollenbeck Area OIS 5/16/2026 (NRF024-26),2026-06-30 15:00:14+00:00,PT17M13S,17313,530,0,https://youtu.be/77RuVw2t9gg,2026-05-16,NRF024-26,2026,True,False,0
6G5qLm-qNv0,Topanga Area OIS 6/13/26 (NRF027-26),2026-06-19 23:53:18+00:00,PT8M5S,126751,830,0,https://youtu.be/6G5qLm-qNv0,2026-06-13,NRF027-26,2026,True,False,0
tnQiPLgZdW8,Mission Area OIS 5/5/2026 (NRF023-26),2026-06-19 15:00:13+00:00,PT13M18S,17544,491,0,https://youtu.be/tnQiPLgZdW8,2026-05-05,NRF023-26,2026,True,False,0
iWx8Vs7s8Wg,77th Street Area OIS 5/1/2026 (NRF021-26),2026-06-15 17:49:14+00:00,PT10M41S,13188,494,0,https://youtu.be/iWx8Vs7s8Wg,2026-05-01,NRF021-26,2026,True,False,0
sq0ZEwwMJHU,Central Area (Outside) OIS 4/8/2026 (NRF019-26),2026-05-23 15:00:57+00:00,PT17M21S,25885,853,0,https://youtu.be/sq0ZEwwMJHU,2026-04-08,NRF019-26,2026,True,False,0
6MpSNVpFI0k,Central Area OIS 3/19/2026 (NRF014-26),2026-05-04 01:02:32+00:00,PT14M8S,14984,578,0,https://youtu.be/6MpSNVpFI0k,2026-03-19,NRF014-26,2026,True,False,0
vnONXekrNbw,Wilshire Area OIS  3/10/2026 (NRF012-26),2026-04-24 15:01:39+00:00,PT18M21S,25150,802,0,https://youtu.be/vnONXekrNbw,2026-03-10,NRF012-26,2026,True,False,0
4vv1CNDkC8o,77th Street Area (Outside) OIS  4/03/2026 (NRF017-26),2026-04-23 23:00:05+00:00,PT12M55S,23280,770,0,https://youtu.be/4vv1CNDkC8o,2026-04-03,NRF017-26,2026,True,True,3
ZlsAg5QKTJo,Southeast Area OIS  3/7/2026 (NRF011-26),2026-04-06 15:00:57+00:00,PT14M5S,27151,789,0,https://youtu.be/ZlsAg5QKTJo,2026-03-07,NRF011-26,2026,True,False,0
l51tsdY1rvA,Southeast Area OIS 4/23/2025 (NRF014-25) Revised,2026-03-19 17:37:06+00:00,PT13M30S,15091,500,0,https://youtu.be/l51tsdY1rvA,2025-04-23,NRF014-25,2025,True,False,0
iPalCDuiN7c,Southwest Area OIS 2/5/2026 (NRF008-26),2026-03-07 16:00:57+00:00,PT18M25S,27553,775,0,https://youtu.be/iPalCDuiN7c,2026-02-05,NRF008-26,2026,True,False,0
oZgYn4aojQc,Harbor Area OIS 12/31/25 (NRF075-25),2026-02-14 16:01:13+00:00,PT15M21S,27201,845,0,https://youtu.be/oZgYn4aojQc,2025-12-31,NRF075-25,2025,True,False,0
gSMVgSCnSNA,Newton Area (Central) OIS 12/19/25 (NRF073-25),2026-02-03 00:00:48+00:00,PT11M47S,23173,736,0,https://youtu.be/gSMVgSCnSNA,2025-12-19,NRF073-25,2025,True,False,0
e02TgTAzvnI,Hollywood Area OIS 12/18/25 (NRF072-25),2026-02-01 16:00:56+00:00,PT11M56S,19775,721,0,https://youtu.be/e02TgTAzvnI,2025-12-18,NRF072-25,2025,False,False,0
ca8qeWbzR-o,Topanga Area OIS 12/16/25 (NRF071-25),2026-01-30 16:00:55+00:00,PT20M43S,27417,696,0,https://youtu.be/ca8qeWbzR-o,2025-12-16,NRF071-25,2025,True,False,0
