year,cases,ghost_gun_cases,ghost_gun_share
2019,11,0,0.0
2020,30,0,0.0
2021,34,0,0.0
2022,34,0,0.0
2023,37,0,0.0
2024,29,0,0.0
2025,48,1,0.021
2026,12,2,0.167
