id,name,serialNumber,ethnicity,gender,area,rank,created,updated,hired,image_url
62710ff5-0aeb-4e39-af98-5cef7c0f42d7,Aaron Johnson,41717,Hispanic,Male,Office of Operations,Police Officer II,2023-03-18,2023-03-18,2014-01-01,https://watchthewatchers.net/headshots/JOHNSONAARONM-41717.jpg
c273a0b1-d360-4451-b546-50befae997e0,Adam Johnson,41646,White,Male,Harbor Division,Police Officer II,2023-03-18,2023-03-18,2014-01-01,https://watchthewatchers.net/headshots/JOHNSONADAM-41646.jpg
1b264b3e-8a40-453d-a099-1f8484c1e0cb,Brook Johnson,37298,White,Male,PER-RW,Sergeant I,2023-03-18,2023-03-18,2004-01-01,https://watchthewatchers.net/headshots/JOHNSONBROOKC-37298.jpg
be6069f4-a811-4297-8bf8-5deb086148b6,Celestino Johnson,40399,Hispanic,Male,Metro Division,Police Officer III,2023-03-18,2023-03-18,2010-01-01,https://watchthewatchers.net/headshots/JOHNSONCELESTINO-40399.jpg
cac48698-f857-440e-b532-badf1c8b27f5,Christina Johnson,40684,White,Female,Recruitment and Employment Division,Police Officer II,2023-03-18,2023-03-18,2011-01-01,https://watchthewatchers.net/headshots/JOHNSONCHRISTINA-40684.jpg
e2f097ed-8d51-47a5-b869-186eac9e3cab,Douglas Johnson,37738,White,Male,Force Investigation Division,Detective II,2023-03-18,2023-03-18,2005-01-01,https://watchthewatchers.net/headshots/JOHNSONDOUGLASM-37738.jpg
d652c7c8-302b-4fd2-b7a8-92def7b8f81a,Eric Johnson,33674,White,Male,Force Investigation Division,Police Officer II,2023-03-18,2023-03-18,1997-01-01,https://watchthewatchers.net/headshots/JOHNSONERICC-33674.jpg
7f3d11c6-3083-4481-8e79-125830dc5f72,Eric Johnson,35163,White,Male,77th,Detective II,2023-03-18,2023-03-18,1999-01-01,https://watchthewatchers.net/headshots/JOHNSONERICM-35163.jpg
1a5feb49-fe98-4d1e-8b9d-3be17366fb84,Gairon Johnson,43218,Black,Male,Hollenback Division,Police Officer II,2023-03-18,2023-03-18,2017-01-01,https://watchthewatchers.net/headshots/JOHNSONGAIRONG-43218.jpg
1bfef73a-24a9-4572-89be-b9c44e8d4df8,Jeffrey Johnson,35127,White,Male,Devonshire Division,Police Officer III,2023-03-18,2023-03-18,1998-01-01,https://watchthewatchers.net/headshots/JOHNSONJEFFREYT-35127.jpg
a10ffd92-7506-439a-a693-a652470c4456,Johnnie Johnson,43642,White,Male,Southeast Division,Police Officer II,2023-03-18,2023-03-18,2018-01-01,https://watchthewatchers.net/headshots/JOHNSONJOHNNIE-43642.jpg
d1feda2b-5e6c-48c0-b5ae-470d5cab663f,Jonathan Johnson,37836,White,Male,Foothill Division,Sergeant I,2023-03-18,2023-03-18,2005-01-01,https://watchthewatchers.net/headshots/JOHNSONJONATHAND-37836.jpg
fb46e199-d2f0-4d4f-9cd6-d471081c1918,Kenneth Johnson,39048,White,Male,Valley Traffic Division,Police Officer II,2023-03-18,2023-03-18,2007-01-01,https://watchthewatchers.net/headshots/JOHNSONJRKENNETHE-39048.jpg
5d349182-0423-46d6-a021-b44e2104a096,Kenneth Johnson,36728,White,Male,Topanga Division,Police Officer III,2023-03-18,2023-03-18,2003-01-01,https://watchthewatchers.net/headshots/JOHNSONKENNETHJ-36728.jpg
e4ecc82c-c702-49d3-8231-10a27cbb317e,Martin Johnson,44399,Black,Male,PER-M,Police Officer II,2023-03-18,2023-03-18,2020-01-01,https://watchthewatchers.net/headshots/JOHNSONMARTINM-44399.jpg
1f93efca-307b-4881-aa97-93b04e61a4a6,Matthew Johnson,37043,White,Male,Foothill Division,Detective I,2023-03-18,2023-03-18,2003-01-01,https://watchthewatchers.net/headshots/JOHNSONMATTHEW-37043.jpg
f25447c7-00b4-40a6-911c-1f4471686f79,Mark Johnson,27504,White,Male,Gang and Narcotics Division ,Police Officer II,2023-03-18,2023-03-18,1990-01-01,https://watchthewatchers.net/headshots/JOHNSONMARKA-27504.jpg
5ee6d958-652e-44de-99ae-2cb30a8b0818,Michael Johnson,34786,White,Male,Pacific Division,Detective I,2023-03-18,2023-03-18,1998-01-01,https://watchthewatchers.net/headshots/JOHNSONMICHAELL-34786.jpg
5d8cb3dc-066a-434a-b0aa-916e7570c1b9,Nancy Johnson,35728,Black,Female,Southwest Division,Detective I,2023-03-18,2023-03-18,2000-01-01,https://watchthewatchers.net/headshots/JOHNSONNANCYV-35728.jpg
17149e35-cc6a-418c-8ca9-0910a417540e,Robert Johnson,38803,Black,Male,Community Safety Partnership Bureau,Police Officer III,2023-03-18,2023-03-18,2007-01-01,https://watchthewatchers.net/headshots/JOHNSONROBERTH-38803.jpg
54d65a08-410c-45f9-8b18-0b7fc8d0adb5,Robert Johnson,39281,White,Male,Valley Traffic Division,Police Officer II,2023-03-18,2023-03-18,2008-01-01,https://watchthewatchers.net/headshots/JOHNSONROBERT-39281.jpg
6f66a1ee-3969-4356-a2d4-d0808799d278,Roger Johnson,31905,Asian,Male,Metro Division,Police Officer III,2023-03-18,2023-03-18,1995-01-01,https://watchthewatchers.net/headshots/JOHNSONROGERF-31905.jpg
00d25893-2ac3-421b-bea8-afda026b7b9a,Stephen Johnson,40525,White,Male,Training Bureau,Police Officer II,2023-03-18,2023-03-18,2010-01-01,https://watchthewatchers.net/headshots/JOHNSONSTEPHEN-40525.jpg
60e37ba7-dc53-458c-bfc1-15b1688014fb,Victor Johnson,36088,White,Male,Training Division,Police Officer III,2023-03-18,2023-03-18,2001-01-01,https://watchthewatchers.net/headshots/JOHNSONVICTORC-36088.jpg
aaa1a0e3-02b4-4184-8e95-dab1cce65ae7,Victoria Johnson,39117,Hispanic,Female,Devonshire Division,Police Officer II,2023-03-18,2023-03-18,2007-01-01,https://watchthewatchers.net/headshots/JOHNSONVICTORIAG-39117.jpg
d7e1d820-9e1d-4bd5-9ec2-7c83ef165d7d,William Johnson,38396,Black,Male,Central Division,Police Officer II,2023-03-18,2023-03-18,2006-01-01,https://watchthewatchers.net/headshots/JOHNSONWILLIAME-38396.jpg
2a705dfa-93da-4027-a0c0-685201322c9a,Michael Johnson,41886,Black,Male,Security Services Division,Police Officer II,2023-03-18,2023-03-18,2015-01-01,https://watchthewatchers.net/headshots/JOHNSONMICHAELL-41886.jpg
940b7acd-398b-4fb3-bbbb-59a0b2c127c6,Dixon M Williams,34508,Black,Female,Office of Operations,Police Officer III,2023-03-18,2023-03-18,1997-01-01,https://watchthewatchers.net/headshots/WILLIAMSDIXONKIMMIEM-34508.jpg
7f439ab1-61a5-4a30-8839-e9271e1e9ad6,Pacheco A Williams,32043,Asian,Female,77th,Police Officer III,2023-03-18,2023-03-18,1995-01-01,https://watchthewatchers.net/headshots/WILLIAMS-PACHECOTERIA-32043.jpg
029cae96-a0e1-4623-a270-46b1db3a8fd0,Alonzo Williams,34529,Black,Male,Gang and Narcotics Division ,Police Officer II,2023-03-18,2023-03-18,1998-01-01,https://watchthewatchers.net/headshots/WILLIAMSALONZOL-34529.jpg
fd50165c-c62a-4602-9716-38eaabc77b2d,Andreka Williams,44744,Black,Female,Harbor Division,Police Officer I,2023-03-18,2023-03-18,2022-01-01,https://watchthewatchers.net/headshots/WILLIAMSANDREKA-44744.jpg
9da717cb-4188-4ed6-83a5-86fbeb4bb647,Brent Williams,38780,Black,Male,PER-RW,Police Officer III,2023-03-18,2023-03-18,2007-01-01,https://watchthewatchers.net/headshots/WILLIAMSBRENTA-38780.jpg
aaee6560-6480-4cbd-904c-8ce2a6935fc5,Brian Williams,37720,White,Male,Olympic Division,Detective III,2023-03-18,2023-03-18,2005-01-01,https://watchthewatchers.net/headshots/WILLIAMSBRIANA-37720.jpg
af157a91-a627-4807-8ff7-237b14dd88bf,Brian Williams,40847,White,Male,Mission Division,Sergeant I,2023-03-18,2023-03-18,2011-01-01,https://watchthewatchers.net/headshots/WILLIAMSBRIAN-40847.jpg
21fd374e-0768-4f25-89ba-aa00d40dd62a,Christian Williams,44635,Black,Male,Custody Services Division,Police Officer II,2023-03-18,2023-03-18,2020-01-01,https://watchthewatchers.net/headshots/WILLIAMSCHRISTIANM-44635.jpg
ce8ae782-7aa7-491b-9e75-a0e3383cea0e,Clarence Williams,33886,Black,Male,Valley Traffic Division,Police Officer II,2023-03-18,2023-03-18,1997-01-01,https://watchthewatchers.net/headshots/WILLIAMSCLARENCE-33886.jpg
d02b0aef-449d-408d-b5e8-cad78bff5986,Brent Williams,37615,White,Male,Southwest Division,Sergeant I,2023-03-18,2023-03-18,2005-01-01,https://watchthewatchers.net/headshots/WILLIAMSBRENTE-37615.jpg
bcd35d52-3293-4696-88d5-953c190dbee3,Fred Williams,37463,Black,Male,77th,Sergeant I,2023-03-18,2023-03-18,2005-01-01,https://watchthewatchers.net/headshots/WILLIAMSFREDL-37463.jpg
b97a3c1a-3904-4fbd-8b23-c347aa4f27fc,Dean Williams,41952,White,Male,Rampart Division,Police Officer III,2023-03-18,2023-03-18,2015-01-01,https://watchthewatchers.net/headshots/WILLIAMSDEANW-41952.jpg
c2bc5f79-e296-444a-b3af-a8194cc874bd,Gregory Williams,36523,White,Male,West Los Angeles Division,Police Officer III,2023-03-18,2023-03-18,2002-01-01,https://watchthewatchers.net/headshots/WILLIAMSGREGORYS-36523.jpg
6120c993-db5e-4265-86e7-5039720dded0,Jamel Williams,39315,Black,Male,Topanga Division,Sergeant I,2023-03-18,2023-03-18,2008-01-01,https://watchthewatchers.net/headshots/WILLIAMSJAMEL-39315.jpg
1112f387-0ac1-4eaa-99c2-2256b96c7609,Jerry Williams,39581,Black,Male,West Valley Division,Sergeant I,2023-03-18,2023-03-18,2008-01-01,https://watchthewatchers.net/headshots/WILLIAMSJERRY-39581.jpg
