                               Estimated Unprocessed Ballots for the November 3, 2020, General Election

                                                                   Conditional
                                                                      Voter
                                                                   Registration                             Estimated             Last Update Provided by
County                   Vote-By-Mail          Provisional         Provisional            Other*         Total Remaining                  County
Alameda                        139,992                       0               1,132                 0                141,124              11/8/2020 4:51 p.m.
Alpine                                8                      0                   0                 2                     10             11/3/2020 11:11 p.m.
Amador                                0                      0                   0                85                     85              11/9/2020 3:10 p.m.
Butte                               40                     400               1,640                 0                  2,080              11/9/2020 4:49 p.m.
Calaveras                           59                      23                  32               375                    489              11/9/2020 3:04 p.m.
Colusa                                0                    197                  46                 9                    252              11/6/2020 5:55 p.m.
Contra Costa                    65,000                   2,500               2,500                 0                 70,000              11/6/2020 3:57 p.m.
Del Norte                          200                      11                 126                 0                    337              11/6/2020 4:07 p.m.
El Dorado                        1,000                     165               1,076                 0                  2,241              11/6/2020 5:06 p.m.
Fresno                          34,000                     340               4,000                 0                 38,340              11/6/2020 2:59 p.m.
Glenn                               14                       0                 179               321                    514              11/9/2020 4:06 p.m.
Humboldt                        14,127                     910               1,690               850                 17,577              11/6/2020 4:26 p.m.
Imperial**                      17,846                   6,701                   0                 0                 24,547              11/6/2020 5:27 p.m.
Inyo**                             200                       0                 170                 0                    370              11/6/2020 1:18 p.m.
Kern                           117,016                       0             40,000                  0                157,016              11/7/2020 3:16 p.m.
Kings                                 0                    338               1,106                85                  1,529              11/6/2020 2:59 p.m.
Lake                            14,583                   2,729                 380               529                 18,221              11/4/2020 1:54 a.m.
Lassen                                0                     38                 164                41                    243              11/8/2020 6:19 p.m.
Los Angeles                    512,600                   2,000             87,000              9,200                610,800              11/6/2020 4:28 p.m.
Madera                             192                      35              1,147                879                  2,253              11/6/2020 4:12 p.m.
Marin                           22,820                     560                 600               200                 24,180              11/6/2020 4:50 p.m.
Mariposa                           806                      48                   0                54                    908              11/3/2020 9:40 p.m.
Mendocino                       15,501                   1,634                 155                 0                 17,290             11/4/2020 12:27 a.m.
Merced**                        14,980                       0               1,751                36                 16,767              11/7/2020 5:16 p.m.
Modoc                              411                      44                  55                14                    524              11/4/2020 1:28 a.m.
Mono**                              95                     150                   0                 0                    245             11/4/2020 10:22 a.m.
Monterey                        15,809                   9,066                 621                 0                 25,496              11/6/2020 6:11 p.m.
Napa                            13,701                      31                 629               639                 15,000              11/7/2020 2:07 p.m.
Nevada                          19,000                     100                 600               200                 19,900              11/6/2020 3:52 p.m.
Orange                           7,564                       0             23,686              1,826                 33,076              11/7/2020 5:02 p.m.
Placer                          38,750                     125               3,400             4,000                 46,275              11/6/2020 6:27 p.m.
Plumas                             102                       0                  59                 3                    164              11/3/2020 8:08 p.m.
Riverside                      272,000                       0             25,000                  0                297,000              11/7/2020 5:08 p.m.
Sacramento                     248,504                       0             12,300                  0                260,804              11/6/2020 3:57 p.m.
San Benito                       2,911                      72                  24               967                  3,974              11/6/2020 4:24 p.m.
San Bernardino**               210,000                  19,000                   0               600                229,600              11/9/2020 4:04 p.m.
San Diego                       37,750                     500             25,500                250                 64,000              11/8/2020 5:07 p.m.
San Francisco                    2,000                   2,000                 500                 0                  4,500              11/9/2020 9:08 a.m.
San Joaquin**                   85,050                       0               6,300             6,030                 97,380              11/6/2020 9:01 p.m.
San Luis Obispo                 30,916                   2,362                   0               127                 33,405              11/6/2020 5:20 p.m.
San Mateo                       65,381                       0               3,756             3,919                 73,056              11/5/2020 4:34 p.m.
Santa Barbara**                  2,200                   2,050                   0             1,850                  6,100              11/9/2020 3:56 a.m.
Santa Clara                    126,000                     500             10,000             30,000                166,500              11/8/2020 4:47 p.m.
Santa Cruz                         280                     149              1,438              1,950                  3,817              11/5/2020 3:08 p.m.
Shasta                           1,382                   2,271                 388               459                  4,500              11/6/2020 2:21 p.m.
Sierra                                0                      0                   0                 0                      0              11/4/2020 2:24 p.m.
Siskiyou                              0                      0                 424               146                    570              11/9/2020 3:13 p.m.
Solano                           1,000                   4,500              1,200              1,000                  7,700              11/6/2020 5:49 p.m.
Sonoma                          40,000                       0               3,500               400                 43,900             11/4/2020 12:00 a.m.
Stanislaus                      40,000                     150               1,600               840                 42,590              11/6/2020 6:53 p.m.
Sutter**                         5,632                     757                   0               165                  6,554              11/6/2020 5:42 p.m.
Tehama                           6,218                     314                 402               229                  7,163              11/6/2020 5:08 p.m.
Trinity                             27                       0                  48                 3                     78              11/4/2020 4:27 p.m.
Tulare                          21,096                     812                 861             4,134                 26,902              11/6/2020 5:35 p.m.
Tuolumne                           400                       0                 365                 0                    765             11/3/2020 10:44 p.m.
Ventura                         25,631                     467               2,520             4,292                 32,910              11/5/2020 2:46 p.m.
Yolo                            25,852                     222               1,518               384                 27,976              11/6/2020 4:34 p.m.
Yuba                             9,784                     743                 185               536                 11,248             11/4/2020 12:01 a.m.
STATEWIDE                     2,326,430                65,014              271,773           77,629               2,740,846
*This category includes unprocessed ballots that are damaged or could not be machine-read and need to be remade, and ballots diverted by optical scanners for
further review.
**County reported Provisional and Conditional Voter Registration Provisional ballots as a combined total.

                                                                                                                                     Updated: 11/09/20 5:00 p.m.

